"","date","NYMX"
"1","2007-01-03",3.45
"2","2007-01-04",3.44
"3","2007-01-05",3.47
"4","2007-01-08",3.5
"5","2007-01-09",3.55
"6","2007-01-10",3.55
"7","2007-01-11",3.63
"8","2007-01-12",3.65
"9","2007-01-16",3.69
"10","2007-01-17",3.82
"11","2007-01-18",3.9
"12","2007-01-19",4.04
"13","2007-01-22",3.9
"14","2007-01-23",3.83
"15","2007-01-24",3.63
"16","2007-01-25",3.64
"17","2007-01-26",3.63
"18","2007-01-29",3.67
"19","2007-01-30",3.51
"20","2007-01-31",3.64
"21","2007-02-01",3.69
"22","2007-02-02",5.34
"23","2007-02-05",4.66
"24","2007-02-06",5.39
"25","2007-02-07",5.03
"26","2007-02-08",5.19
"27","2007-02-09",4.86
"28","2007-02-12",5.05
"29","2007-02-13",4.91
"30","2007-02-14",5.02
"31","2007-02-15",5.1
"32","2007-02-16",5.58
"33","2007-02-20",5.76
"34","2007-02-21",6
"35","2007-02-22",6.4
"36","2007-02-23",6.57
"37","2007-02-26",5.74
"38","2007-02-27",5.25
"39","2007-02-28",5.67
"40","2007-03-01",5.51
"41","2007-03-02",5.41
"42","2007-03-05",5.37
"43","2007-03-06",5.46
"44","2007-03-07",5.32
"45","2007-03-08",5.33
"46","2007-03-09",6.1
"47","2007-03-12",6.35
"48","2007-03-13",6.23
"49","2007-03-14",6.06
"50","2007-03-15",6.21
"51","2007-03-16",6.1
"52","2007-03-19",5.93
"53","2007-03-20",6.1
"54","2007-03-21",6.04
"55","2007-03-22",5.94
"56","2007-03-23",5.61
"57","2007-03-26",5.45
"58","2007-03-27",5.4
"59","2007-03-28",6.07
"60","2007-03-29",5.75
"61","2007-03-30",5.84
"62","2007-04-02",6.04
"63","2007-04-03",6
"64","2007-04-04",5.84
"65","2007-04-05",5.91
"66","2007-04-09",5.95
"67","2007-04-10",5.73
"68","2007-04-11",5.61
"69","2007-04-12",5.58
"70","2007-04-13",5.57
"71","2007-04-16",5.53
"72","2007-04-17",5.24
"73","2007-04-18",5.27
"74","2007-04-19",5.2
"75","2007-04-20",5.27
"76","2007-04-23",5.33
"77","2007-04-24",5.3
"78","2007-04-25",5.29
"79","2007-04-26",5.45
"80","2007-04-27",6.23
"81","2007-04-30",6.24
"82","2007-05-01",6.27
"83","2007-05-02",6.78
"84","2007-05-03",7.3
"85","2007-05-04",7.29
"86","2007-05-07",6.6
"87","2007-05-08",6.51
"88","2007-05-09",6.25
"89","2007-05-10",6.24
"90","2007-05-11",6.43
"91","2007-05-14",6.09
"92","2007-05-15",6.31
"93","2007-05-16",6.11
"94","2007-05-17",5.85
"95","2007-05-18",5.95
"96","2007-05-21",6.04
"97","2007-05-22",5.99
"98","2007-05-23",5.86
"99","2007-05-24",5.47
"100","2007-05-25",5.52
"101","2007-05-29",5.53
"102","2007-05-30",5.76
"103","2007-05-31",5.81
"104","2007-06-01",5.86
"105","2007-06-04",5.95
"106","2007-06-05",5.91
"107","2007-06-06",5.97
"108","2007-06-07",5.96
"109","2007-06-08",5.92
"110","2007-06-11",5.96
"111","2007-06-12",5.95
"112","2007-06-13",5.99
"113","2007-06-14",6.09
"114","2007-06-15",6.05
"115","2007-06-18",5.91
"116","2007-06-19",5.85
"117","2007-06-20",5.87
"118","2007-06-21",5.95
"119","2007-06-22",5.88
"120","2007-06-25",5.85
"121","2007-06-26",5.46
"122","2007-06-27",5.4
"123","2007-06-28",5.4
"124","2007-06-29",5.26
"125","2007-07-02",5.12
"126","2007-07-03",5.17
"127","2007-07-05",4.78
"128","2007-07-06",5.1
"129","2007-07-09",5.13
"130","2007-07-10",5.52
"131","2007-07-11",5.39
"132","2007-07-12",5.13
"133","2007-07-13",5.11
"134","2007-07-16",5.17
"135","2007-07-17",5.15
"136","2007-07-18",5.22
"137","2007-07-19",5.24
"138","2007-07-20",5.19
"139","2007-07-23",5.22
"140","2007-07-24",5.07
"141","2007-07-25",5.16
"142","2007-07-26",5.05
"143","2007-07-27",5.05
"144","2007-07-30",5.05
"145","2007-07-31",5.05
"146","2007-08-01",4.96
"147","2007-08-02",5
"148","2007-08-03",4.71
"149","2007-08-06",4.75
"150","2007-08-07",4.7
"151","2007-08-08",4.84
"152","2007-08-09",4.67
"153","2007-08-10",4.98
"154","2007-08-13",5.05
"155","2007-08-14",5
"156","2007-08-15",4.9
"157","2007-08-16",4.8
"158","2007-08-17",5.03
"159","2007-08-20",5.09
"160","2007-08-21",5.21
"161","2007-08-22",5.42
"162","2007-08-23",5.35
"163","2007-08-24",5.31
"164","2007-08-27",5.3
"165","2007-08-28",5.29
"166","2007-08-29",5.39
"167","2007-08-30",5.42
"168","2007-08-31",5.46
"169","2007-09-04",5.33
"170","2007-09-05",5.28
"171","2007-09-06",5.47
"172","2007-09-07",5.25
"173","2007-09-10",5.01
"174","2007-09-11",5.17
"175","2007-09-12",5.25
"176","2007-09-13",5.2
"177","2007-09-14",5.28
"178","2007-09-17",5.16
"179","2007-09-18",5.15
"180","2007-09-19",5.1
"181","2007-09-20",4.95
"182","2007-09-21",5.27
"183","2007-09-24",5.34
"184","2007-09-25",5.49
"185","2007-09-26",5.48
"186","2007-09-27",5.78
"187","2007-09-28",5.87
"188","2007-10-01",6.25
"189","2007-10-02",6.17
"190","2007-10-03",6.62
"191","2007-10-04",6.83
"192","2007-10-05",6.9
"193","2007-10-08",6.78
"194","2007-10-09",6.33
"195","2007-10-10",6.27
"196","2007-10-11",6.28
"197","2007-10-12",6.36
"198","2007-10-15",6.31
"199","2007-10-16",6.02
"200","2007-10-17",6.04
"201","2007-10-18",5.9
"202","2007-10-19",5.78
"203","2007-10-22",5.8
"204","2007-10-23",5.69
"205","2007-10-24",5.84
"206","2007-10-25",5.8
"207","2007-10-26",5.9
"208","2007-10-29",5.92
"209","2007-10-30",5.98
"210","2007-10-31",5.71
"211","2007-11-01",5.81
"212","2007-11-02",5.65
"213","2007-11-05",5.68
"214","2007-11-06",5.7
"215","2007-11-07",5.52
"216","2007-11-08",5.36
"217","2007-11-09",5.3
"218","2007-11-12",5.37
"219","2007-11-13",5.25
"220","2007-11-14",5.91
"221","2007-11-15",6
"222","2007-11-16",6.02
"223","2007-11-19",6.45
"224","2007-11-20",6.45
"225","2007-11-21",6.45
"226","2007-11-23",6.47
"227","2007-11-26",6.19
"228","2007-11-27",6.41
"229","2007-11-28",6.47
"230","2007-11-29",6.57
"231","2007-11-30",6.6
"232","2007-12-03",6.3
"233","2007-12-04",6.55
"234","2007-12-05",6.17
"235","2007-12-06",5.95
"236","2007-12-07",5.89
"237","2007-12-10",5.93
"238","2007-12-11",5.82
"239","2007-12-12",5.79
"240","2007-12-13",5.83
"241","2007-12-14",6.12
"242","2007-12-17",6.11
"243","2007-12-18",6.17
"244","2007-12-19",6.06
"245","2007-12-20",6.04
"246","2007-12-21",5.95
"247","2007-12-24",5.95
"248","2007-12-26",5.91
"249","2007-12-27",5.94
"250","2007-12-28",5.92
"251","2007-12-31",5.76
"252","2008-01-02",5.76
"253","2008-01-03",5.77
"254","2008-01-04",5.7
"255","2008-01-07",5.7
"256","2008-01-08",5.7
"257","2008-01-09",5.62
"258","2008-01-10",5.5
"259","2008-01-11",5.25
"260","2008-01-14",5.25
"261","2008-01-15",5.01
"262","2008-01-16",5.12
"263","2008-01-17",5.07
"264","2008-01-18",5.21
"265","2008-01-22",5
"266","2008-01-23",4.95
"267","2008-01-24",5.08
"268","2008-01-25",5.12
"269","2008-01-28",5
"270","2008-01-29",5.06
"271","2008-01-30",5.08
"272","2008-01-31",5.06
"273","2008-02-01",5.1
"274","2008-02-04",5.13
"275","2008-02-05",5.01
"276","2008-02-06",5.27
"277","2008-02-07",5.59
"278","2008-02-08",5.74
"279","2008-02-11",5.84
"280","2008-02-12",5.72
"281","2008-02-13",5.7
"282","2008-02-14",5.65
"283","2008-02-15",5.53
"284","2008-02-19",5.5
"285","2008-02-20",5.34
"286","2008-02-21",5.41
"287","2008-02-22",5.58
"288","2008-02-25",5.35
"289","2008-02-26",5.54
"290","2008-02-27",5.5
"291","2008-02-28",5.47
"292","2008-02-29",5.3
"293","2008-03-03",5.24
"294","2008-03-04",5.29
"295","2008-03-05",5.2
"296","2008-03-06",5.22
"297","2008-03-07",5.42
"298","2008-03-10",5.42
"299","2008-03-11",5.4
"300","2008-03-12",5.26
"301","2008-03-13",5.45
"302","2008-03-14",5.37
"303","2008-03-17",5.1
"304","2008-03-18",5.36
"305","2008-03-19",5.22
"306","2008-03-20",5.29
"307","2008-03-24",5.3
"308","2008-03-25",5.32
"309","2008-03-26",5.34
"310","2008-03-27",5.34
"311","2008-03-28",5.39
"312","2008-03-31",5.3
"313","2008-04-01",5.08
"314","2008-04-02",5.06
"315","2008-04-03",5.08
"316","2008-04-04",5.05
"317","2008-04-07",5.03
"318","2008-04-08",5
"319","2008-04-09",5.03
"320","2008-04-10",4.99
"321","2008-04-11",4.99
"322","2008-04-14",4.84
"323","2008-04-15",4.73
"324","2008-04-16",4.79
"325","2008-04-17",4.73
"326","2008-04-18",4.81
"327","2008-04-21",4.77
"328","2008-04-22",4.59
"329","2008-04-23",4.43
"330","2008-04-24",4.6
"331","2008-04-25",4.6
"332","2008-04-28",4.4
"333","2008-04-29",4.46
"334","2008-04-30",4.45
"335","2008-05-01",4.6
"336","2008-05-02",4.66
"337","2008-05-05",4.57
"338","2008-05-06",4.42
"339","2008-05-07",4.34
