"","date","HCKT"
"1","2007-01-03",3.21
"2","2007-01-04",3.12
"3","2007-01-05",3.17
"4","2007-01-08",3.18
"5","2007-01-09",3.21
"6","2007-01-10",3.21
"7","2007-01-11",3.2
"8","2007-01-12",3.24
"9","2007-01-16",3.25
"10","2007-01-17",3.2
"11","2007-01-18",3.21
"12","2007-01-19",3.17
"13","2007-01-22",3.12
"14","2007-01-23",3.13
"15","2007-01-24",3.12
"16","2007-01-25",3.12
"17","2007-01-26",3.1
"18","2007-01-29",3.11
"19","2007-01-30",3.13
"20","2007-01-31",3.17
"21","2007-02-01",3.13
"22","2007-02-02",3.13
"23","2007-02-05",3.08
"24","2007-02-06",3.13
"25","2007-02-07",3.12
"26","2007-02-08",3.16
"27","2007-02-09",3.3
"28","2007-02-12",3.23
"29","2007-02-13",3.31
"30","2007-02-14",3.25
"31","2007-02-15",3.28
"32","2007-02-16",3.47
"33","2007-02-20",3.58
"34","2007-02-21",3.3
"35","2007-02-22",3.26
"36","2007-02-23",3.19
"37","2007-02-26",3.25
"38","2007-02-27",3.21
"39","2007-02-28",3.23
"40","2007-03-01",3.24
"41","2007-03-02",3.2
"42","2007-03-05",3.15
"43","2007-03-06",3.15
"44","2007-03-07",3.19
"45","2007-03-08",3.25
"46","2007-03-09",3.21
"47","2007-03-12",3.14
"48","2007-03-13",3.09
"49","2007-03-14",3.03
"50","2007-03-15",3.02
"51","2007-03-16",3.09
"52","2007-03-19",3.13
"53","2007-03-20",3.23
"54","2007-03-21",3.2
"55","2007-03-22",3.27
"56","2007-03-23",3.24
"57","2007-03-26",3.19
"58","2007-03-27",3.2
"59","2007-03-28",3.16
"60","2007-03-29",3.25
"61","2007-03-30",3.27
"62","2007-04-02",3.13
"63","2007-04-03",3.14
"64","2007-04-04",3.16
"65","2007-04-05",3.21
"66","2007-04-09",3.2
"67","2007-04-10",3.23
"68","2007-04-11",3.26
"69","2007-04-12",3.27
"70","2007-04-13",3.29
"71","2007-04-16",3.37
"72","2007-04-17",3.38
"73","2007-04-18",3.42
"74","2007-04-19",3.34
"75","2007-04-20",3.43
"76","2007-04-23",3.25
"77","2007-04-24",3.29
"78","2007-04-25",3.3
"79","2007-04-26",3.28
"80","2007-04-27",3.35
"81","2007-04-30",3.35
"82","2007-05-01",3.5
"83","2007-05-02",3.6
"84","2007-05-03",3.62
"85","2007-05-04",3.59
"86","2007-05-07",3.49
"87","2007-05-08",3.49
"88","2007-05-09",3.45
"89","2007-05-10",3.47
"90","2007-05-11",3.38
"91","2007-05-14",3.47
"92","2007-05-15",3.38
"93","2007-05-16",3.36
"94","2007-05-17",3.35
"95","2007-05-18",3.37
"96","2007-05-21",3.23
"97","2007-05-22",3.37
"98","2007-05-23",3.31
"99","2007-05-24",3.46
"100","2007-05-25",3.47
"101","2007-05-29",3.4
"102","2007-05-30",3.43
"103","2007-05-31",3.54
"104","2007-06-01",3.48
"105","2007-06-04",3.45
"106","2007-06-05",3.51
"107","2007-06-06",3.53
"108","2007-06-07",3.52
"109","2007-06-08",3.51
"110","2007-06-11",3.51
"111","2007-06-12",3.53
"112","2007-06-13",3.53
"113","2007-06-14",3.56
"114","2007-06-15",3.56
"115","2007-06-18",3.52
"116","2007-06-19",3.52
"117","2007-06-20",3.5
"118","2007-06-21",3.5
"119","2007-06-22",3.56
"120","2007-06-25",3.43
"121","2007-06-26",3.42
"122","2007-06-27",3.56
"123","2007-06-28",3.6
"124","2007-06-29",3.62
"125","2007-07-02",3.68
"126","2007-07-03",3.71
"127","2007-07-05",3.72
"128","2007-07-06",3.78
"129","2007-07-09",3.83
"130","2007-07-10",3.82
"131","2007-07-11",3.72
"132","2007-07-12",3.8
"133","2007-07-13",3.81
"134","2007-07-16",3.77
"135","2007-07-17",3.76
"136","2007-07-18",3.84
"137","2007-07-19",3.81
"138","2007-07-20",3.8
"139","2007-07-23",3.63
"140","2007-07-24",3.51
"141","2007-07-25",3.46
"142","2007-07-26",3.43
"143","2007-07-27",3.41
"144","2007-07-30",3.42
"145","2007-07-31",3.45
"146","2007-08-01",3.66
"147","2007-08-02",3.68
"148","2007-08-03",3.6
"149","2007-08-06",3.56
"150","2007-08-07",3.43
"151","2007-08-08",3.33
"152","2007-08-09",3.28
"153","2007-08-10",3.3
"154","2007-08-13",3.38
"155","2007-08-14",3.39
"156","2007-08-15",3.42
"157","2007-08-16",3.26
"158","2007-08-17",3.25
"159","2007-08-20",3.21
"160","2007-08-21",3.2
"161","2007-08-22",3.26
"162","2007-08-23",3.18
"163","2007-08-24",3.12
"164","2007-08-27",3.13
"165","2007-08-28",3.14
"166","2007-08-29",3.12
"167","2007-08-30",3.14
"168","2007-08-31",3.27
"169","2007-09-04",3.25
"170","2007-09-05",3.17
"171","2007-09-06",3.14
"172","2007-09-07",3.14
"173","2007-09-10",3.14
"174","2007-09-11",3.15
"175","2007-09-12",3.27
"176","2007-09-13",3.21
"177","2007-09-14",3.24
"178","2007-09-17",3.29
"179","2007-09-18",3.18
"180","2007-09-19",3.32
"181","2007-09-20",3.24
"182","2007-09-21",3.16
"183","2007-09-24",3.23
"184","2007-09-25",3.15
"185","2007-09-26",3.18
"186","2007-09-27",3.32
"187","2007-09-28",3.29
"188","2007-10-01",3.34
"189","2007-10-02",3.25
"190","2007-10-03",3.26
"191","2007-10-04",3.33
"192","2007-10-05",3.29
"193","2007-10-08",3.25
"194","2007-10-09",3.28
"195","2007-10-10",3.26
"196","2007-10-11",3.25
"197","2007-10-12",3.29
"198","2007-10-15",3.26
"199","2007-10-16",3.27
"200","2007-10-17",3.18
"201","2007-10-18",3.2
"202","2007-10-19",3.27
"203","2007-10-22",3.16
"204","2007-10-23",3.19
"205","2007-10-24",3.15
"206","2007-10-25",3.15
"207","2007-10-26",3.13
"208","2007-10-29",3.16
"209","2007-10-30",3.09
"210","2007-10-31",4.07
"211","2007-11-01",4.19
"212","2007-11-02",4.11
"213","2007-11-05",4.15
"214","2007-11-06",4.16
"215","2007-11-07",4.13
"216","2007-11-08",4.01
"217","2007-11-09",4.09
"218","2007-11-12",4.06
"219","2007-11-13",4.19
"220","2007-11-14",4.29
"221","2007-11-15",4.21
"222","2007-11-16",4.25
"223","2007-11-19",4.13
"224","2007-11-20",4.24
"225","2007-11-21",4.17
"226","2007-11-23",4.24
"227","2007-11-26",4.2
"228","2007-11-27",4.17
"229","2007-11-28",4.27
"230","2007-11-29",4.36
"231","2007-11-30",4.54
"232","2007-12-03",4.73
"233","2007-12-04",4.65
"234","2007-12-05",4.82
"235","2007-12-06",4.81
"236","2007-12-07",4.83
