"","date","CIT"
"1","2009-12-10",28.99
"2","2009-12-11",29.639999
"3","2009-12-14",28.5
"4","2009-12-15",26.200001
"5","2009-12-16",26.209999
"6","2009-12-17",26.040001
"7","2009-12-18",27.5
"8","2009-12-21",28.23
"9","2009-12-22",28.610001
"10","2009-12-23",28.870001
"11","2009-12-24",28.85
"12","2009-12-28",28.219999
"13","2009-12-29",27.76
"14","2009-12-30",27.700001
"15","2009-12-31",27.610001
"16","2010-01-04",28.370001
"17","2010-01-05",29.780001
"18","2010-01-06",31.74
"19","2010-01-07",31.77
"20","2010-01-08",32.25
"21","2010-01-11",33.790001
"22","2010-01-12",33.549999
"23","2010-01-13",32.759998
"24","2010-01-14",32.439999
"25","2010-01-15",32.02
"26","2010-01-19",32.639999
"27","2010-01-20",32.91
"28","2010-01-21",32.82
"29","2010-01-22",32.650002
"30","2010-01-25",32.41
"31","2010-01-26",32.470001
"32","2010-01-27",32.130001
"33","2010-01-28",31.48
"34","2010-01-29",31.82
"35","2010-02-01",31.35
"36","2010-02-02",30.780001
"37","2010-02-03",31.34
"38","2010-02-04",30.450001
"39","2010-02-05",30.75
"40","2010-02-08",30.610001
"41","2010-02-09",31.41
"42","2010-02-10",32.009998
"43","2010-02-11",31.84
"44","2010-02-12",32.25
"45","2010-02-16",32.380001
"46","2010-02-17",32.740002
"47","2010-02-18",32.560001
"48","2010-02-19",32.619999
"49","2010-02-22",33.009998
"50","2010-02-23",33.32
"51","2010-02-24",33.73
"52","2010-02-25",35
"53","2010-02-26",36.43
"54","2010-03-01",36.549999
"55","2010-03-02",36.34
"56","2010-03-03",35.720001
"57","2010-03-04",35.400002
"58","2010-03-05",35.990002
"59","2010-03-08",36.080002
"60","2010-03-09",36.009998
"61","2010-03-10",36.59
"62","2010-03-11",37.029999
"63","2010-03-12",36.950001
"64","2010-03-15",36.810001
"65","2010-03-16",36.290001
"66","2010-03-17",37.869999
"67","2010-03-18",37.540001
"68","2010-03-19",38.139999
"69","2010-03-22",38.16
"70","2010-03-23",38.990002
"71","2010-03-24",39.23
"72","2010-03-25",39.009998
"73","2010-03-26",39
"74","2010-03-29",38.98
"75","2010-03-30",38.900002
"76","2010-03-31",38.959999
"77","2010-04-01",39
"78","2010-04-05",38.75
"79","2010-04-06",38.98
"80","2010-04-07",38.919998
"81","2010-04-08",39.459999
"82","2010-04-09",39.740002
"83","2010-04-12",39.040001
"84","2010-04-13",39.299999
"85","2010-04-14",39.799999
"86","2010-04-15",39.950001
"87","2010-04-16",39.189999
"88","2010-04-19",38.950001
"89","2010-04-20",38.759998
"90","2010-04-21",39.099998
"91","2010-04-22",39.799999
"92","2010-04-23",39.790001
"93","2010-04-26",40.700001
"94","2010-04-27",39.98
"95","2010-04-28",40.779999
"96","2010-04-29",40.77
"97","2010-04-30",40.599998
"98","2010-05-03",41.75
"99","2010-05-04",40.18
"100","2010-05-05",38.029999
"101","2010-05-06",35.799999
"102","2010-05-07",35.700001
"103","2010-05-10",38.57
"104","2010-05-11",38.580002
"105","2010-05-12",39.48
"106","2010-05-13",39.389999
"107","2010-05-14",38.349998
