"","date","APHA"
"1","2015-03-18",0.719
"2","2015-03-19",0.72
"3","2015-03-20",0.725
"4","2015-03-23",0.73
"5","2015-03-24",0.73
"6","2015-03-25",0.73
"7","2015-03-26",0.73
"8","2015-03-27",0.73
"9","2015-03-30",0.73
"10","2015-03-31",0.73
"11","2015-04-01",0.73
"12","2015-04-02",0.73
"13","2015-04-06",0.73
"14","2015-04-07",0.73
"15","2015-04-08",0.95
"16","2015-04-09",0.95
"17","2015-04-10",0.95
"18","2015-04-13",0.95
"19","2015-04-14",0.95
"20","2015-04-15",0.95
"21","2015-04-16",0.95
"22","2015-04-17",0.95
"23","2015-04-20",0.95
"24","2015-04-21",0.95
"25","2015-04-22",0.95
"26","2015-04-23",0.95
"27","2015-04-24",0.95
"28","2015-04-27",0.95
"29","2015-04-28",0.95
"30","2015-04-29",0.95
"31","2015-04-30",0.95
"32","2015-05-01",0.95
"33","2015-05-04",0.95
"34","2015-05-05",0.95
"35","2015-05-06",0.855
"36","2015-05-07",0.85
"37","2015-05-08",0.831
"38","2015-05-11",0.83
"39","2015-05-12",0.83
"40","2015-05-13",0.83
"41","2015-05-14",0.83
"42","2015-05-15",0.83
"43","2015-05-18",0.83
"44","2015-05-19",0.83
"45","2015-05-20",0.83
"46","2015-05-21",0.83
"47","2015-05-22",0.83
"48","2015-05-26",0.83
"49","2015-05-27",0.83
"50","2015-05-28",0.83
"51","2015-05-29",0.83
"52","2015-06-01",0.83
"53","2015-06-02",0.83
"54","2015-06-03",0.83
"55","2015-06-04",0.83
"56","2015-06-05",0.83
"57","2015-06-08",0.83
"58","2015-06-09",0.83
"59","2015-06-10",0.83
"60","2015-06-11",0.83
"61","2015-06-12",0.83
"62","2015-06-15",0.83
"63","2015-06-16",0.83
"64","2015-06-17",0.83
"65","2015-06-18",0.83
"66","2015-06-19",0.83
"67","2015-06-22",0.83
"68","2015-06-23",0.83
"69","2015-06-24",0.83
"70","2015-06-25",0.83
"71","2015-06-26",0.83
"72","2015-06-29",0.83
"73","2015-06-30",0.83
"74","2015-07-01",0.83
"75","2015-07-02",0.83
"76","2015-07-06",0.83
"77","2015-07-07",0.83
"78","2015-07-08",0.83
"79","2015-07-09",0.83
"80","2015-07-10",0.83
"81","2015-07-13",0.83
"82","2015-07-14",0.83
"83","2015-07-15",0.83
"84","2015-07-16",0.83
"85","2015-07-17",0.83
"86","2015-07-20",0.83
"87","2015-07-21",0.83
"88","2015-07-22",0.83
"89","2015-07-23",0.83
"90","2015-07-24",0.83
"91","2015-07-27",0.83
"92","2015-07-28",0.83
"93","2015-07-29",0.83
"94","2015-07-30",0.65
"95","2015-07-31",0.65
"96","2015-08-03",0.65
"97","2015-08-04",0.65
"98","2015-08-05",0.65
"99","2015-08-06",0.65
"100","2015-08-07",0.65
"101","2015-08-10",0.65
"102","2015-08-11",0.65
"103","2015-08-12",0.65
"104","2015-08-13",0.65
"105","2015-08-14",0.65
"106","2015-08-17",0.65
"107","2015-08-18",0.65
"108","2015-08-19",0.65
"109","2015-08-20",0.65
"110","2015-08-21",0.65
"111","2015-08-24",0.65
"112","2015-08-25",0.65
"113","2015-08-26",0.65
"114","2015-08-27",0.65
"115","2015-08-28",0.65
"116","2015-08-31",0.65
"117","2015-09-01",0.65
"118","2015-09-02",0.65
"119","2015-09-03",0.65
"120","2015-09-04",0.65
"121","2015-09-08",0.65
"122","2015-09-09",0.65
"123","2015-09-10",0.65
"124","2015-09-11",0.65
"125","2015-09-14",0.65
"126","2015-09-15",0.65
"127","2015-09-16",0.65
"128","2015-09-17",0.65
"129","2015-09-18",0.65
"130","2015-09-21",0.65
"131","2015-09-22",0.65
"132","2015-09-23",0.65
"133","2015-09-24",0.65
"134","2015-09-25",0.65
"135","2015-09-28",0.65
"136","2015-09-29",0.65
"137","2015-09-30",0.65
"138","2015-10-01",0.65
"139","2015-10-02",0.65
"140","2015-10-05",0.65
"141","2015-10-06",0.65
"142","2015-10-07",0.65
"143","2015-10-08",0.65
"144","2015-10-09",0.65
"145","2015-10-12",0.65
"146","2015-10-13",0.65
"147","2015-10-14",0.65
"148","2015-10-15",0.65
"149","2015-10-16",0.65
"150","2015-10-19",0.709
"151","2015-10-20",0.775
"152","2015-10-21",0.765
"153","2015-10-22",0.919
"154","2015-10-23",0.929
"155","2015-10-26",0.923
"156","2015-10-27",0.877
"157","2015-10-28",0.888
"158","2015-10-29",0.89
"159","2015-10-30",0.884
"160","2015-11-02",0.949
"161","2015-11-03",1.049
"162","2015-11-04",1.144
"163","2015-11-05",1.059
"164","2015-11-06",0.975
"165","2015-11-09",1.082
"166","2015-11-10",1.087
"167","2015-11-11",1.09
"168","2015-11-12",1.019
"169","2015-11-13",1.015
"170","2015-11-16",1.02
"171","2015-11-17",1.114
"172","2015-11-18",1.11
"173","2015-11-19",0.973
"174","2015-11-20",0.957
"175","2015-11-23",0.96
"176","2015-11-24",0.96
"177","2015-11-25",0.96
"178","2015-11-27",0.96
"179","2015-11-30",0.96
"180","2015-12-01",0.96
"181","2015-12-02",0.961
"182","2015-12-03",0.974
"183","2015-12-04",0.968
"184","2015-12-07",0.95
"185","2015-12-08",0.94
"186","2015-12-09",0.933
"187","2015-12-10",0.93
"188","2015-12-11",0.898
"189","2015-12-14",0.9
"190","2015-12-15",0.9
"191","2015-12-16",0.9
"192","2015-12-17",0.879
"193","2015-12-18",0.873
"194","2015-12-21",0.864
"195","2015-12-22",0.877
"196","2015-12-23",0.88
"197","2015-12-24",0.88
"198","2015-12-28",0.88
"199","2015-12-29",0.914
"200","2015-12-30",0.898
"201","2015-12-31",0.916
"202","2016-01-04",0.894
"203","2016-01-05",0.89
"204","2016-01-06",0.882
"205","2016-01-07",0.798
