"","date","FRBA"
"1","2010-10-15",3.25
"2","2010-10-18",3.25
"3","2010-10-19",3.1
"4","2010-10-20",3.1
"5","2010-10-21",3.25
"6","2010-10-22",3.15
"7","2010-10-25",3.15
"8","2010-10-26",3.15
"9","2010-10-27",3.25
"10","2010-10-28",3.02
"11","2010-10-29",3.5
"12","2010-11-01",3.5
"13","2010-11-02",3.5
"14","2010-11-03",3.5
"15","2010-11-04",3.5
"16","2010-11-05",3.5
"17","2010-11-08",3.5
"18","2010-11-09",3.5
"19","2010-11-10",3.25
"20","2010-11-11",3.1
"21","2010-11-12",3.1
"22","2010-11-15",3.1
"23","2010-11-16",3
"24","2010-11-17",3
"25","2010-11-18",3
"26","2010-11-19",3
"27","2010-11-22",3
"28","2010-11-23",3
"29","2010-11-24",3
"30","2010-11-26",3
"31","2010-11-29",3
"32","2010-11-30",3.1
"33","2010-12-01",2.75
"34","2010-12-02",3
"35","2010-12-03",2.9
"36","2010-12-06",2.95
"37","2010-12-07",2.95
"38","2010-12-08",3
"39","2010-12-09",3
"40","2010-12-10",2.9
"41","2010-12-13",2.9
"42","2010-12-14",2.9
"43","2010-12-15",2.9
"44","2010-12-16",3
"45","2010-12-17",3
"46","2010-12-20",3
"47","2010-12-21",2.9
"48","2010-12-22",2.9
"49","2010-12-23",2.85
"50","2010-12-27",2.85
"51","2010-12-28",2.75
"52","2010-12-29",2.95
"53","2010-12-30",2.95
"54","2010-12-31",2.75
"55","2011-01-03",2.99
"56","2011-01-04",3
"57","2011-01-05",3.1
"58","2011-01-06",3.1
"59","2011-01-07",3.1
"60","2011-01-10",3.1
"61","2011-01-11",2.94
"62","2011-01-12",2.95
"63","2011-01-13",2.95
"64","2011-01-14",3
"65","2011-01-18",2.8
"66","2011-01-19",2.8
"67","2011-01-20",2.8
"68","2011-01-21",3
"69","2011-01-24",3
"70","2011-01-25",3
"71","2011-01-26",3
"72","2011-01-27",3
"73","2011-01-28",3.15
"74","2011-01-31",3.15
"75","2011-02-01",3.2
"76","2011-02-02",3.2
"77","2011-02-03",3.2
"78","2011-02-04",3.25
"79","2011-02-07",3.26
"80","2011-02-08",3.26
"81","2011-02-09",3.4
"82","2011-02-10",3.1
"83","2011-02-11",3.25
"84","2011-02-14",3.25
"85","2011-02-15",3.1
"86","2011-02-16",3.1
"87","2011-02-17",3.15
"88","2011-02-18",3
"89","2011-02-22",3
"90","2011-02-23",3
"91","2011-02-24",3.15
"92","2011-02-25",3.15
"93","2011-02-28",3
"94","2011-03-01",3
"95","2011-03-02",3.5
"96","2011-03-03",3.5
"97","2011-03-04",3.5
"98","2011-03-07",3.15
"99","2011-03-08",3.15
"100","2011-03-09",3.11
"101","2011-03-10",3.11
"102","2011-03-11",3.25
"103","2011-03-14",3.4
"104","2011-03-15",3.15
"105","2011-03-16",3.15
"106","2011-03-17",3.15
"107","2011-03-18",3.15
"108","2011-03-21",3.39
"109","2011-03-22",3.39
"110","2011-03-23",3.39
"111","2011-03-24",3.39
"112","2011-03-25",3.39
"113","2011-03-28",3.39
"114","2011-03-29",3.39
"115","2011-03-30",3.24
"116","2011-03-31",3.15
"117","2011-04-01",3.25
"118","2011-04-04",3.05
"119","2011-04-05",3.25
"120","2011-04-06",3.25
"121","2011-04-07",3.25
"122","2011-04-08",3.25
"123","2011-04-11",3.25
"124","2011-04-12",3.25
"125","2011-04-13",3.8
"126","2011-04-14",3.8
"127","2011-04-15",4.15
"128","2011-04-18",4.15
"129","2011-04-19",5
"130","2011-04-20",4.5
"131","2011-04-21",5.35
"132","2011-04-25",5.34
"133","2011-04-26",5.34
"134","2011-04-27",5.5
"135","2011-04-28",5.5
"136","2011-04-29",5.5
"137","2011-05-02",5.5
"138","2011-05-03",5.5
"139","2011-05-04",5.5
"140","2011-05-05",5.5
"141","2011-05-06",5.5
"142","2011-05-09",5.25
"143","2011-05-10",6
"144","2011-05-11",6
"145","2011-05-12",6
"146","2011-05-13",6
"147","2011-05-16",5.5
"148","2011-05-17",5.7
"149","2011-05-18",5.7
"150","2011-05-19",5.7
"151","2011-05-20",5.7
"152","2011-05-23",5.7
"153","2011-05-24",5.7
"154","2011-05-25",5.7
"155","2011-05-26",5.7
"156","2011-05-27",5.7
"157","2011-05-31",5.7
"158","2011-06-01",5.7
"159","2011-06-02",5.7
"160","2011-06-03",5.7
"161","2011-06-06",4.3
"162","2011-06-07",4.3
"163","2011-06-08",3.55
"164","2011-06-09",3.9
"165","2011-06-10",3.9
"166","2011-06-13",3.9
"167","2011-06-14",3.9
"168","2011-06-15",3.9
"169","2011-06-16",3.9
"170","2011-06-17",3.9
"171","2011-06-20",3.9
"172","2011-06-21",3.5
"173","2011-06-22",3.5
"174","2011-06-23",3.5
"175","2011-06-24",3.5
"176","2011-06-27",3.5
"177","2011-06-28",3.5
"178","2011-06-29",3.5
"179","2011-06-30",3.5
"180","2011-07-01",3.5
"181","2011-07-05",3.5
"182","2011-07-06",3.5
"183","2011-07-07",3.5
"184","2011-07-08",3.5
"185","2011-07-11",3.5
"186","2011-07-12",3.5
"187","2011-07-13",3.5
"188","2011-07-14",3.5
"189","2011-07-15",3.5
"190","2011-07-18",3.5
"191","2011-07-19",3.5
"192","2011-07-20",3.5
"193","2011-07-21",4
"194","2011-07-22",4
"195","2011-07-25",4
"196","2011-07-26",3.62
"197","2011-07-27",3.62
"198","2011-07-28",3.62
"199","2011-07-29",3.62
"200","2011-08-01",3.62
"201","2011-08-02",3.62
"202","2011-08-03",3.5
"203","2011-08-04",3.5
"204","2011-08-05",3.5
"205","2011-08-08",3.5
"206","2011-08-09",3.5
"207","2011-08-10",3.51
"208","2011-08-11",3.51
"209","2011-08-12",3.51
"210","2011-08-15",3.51
"211","2011-08-16",3.51
"212","2011-08-17",3.51
"213","2011-08-18",3.51
"214","2011-08-19",3.51
"215","2011-08-22",3.51
"216","2011-08-23",3.51
"217","2011-08-24",3.51
"218","2011-08-25",3.51
"219","2011-08-26",3.51
"220","2011-08-29",3.51
"221","2011-08-30",3.52
"222","2011-08-31",3.52
"223","2011-09-01",3.52
"224","2011-09-02",3.52
"225","2011-09-06",3.52
"226","2011-09-07",3.52
"227","2011-09-08",3.52
"228","2011-09-09",3.52
"229","2011-09-12",3.52
"230","2011-09-13",3.52
"231","2011-09-14",3.52
"232","2011-09-15",3.52
"233","2011-09-16",3.52
"234","2011-09-19",3.52
"235","2011-09-20",3.53
"236","2011-09-21",3.7
"237","2011-09-22",3.7
"238","2011-09-23",5
"239","2011-09-26",5
"240","2011-09-27",5
"241","2011-09-28",5
"242","2011-09-29",5
"243","2011-09-30",5
"244","2011-10-03",5
"245","2011-10-04",5
"246","2011-10-05",5
"247","2011-10-06",3.52
