"","date","ARYB"
"1","2020-07-30",11.9
"2","2020-07-31",11.2
"3","2020-08-03",11.2
"4","2020-08-04",11.116
"5","2020-08-05",10.75
"6","2020-08-06",11.15
"7","2020-08-07",10.63
"8","2020-08-10",10.63
"9","2020-08-11",10.5
"10","2020-08-12",10.3
"11","2020-08-13",10.32
"12","2020-08-14",10.32
"13","2020-08-17",10.21
"14","2020-08-18",10.23
"15","2020-08-19",10.3
"16","2020-08-20",10.27
"17","2020-08-21",10.2
"18","2020-08-24",10.14
"19","2020-08-25",10.265
"20","2020-08-26",10.2
"21","2020-08-27",10.35
"22","2020-08-28",10.37
"23","2020-08-31",10.6
"24","2020-09-01",10.27
"25","2020-09-02",10.58
"26","2020-09-03",10.67
"27","2020-09-04",10.6
"28","2020-09-08",10.47
"29","2020-09-09",10.45
"30","2020-09-10",10.31
"31","2020-09-11",10.35
"32","2020-09-14",10.45
"33","2020-09-15",10.9
"34","2020-09-16",11.24
"35","2020-09-17",11.054
"36","2020-09-18",11
"37","2020-09-21",10.51
"38","2020-09-22",10.45
"39","2020-09-23",10.375
"40","2020-09-24",10.4
"41","2020-09-25",10.39
"42","2020-09-28",10.4
"43","2020-09-29",10.32
"44","2020-09-30",10.45
"45","2020-10-01",10.38
"46","2020-10-02",10.37
"47","2020-10-05",10.22
"48","2020-10-06",10.2
"49","2020-10-07",10.2
"50","2020-10-08",10.34
"51","2020-10-09",10.23
"52","2020-10-12",10.18
"53","2020-10-13",9.95
"54","2020-10-14",9.97
"55","2020-10-15",10
"56","2020-10-16",10.04
"57","2020-10-19",10
"58","2020-10-20",10.02
"59","2020-10-21",10.08
"60","2020-10-22",10.25
"61","2020-10-23",10.19
"62","2020-10-26",10.01
"63","2020-10-27",10.1
"64","2020-10-28",NA
"65","2020-10-29",NA
"66","2020-10-30",NA
"67","2020-11-02",NA
"68","2020-11-03",NA
"69","2020-11-04",NA
"70","2020-11-05",NA
"71","2020-11-06",NA
"72","2020-11-09",NA
"73","2020-11-10",NA
"74","2020-11-11",NA
"75","2020-11-12",NA
"76","2020-11-13",NA
"77","2020-11-16",NA
"78","2020-11-17",NA
"79","2020-11-18",NA
"80","2020-11-19",NA
"81","2020-11-20",NA
"82","2020-11-23",NA
"83","2020-11-24",NA
"84","2020-11-25",NA
