"","date","PCYG"
"1","2007-01-03",2.35
"2","2007-01-04",2.35
"3","2007-01-05",2.4
"4","2007-01-08",2.4
"5","2007-01-09",2.35
"6","2007-01-10",2.34
"7","2007-01-11",2.35
"8","2007-01-12",2.34
"9","2007-01-16",1.95
"10","2007-01-17",1.95
"11","2007-01-18",1.95
"12","2007-01-19",1.93
"13","2007-01-22",2
"14","2007-01-23",1.93
"15","2007-01-24",1.93
"16","2007-01-25",2
"17","2007-01-26",1.95
"18","2007-01-29",1.93
"19","2007-01-30",1.93
"20","2007-01-31",1.93
"21","2007-02-01",1.93
"22","2007-02-02",1.88
"23","2007-02-05",2.2
"24","2007-02-06",2.25
"25","2007-02-07",2.25
"26","2007-02-08",2.25
"27","2007-02-09",2.1
"28","2007-02-12",2.4
"29","2007-02-13",2.4
"30","2007-02-14",2.06
"31","2007-02-15",2.1
"32","2007-02-16",2.15
"33","2007-02-20",2.06
"34","2007-02-21",2.2
"35","2007-02-22",2.06
"36","2007-02-23",2.19
"37","2007-02-26",2.19
"38","2007-02-27",2.25
"39","2007-02-28",2.4
"40","2007-03-01",1.95
"41","2007-03-02",1.95
"42","2007-03-05",2.75
"43","2007-03-06",2.35
"44","2007-03-07",2.5
"45","2007-03-08",2.35
"46","2007-03-09",2.07
"47","2007-03-12",1.81
"48","2007-03-13",1.9
"49","2007-03-14",1.98
"50","2007-03-15",1.95
"51","2007-03-16",1.95
"52","2007-03-19",1.95
"53","2007-03-20",2
"54","2007-03-21",1.9
"55","2007-03-22",1.85
"56","2007-03-23",1.8
"57","2007-03-26",1.9
"58","2007-03-27",1.9
"59","2007-03-28",1.95
"60","2007-03-29",1.96
"61","2007-03-30",2
"62","2007-04-02",2.45
"63","2007-04-03",2.45
"64","2007-04-04",2.15
"65","2007-04-05",2.15
"66","2007-04-09",2.44
"67","2007-04-10",2.2
"68","2007-04-11",2.45
"69","2007-04-12",2.45
"70","2007-04-13",3
"71","2007-04-16",3.25
"72","2007-04-17",3
"73","2007-04-18",3.25
"74","2007-04-19",3.25
"75","2007-04-20",3.25
