"","date","HBM"
"1","2009-02-13",4.16
"2","2009-02-17",4.14
"3","2009-02-18",4.16
"4","2009-02-19",4.06
"5","2009-02-20",3.83
"6","2009-02-23",3.9
"7","2009-02-24",4.24
"8","2009-02-25",4.44
"9","2009-02-26",4.78
"10","2009-02-27",4.42
"11","2009-03-02",4.17
"12","2009-03-03",4.4
"13","2009-03-04",4.43
"14","2009-03-05",4.52
"15","2009-03-06",4.41
"16","2009-03-09",4.45
"17","2009-03-10",4.62
"18","2009-03-11",4.66
"19","2009-03-12",4.67
"20","2009-03-13",4.61
"21","2009-03-16",4.55
"22","2009-03-17",4.41
"23","2009-03-18",4.5
"24","2009-03-19",4.55
"25","2009-03-20",4.54
"26","2009-03-23",4.77
"27","2009-03-24",5.01
"28","2009-03-25",4.7
"29","2009-03-26",5.05
"30","2009-03-27",5.08
"31","2009-03-30",4.47
"32","2009-03-31",4.72
"33","2009-04-01",4.95
"34","2009-04-02",5.29
"35","2009-04-03",4.94
"36","2009-04-06",5.32
"37","2009-04-07",5.2
"38","2009-04-08",5.14
"39","2009-04-09",5.82
"40","2009-04-13",6.14
"41","2009-04-14",5.98
"42","2009-04-15",6.1
"43","2009-04-16",5.9
"44","2009-04-17",6.06
"45","2009-04-20",5.58
"46","2009-04-21",5.62
"47","2009-04-22",5.79
"48","2009-04-23",5.66
"49","2009-04-24",6.18
"50","2009-04-27",6.72
"51","2009-04-28",6.69
"52","2009-04-29",6.98
"53","2009-04-30",6.79
"54","2009-05-01",7.05
"55","2009-05-04",7.52
"56","2009-05-05",7.38
"57","2009-05-06",7.35
"58","2009-05-07",6.69
"59","2009-05-08",7
"60","2009-05-11",6.95
"61","2009-05-12",6.58
"62","2009-05-13",6.2
"63","2009-05-14",6.3
"64","2009-05-15",6.05
"65","2009-05-18",6.26
"66","2009-05-19",6.2
"67","2009-05-20",6.4
"68","2009-05-21",6.16
"69","2009-05-22",6.57
"70","2009-05-26",6.71
"71","2009-05-27",6.89
"72","2009-05-28",6.88
"73","2009-05-29",7.36
"74","2009-06-01",7.5
"75","2009-06-02",7.48
"76","2009-06-03",7
"77","2009-06-04",7.28
"78","2009-06-05",7.19
"79","2009-06-08",7.21
"80","2009-06-09",7.29
"81","2009-06-10",7.15
"82","2009-06-11",7.82
"83","2009-06-12",7.61
"84","2009-06-15",7.03
"85","2009-06-16",6.81
"86","2009-06-17",6.71
"87","2009-06-18",7.07
"88","2009-06-19",6.98
"89","2009-06-22",6.42
"90","2009-06-23",6.48
"91","2009-06-24",6.81
"92","2009-06-25",6.81
"93","2009-06-26",6.81
"94","2009-06-29",6.67
"95","2009-06-30",6.47
"96","2009-07-01",6.95
"97","2009-07-02",6.33
"98","2009-07-06",6.33
"99","2009-07-07",5.85
"100","2009-07-08",5.35
"101","2009-07-09",6.2
"102","2009-07-10",6.05
"103","2009-07-13",6.25
"104","2009-07-14",6.57
"105","2009-07-15",6.9
"106","2009-07-16",6.9
"107","2009-07-17",7
"108","2009-07-20",7.27
"109","2009-07-21",7.2
"110","2009-07-22",7.51
"111","2009-07-23",7.52
"112","2009-07-24",7.55
"113","2009-07-27",7.75
"114","2009-07-28",7.3
"115","2009-07-29",7.26
"116","2009-07-30",7.37
"117","2009-07-31",7.38
"118","2009-08-03",7.75
"119","2009-08-04",7.53
"120","2009-08-05",8.02
"121","2009-08-06",7.79
"122","2009-08-07",7.68
"123","2009-08-10",7.54
"124","2009-08-11",7.48
"125","2009-08-12",7.84
"126","2009-08-13",8.1
"127","2009-08-14",7.94
"128","2009-08-17",7.74
"129","2009-08-18",7.74
"130","2009-08-19",7.9
"131","2009-08-20",7.89
"132","2009-08-21",8.03
"133","2009-08-24",8.04
"134","2009-08-25",7.98
"135","2009-08-26",7.83
"136","2009-08-27",7.83
"137","2009-08-28",7.83
"138","2009-08-31",7.62
"139","2009-09-01",7.51
"140","2009-09-02",7.52
"141","2009-09-03",7.8
"142","2009-09-04",8.05
"143","2009-09-08",8
"144","2009-09-09",8.14
"145","2009-09-10",8.09
"146","2009-09-11",8.26
"147","2009-09-14",8.13
"148","2009-09-15",8.17
"149","2009-09-16",8.25
"150","2009-09-17",8.09
"151","2009-09-18",8.68
"152","2009-09-21",8.75
"153","2009-09-22",10.54
"154","2009-09-23",10.69
"155","2009-09-24",10.54
"156","2009-09-25",11.79
"157","2009-09-28",12.02
"158","2009-09-29",11.63
"159","2009-09-30",12.18
"160","2009-10-01",11.33
"161","2009-10-02",11.87
"162","2009-10-05",12.03
"163","2009-10-06",12.4
"164","2009-10-07",12.91
"165","2009-10-08",13.92
"166","2009-10-09",14.73
"167","2009-10-12",14.85
"168","2009-10-13",14.75
"169","2009-10-14",15
"170","2009-10-15",14.6
"171","2009-10-16",14.48
"172","2009-10-19",14.47
"173","2009-10-20",14.01
"174","2009-10-21",14.65
"175","2009-10-22",14.43
"176","2009-10-23",14.2
"177","2009-10-26",13.47
"178","2009-10-27",13.21
"179","2009-10-28",11.98
"180","2009-10-29",13.63
"181","2009-10-30",12.79
"182","2009-11-02",12.68
"183","2009-11-03",13.19
"184","2009-11-04",14.89
"185","2009-11-05",15.01
"186","2009-11-06",15.03
"187","2009-11-09",16.09
"188","2009-11-10",15.9
"189","2009-11-11",15.75
"190","2009-11-12",14.65
"191","2009-11-13",15.31
"192","2009-11-16",15.69
"193","2009-11-17",15.25
"194","2009-11-18",14.62
"195","2009-11-19",14.5
"196","2009-11-20",14.36
"197","2009-11-23",14.32
"198","2009-11-24",13.53
"199","2009-11-25",14.31
"200","2009-11-27",13.76
