"","date","CBSH"
"1","2007-01-03",32.711647
"2","2007-01-04",32.718414
"3","2007-01-05",32.434143
"4","2007-01-08",32.366459
"5","2007-01-09",32.271702
"6","2007-01-10",32.373226
"7","2007-01-11",32.454449
"8","2007-01-12",32.285236
"9","2007-01-16",32.522133
"10","2007-01-17",32.684574
"11","2007-01-18",32.77256
"12","2007-01-19",33.016224
"13","2007-01-22",32.921467
"14","2007-01-23",32.901161
"15","2007-01-24",33.03653
"16","2007-01-25",32.928234
"17","2007-01-26",32.968845
"18","2007-01-29",33.110981
"19","2007-01-30",33.15836
"20","2007-01-31",33.246349
"21","2007-02-01",33.341106
"22","2007-02-02",33.611843
"23","2007-02-05",33.88258
"24","2007-02-06",33.984104
"25","2007-02-07",34.051788
"26","2007-02-08",34.024715
"27","2007-02-09",33.984104
"28","2007-02-12",33.889347
"29","2007-02-13",34.072094
"30","2007-02-14",34.220997
"31","2007-02-15",34.12624
"32","2007-02-16",34.234535
"33","2007-02-20",34.295452
"34","2007-02-21",34.281914
"35","2007-02-22",34.329292
"36","2007-02-23",34.085629
"37","2007-02-26",33.848736
"38","2007-02-27",33.537392
"39","2007-02-28",33.469707
"40","2007-03-01",33.408791
"41","2007-03-02",33.314034
"42","2007-03-05",32.928234
"43","2007-03-06",33.205738
"44","2007-03-07",32.833477
"45","2007-03-08",33.300495
"46","2007-03-09",33.422329
"47","2007-03-12",33.280193
"48","2007-03-13",32.373226
"49","2007-03-14",32.312309
"50","2007-03-15",32.671036
"51","2007-03-16",32.461216
"52","2007-03-19",32.718414
"53","2007-03-20",32.806404
"54","2007-03-21",33.611843
"55","2007-03-22",33.273422
"56","2007-03-23",33.232811
"57","2007-03-26",33.266655
"58","2007-03-27",32.9147
"59","2007-03-28",32.725182
"60","2007-03-29",32.853783
"61","2007-03-30",32.698109
"62","2007-04-02",32.583046
"63","2007-04-03",32.799637
"64","2007-04-04",32.542435
"65","2007-04-05",32.630424
"66","2007-04-09",32.603352
"67","2007-04-10",32.549206
"68","2007-04-11",32.420605
"69","2007-04-12",32.237858
"70","2007-04-13",32.048344
"71","2007-04-16",32.204018
"72","2007-04-17",32.285236
"73","2007-04-18",32.204018
"74","2007-04-19",32.217552
"75","2007-04-20",32.224323
"76","2007-04-23",32.082188
"77","2007-04-24",32.075417
"78","2007-04-25",32.264931
"79","2007-04-26",32.271702
"80","2007-04-27",32.312309
"81","2007-04-30",32.041576
"82","2007-05-01",32.204018
"83","2007-05-02",32.44091
