"","date","SUNS"
"1","2011-02-25",19.6
"2","2011-02-28",19.58
"3","2011-03-01",19.360001
"4","2011-03-02",19.360001
"5","2011-03-03",19.4
"6","2011-03-04",19.25
"7","2011-03-07",19.450001
"8","2011-03-08",19.41
"9","2011-03-09",19.35
"10","2011-03-10",19.27
"11","2011-03-11",19.15
"12","2011-03-14",19.15
"13","2011-03-15",18.92
"14","2011-03-16",18.6
"15","2011-03-17",18.6
"16","2011-03-18",18.77
"17","2011-03-21",18.99
"18","2011-03-22",19.299999
"19","2011-03-23",19.129999
"20","2011-03-24",19.15
"21","2011-03-25",19.25
"22","2011-03-28",18.68
"23","2011-03-29",18.66
"24","2011-03-30",18.65
"25","2011-03-31",18.629999
"26","2011-04-01",19.17
"27","2011-04-04",18.98
"28","2011-04-05",18.950001
"29","2011-04-06",19.02
"30","2011-04-07",18.98
"31","2011-04-08",18.639999
"32","2011-04-11",18.549999
"33","2011-04-12",18.33
"34","2011-04-13",18.290001
"35","2011-04-14",18.120001
"36","2011-04-15",18.200001
"37","2011-04-18",17.969999
"38","2011-04-19",17.93
"39","2011-04-20",17.959999
"40","2011-04-21",18.030001
"41","2011-04-25",18.09
"42","2011-04-26",18.02
"43","2011-04-27",17.98
"44","2011-04-28",18.68
"45","2011-04-29",18.83
"46","2011-05-02",18.629999
"47","2011-05-03",18.629999
"48","2011-05-04",18.209999
"49","2011-05-05",18.18
"50","2011-05-06",18.43
"51","2011-05-09",18.559999
"52","2011-05-10",18.5
"53","2011-05-11",18.200001
"54","2011-05-12",18.4
"55","2011-05-13",18.370001
"56","2011-05-16",18.219999
"57","2011-05-17",18
"58","2011-05-18",18.27
"59","2011-05-19",18.24
"60","2011-05-20",18.07
"61","2011-05-23",17.969999
"62","2011-05-24",17.98
"63","2011-05-25",17.98
"64","2011-05-26",18.129999
"65","2011-05-27",18.18
"66","2011-05-31",18.209999
"67","2011-06-01",17.91
"68","2011-06-02",18.030001
"69","2011-06-03",17.93
"70","2011-06-06",17.82
"71","2011-06-07",17.959999
"72","2011-06-08",17.969999
"73","2011-06-09",18.08
"74","2011-06-10",17.58
"75","2011-06-13",17.559999
"76","2011-06-14",17.75
"77","2011-06-15",17.59
"78","2011-06-16",17.68
"79","2011-06-17",17.530001
"80","2011-06-20",17.620001
"81","2011-06-21",17.870001
"82","2011-06-22",17.4
"83","2011-06-23",17.82
"84","2011-06-24",18.5
"85","2011-06-27",18
"86","2011-06-28",18
"87","2011-06-29",18.040001
"88","2011-06-30",17.950001
"89","2011-07-01",18.15
"90","2011-07-05",18.35
"91","2011-07-06",18.23
"92","2011-07-07",18.26
"93","2011-07-08",18.280001
"94","2011-07-11",18.23
"95","2011-07-12",18.139999
"96","2011-07-13",18.059999
"97","2011-07-14",17.940001
"98","2011-07-15",17.700001
"99","2011-07-18",17.6
"100","2011-07-19",17.77
"101","2011-07-20",17.719999
"102","2011-07-21",18.16
"103","2011-07-22",18.15
"104","2011-07-25",17.91
"105","2011-07-26",18.120001
"106","2011-07-27",18.08
"107","2011-07-28",18
"108","2011-07-29",17.879999
"109","2011-08-01",18.049999
"110","2011-08-02",17.469999
"111","2011-08-03",17.83
"112","2011-08-04",17.42
"113","2011-08-05",17.1
"114","2011-08-08",15.65
"115","2011-08-09",16
"116","2011-08-10",15.66
"117","2011-08-11",15.67
"118","2011-08-12",15.57
"119","2011-08-15",15.85
"120","2011-08-16",15.53
"121","2011-08-17",15.42
"122","2011-08-18",14.99
"123","2011-08-19",14.57
"124","2011-08-22",14.71
"125","2011-08-23",15.5
"126","2011-08-24",15.91
"127","2011-08-25",15.52
"128","2011-08-26",15.45
"129","2011-08-29",15.99
"130","2011-08-30",16.200001
"131","2011-08-31",16.690001
"132","2011-09-01",16.08
"133","2011-09-02",15.62
"134","2011-09-06",15.32
"135","2011-09-07",15.23
"136","2011-09-08",15.02
"137","2011-09-09",14.75
"138","2011-09-12",14.6
"139","2011-09-13",15.26
"140","2011-09-14",15.36
"141","2011-09-15",15.6
"142","2011-09-16",15.54
"143","2011-09-19",15.7
"144","2011-09-20",15.78
"145","2011-09-21",15.51
"146","2011-09-22",14.66
"147","2011-09-23",14.74
"148","2011-09-26",14.65
"149","2011-09-27",15.12
"150","2011-09-28",14.6
"151","2011-09-29",14.7
"152","2011-09-30",14.29
"153","2011-10-03",13.7
"154","2011-10-04",14.4
"155","2011-10-05",15.2
"156","2011-10-06",15.6
"157","2011-10-07",14.67
"158","2011-10-10",15.43
"159","2011-10-11",15.65
"160","2011-10-12",15.89
"161","2011-10-13",15.74
"162","2011-10-14",15.88
"163","2011-10-17",15.31
"164","2011-10-18",15.8
"165","2011-10-19",15.24
"166","2011-10-20",15.05
"167","2011-10-21",15.43
"168","2011-10-24",15.95
"169","2011-10-25",15.29
"170","2011-10-26",15.45
"171","2011-10-27",15.9
"172","2011-10-28",15.65
"173","2011-10-31",14.97
"174","2011-11-01",14.17
"175","2011-11-02",15.42
"176","2011-11-03",15.93
"177","2011-11-04",15.78
"178","2011-11-07",15.9
"179","2011-11-08",15.95
"180","2011-11-09",15.29
"181","2011-11-10",15.68
"182","2011-11-11",15.97
"183","2011-11-14",15.71
"184","2011-11-15",15.85
