"","date","DISCK"
"1","2008-09-18",8
"2","2008-09-19",8.35
"3","2008-09-22",8.435
"4","2008-09-23",8.31
"5","2008-09-24",7.925
"6","2008-09-25",8.035
"7","2008-09-26",7.75
"8","2008-09-29",7.31
"9","2008-09-30",7.08
"10","2008-10-01",7.155
"11","2008-10-02",6.7
"12","2008-10-03",6.495
"13","2008-10-06",6.235
"14","2008-10-07",5.9
"15","2008-10-08",5.605
"16","2008-10-09",5.44
"17","2008-10-10",5.22
"18","2008-10-13",6.12
"19","2008-10-14",6.55
"20","2008-10-15",6.135
"21","2008-10-16",5.945
"22","2008-10-17",6.2
"23","2008-10-20",6.37
"24","2008-10-21",6.28
"25","2008-10-22",5.9
"26","2008-10-23",5.69
"27","2008-10-24",4.895
"28","2008-10-27",5
"29","2008-10-28",5.275
"30","2008-10-29",5.81
"31","2008-10-30",6.295
"32","2008-10-31",6.66
"33","2008-11-03",6.525
"34","2008-11-04",6.79
"35","2008-11-05",6.63
"36","2008-11-06",5.675
"37","2008-11-07",6.755
"38","2008-11-10",6.675
"39","2008-11-11",6.57
"40","2008-11-12",5.93
"41","2008-11-13",6.495
"42","2008-11-14",6.73
"43","2008-11-17",6.29
"44","2008-11-18",5.93
"45","2008-11-19",5.875
"46","2008-11-20",5.98
"47","2008-11-21",6.165
"48","2008-11-24",6.585
"49","2008-11-25",6.36
"50","2008-11-26",6.67
"51","2008-11-28",7.565
"52","2008-12-01",6.585
"53","2008-12-02",6.55
"54","2008-12-03",6.75
"55","2008-12-04",6.195
"56","2008-12-05",6.645
"57","2008-12-08",7.11
"58","2008-12-09",6.56
"59","2008-12-10",6.465
"60","2008-12-11",6.005
"61","2008-12-12",6.255
"62","2008-12-15",6.09
"63","2008-12-16",6.22
"64","2008-12-17",6.255
"65","2008-12-18",6.69
"66","2008-12-19",6.92
"67","2008-12-22",6.61
"68","2008-12-23",6.58
"69","2008-12-24",6.545
"70","2008-12-26",6.565
"71","2008-12-29",6.57
"72","2008-12-30",6.645
"73","2008-12-31",6.695
"74","2009-01-02",6.89
"75","2009-01-05",7.04
"76","2009-01-06",7.225
"77","2009-01-07",6.9
"78","2009-01-08",7.12
"79","2009-01-09",7.205
"80","2009-01-12",7.19
"81","2009-01-13",7.395
"82","2009-01-14",7.295
"83","2009-01-15",7.235
"84","2009-01-16",7.26
"85","2009-01-20",6.71
"86","2009-01-21",7.18
"87","2009-01-22",7.2
"88","2009-01-23",7.195
"89","2009-01-26",7.095
"90","2009-01-27",7.28
"91","2009-01-28",7.3
"92","2009-01-29",7.07
"93","2009-01-30",7.19
"94","2009-02-02",7.21
"95","2009-02-03",7.09
"96","2009-02-04",6.8
"97","2009-02-05",6.685
