"","date","ORI"
"1","2007-01-03",23.51
"2","2007-01-04",23.34
"3","2007-01-05",23.059999
"4","2007-01-08",22.84
"5","2007-01-09",22.799999
"6","2007-01-10",22.82
"7","2007-01-11",22.940001
"8","2007-01-12",23.17
"9","2007-01-16",23.200001
"10","2007-01-17",23.1
"11","2007-01-18",22.969999
"12","2007-01-19",22.85
"13","2007-01-22",22.85
"14","2007-01-23",22.860001
"15","2007-01-24",23.1
"16","2007-01-25",22.309999
"17","2007-01-26",22.440001
"18","2007-01-29",22.35
"19","2007-01-30",22.559999
"20","2007-01-31",22.299999
"21","2007-02-01",22.540001
"22","2007-02-02",22.74
"23","2007-02-05",22.67
"24","2007-02-06",22.9
"25","2007-02-07",22.879999
"26","2007-02-08",22.799999
"27","2007-02-09",22.82
"28","2007-02-12",22.790001
"29","2007-02-13",23.040001
"30","2007-02-14",23.16
"31","2007-02-15",23.120001
"32","2007-02-16",23.07
"33","2007-02-20",23.16
"34","2007-02-21",23.16
"35","2007-02-22",23.02
"36","2007-02-23",22.889999
"37","2007-02-26",22.9
"38","2007-02-27",22.23
"39","2007-02-28",22.32
"40","2007-03-01",22.219999
"41","2007-03-02",22.08
"42","2007-03-05",21.93
"43","2007-03-06",21.870001
"44","2007-03-07",21.879999
"45","2007-03-08",21.959999
"46","2007-03-09",22.059999
"47","2007-03-12",22.129999
"48","2007-03-13",21.780001
"49","2007-03-14",21.74
"50","2007-03-15",21.85
"51","2007-03-16",21.68
"52","2007-03-19",21.959999
"53","2007-03-20",22.02
"54","2007-03-21",22.219999
"55","2007-03-22",22.190001
"56","2007-03-23",22.209999
"57","2007-03-26",22.34
"58","2007-03-27",22.190001
"59","2007-03-28",21.950001
"60","2007-03-29",22.07
"61","2007-03-30",22.120001
"62","2007-04-02",22.17
"63","2007-04-03",22.35
"64","2007-04-04",22.35
"65","2007-04-05",22.32
"66","2007-04-09",22.27
"67","2007-04-10",22.309999
"68","2007-04-11",22.200001
"69","2007-04-12",22.09
"70","2007-04-13",22.08
"71","2007-04-16",22.290001
"72","2007-04-17",22.33
"73","2007-04-18",22.290001
"74","2007-04-19",22.24
"75","2007-04-20",22.379999
"76","2007-04-23",22.219999
"77","2007-04-24",22.129999
"78","2007-04-25",22.370001
"79","2007-04-26",21.950001
"80","2007-04-27",21.780001
"81","2007-04-30",21.27
"82","2007-05-01",21.34
"83","2007-05-02",21.459999
"84","2007-05-03",21.52
"85","2007-05-04",21.549999
"86","2007-05-07",21.639999
"87","2007-05-08",21.540001
"88","2007-05-09",21.690001
"89","2007-05-10",21.540001
"90","2007-05-11",21.67
"91","2007-05-14",21.469999
"92","2007-05-15",21.48
"93","2007-05-16",21.459999
"94","2007-05-17",21.459999
"95","2007-05-18",21.59
"96","2007-05-21",21.530001
"97","2007-05-22",21.459999
"98","2007-05-23",21.52
"99","2007-05-24",21.42
"100","2007-05-25",21.469999
"101","2007-05-29",21.49
"102","2007-05-30",21.6
"103","2007-05-31",21.66
"104","2007-06-01",22.08
"105","2007-06-04",22.17
"106","2007-06-05",21.860001
"107","2007-06-06",21.85
"108","2007-06-07",21.559999
"109","2007-06-08",21.91
"110","2007-06-11",21.809999
"111","2007-06-12",21.73
"112","2007-06-13",21.530001
"113","2007-06-14",21.6
"114","2007-06-15",21.75
"115","2007-06-18",21.68
"116","2007-06-19",21.780001
"117","2007-06-20",21.42
"118","2007-06-21",21.389999
"119","2007-06-22",21.200001
"120","2007-06-25",21.059999
"121","2007-06-26",21.129999
"122","2007-06-27",21.299999
"123","2007-06-28",21.24
