"","date","CACI"
"1","2007-01-03",56.330002
"2","2007-01-04",56.689999
"3","2007-01-05",55.830002
"4","2007-01-08",56.790001
"5","2007-01-09",56.810001
"6","2007-01-10",57.209999
"7","2007-01-11",56.900002
"8","2007-01-12",56.34
"9","2007-01-16",55.869999
"10","2007-01-17",55.099998
"11","2007-01-18",47.220001
"12","2007-01-19",47.560001
"13","2007-01-22",46.259998
"14","2007-01-23",46.099998
"15","2007-01-24",46.529999
"16","2007-01-25",46.860001
"17","2007-01-26",46.259998
"18","2007-01-29",46.52
"19","2007-01-30",46.630001
"20","2007-01-31",47.029999
"21","2007-02-01",47.580002
"22","2007-02-02",47.799999
"23","2007-02-05",47.549999
"24","2007-02-06",47.549999
"25","2007-02-07",47
"26","2007-02-08",46.68
"27","2007-02-09",46.650002
"28","2007-02-12",45.599998
"29","2007-02-13",45.610001
"30","2007-02-14",46.290001
"31","2007-02-15",46.16
"32","2007-02-16",45.84
"33","2007-02-20",46.360001
"34","2007-02-21",46.73
"35","2007-02-22",47.189999
"36","2007-02-23",47.509998
"37","2007-02-26",48
"38","2007-02-27",46.580002
"39","2007-02-28",46.5
"40","2007-03-01",46.630001
"41","2007-03-02",46.41
"42","2007-03-05",46.299999
"43","2007-03-06",47.349998
"44","2007-03-07",47.450001
"45","2007-03-08",47.619999
"46","2007-03-09",47.73
"47","2007-03-12",47.509998
"48","2007-03-13",46.900002
"49","2007-03-14",47.400002
"50","2007-03-15",47.68
"51","2007-03-16",47.200001
"52","2007-03-19",46.990002
"53","2007-03-20",47.299999
"54","2007-03-21",48.360001
"55","2007-03-22",48.25
"56","2007-03-23",48
"57","2007-03-26",48.09
"58","2007-03-27",47.939999
"59","2007-03-28",47.200001
"60","2007-03-29",47.490002
"61","2007-03-30",46.860001
"62","2007-04-02",46.84
"63","2007-04-03",47.290001
"64","2007-04-04",47.25
"65","2007-04-05",46.57
"66","2007-04-09",46.459999
"67","2007-04-10",46.709999
"68","2007-04-11",46.77
"69","2007-04-12",47.450001
"70","2007-04-13",47.049999
"71","2007-04-16",47.41
"72","2007-04-17",47.099998
"73","2007-04-18",46.75
"74","2007-04-19",46.740002
"75","2007-04-20",47.040001
"76","2007-04-23",47
"77","2007-04-24",47.27
"78","2007-04-25",47.18
"79","2007-04-26",46.880001
"80","2007-04-27",46.689999
"81","2007-04-30",45.73
"82","2007-05-01",45.560001
"83","2007-05-02",46.900002
"84","2007-05-03",47.380001
"85","2007-05-04",46.650002
"86","2007-05-07",47.5
"87","2007-05-08",47.860001
"88","2007-05-09",48.099998
"89","2007-05-10",45.540001
"90","2007-05-11",45.380001
"91","2007-05-14",45.240002
"92","2007-05-15",45.990002
"93","2007-05-16",46.41
"94","2007-05-17",46.470001
"95","2007-05-18",47.57
"96","2007-05-21",48.450001
"97","2007-05-22",49.41
"98","2007-05-23",50.029999
"99","2007-05-24",49.709999
"100","2007-05-25",50.709999
"101","2007-05-29",51.189999
"102","2007-05-30",51.68
"103","2007-05-31",51.549999
"104","2007-06-01",51.549999
"105","2007-06-04",51.98
"106","2007-06-05",51.41
"107","2007-06-06",51.43
"108","2007-06-07",50.27
"109","2007-06-08",51
"110","2007-06-11",51.049999
"111","2007-06-12",50.959999
"112","2007-06-13",50.610001
"113","2007-06-14",50.549999
"114","2007-06-15",50.939999
