"","date","SSKN"
"1","2007-01-03",346.5
"2","2007-01-04",350
"3","2007-01-05",339
"4","2007-01-08",325.5
"5","2007-01-09",324
"6","2007-01-10",315
"7","2007-01-11",291
"8","2007-01-12",297.5
"9","2007-01-16",305.5
"10","2007-01-17",306.5
"11","2007-01-18",299.5
"12","2007-01-19",293
"13","2007-01-22",271
"14","2007-01-23",279.5
"15","2007-01-24",276.5
"16","2007-01-25",275
"17","2007-01-26",281
"18","2007-01-29",299.5
"19","2007-01-30",285.5
"20","2007-01-31",280
"21","2007-02-01",289.5
"22","2007-02-02",295
"23","2007-02-05",294
"24","2007-02-06",297.5
"25","2007-02-07",292.5
"26","2007-02-08",277
"27","2007-02-09",281
"28","2007-02-12",278
"29","2007-02-13",273
"30","2007-02-14",264
"31","2007-02-15",259
"32","2007-02-16",256.5
"33","2007-02-20",251
"34","2007-02-21",285
"35","2007-02-22",285.5
"36","2007-02-23",282
"37","2007-02-26",286
"38","2007-02-27",285
"39","2007-02-28",280
"40","2007-03-01",275.5
"41","2007-03-02",269
"42","2007-03-05",257
"43","2007-03-06",260.5
"44","2007-03-07",260
"45","2007-03-08",262
"46","2007-03-09",238
"47","2007-03-12",236.5
"48","2007-03-13",242.5
"49","2007-03-14",231.5
"50","2007-03-15",226.5
"51","2007-03-16",234.5
"52","2007-03-19",246
"53","2007-03-20",247.5
"54","2007-03-21",249.5
"55","2007-03-22",250
"56","2007-03-23",251
"57","2007-03-26",245
"58","2007-03-27",248.5
"59","2007-03-28",247
"60","2007-03-29",250
"61","2007-03-30",257.5
"62","2007-04-02",258.5
"63","2007-04-03",254
"64","2007-04-04",257.5
"65","2007-04-05",257
"66","2007-04-09",255
"67","2007-04-10",250
"68","2007-04-11",247.5
"69","2007-04-12",249.5
"70","2007-04-13",246.5
"71","2007-04-16",250
"72","2007-04-17",248.5
"73","2007-04-18",247.5
"74","2007-04-19",248
"75","2007-04-20",250
"76","2007-04-23",243.5
"77","2007-04-24",246
"78","2007-04-25",254
"79","2007-04-26",250
"80","2007-04-27",240
"81","2007-04-30",224
"82","2007-05-01",224
"83","2007-05-02",219.5
"84","2007-05-03",220.5
"85","2007-05-04",218.5
"86","2007-05-07",217.5
"87","2007-05-08",218.5
"88","2007-05-09",217.5
"89","2007-05-10",218
"90","2007-05-11",219
"91","2007-05-14",216.5
"92","2007-05-15",215.5
"93","2007-05-16",227
"94","2007-05-17",226.5
"95","2007-05-18",227.5
"96","2007-05-21",227
"97","2007-05-22",230
"98","2007-05-23",229
"99","2007-05-24",227
"100","2007-05-25",231
"101","2007-05-29",233.5
"102","2007-05-30",249.5
"103","2007-05-31",285.5
"104","2007-06-01",270.5
"105","2007-06-04",270.5
"106","2007-06-05",264
"107","2007-06-06",275
"108","2007-06-07",285
"109","2007-06-08",290
"110","2007-06-11",287.5
"111","2007-06-12",302
"112","2007-06-13",311.5
"113","2007-06-14",340
"114","2007-06-15",316
"115","2007-06-18",314
"116","2007-06-19",315
"117","2007-06-20",319.5
"118","2007-06-21",327.5
"119","2007-06-22",335
"120","2007-06-25",345
"121","2007-06-26",335
"122","2007-06-27",326
"123","2007-06-28",334.5
"124","2007-06-29",336
"125","2007-07-02",325
"126","2007-07-03",325
"127","2007-07-05",325.5
"128","2007-07-06",323.5
"129","2007-07-09",291
"130","2007-07-10",274
"131","2007-07-11",270.5
"132","2007-07-12",298
"133","2007-07-13",317
"134","2007-07-16",290.5
"135","2007-07-17",305
"136","2007-07-18",300
"137","2007-07-19",317
"138","2007-07-20",325
"139","2007-07-23",325
"140","2007-07-24",327
"141","2007-07-25",325
"142","2007-07-26",318.5
"143","2007-07-27",330
"144","2007-07-30",327.5
"145","2007-07-31",326.5
"146","2007-08-01",334.5
"147","2007-08-02",336.5
"148","2007-08-03",332
"149","2007-08-06",324.5
"150","2007-08-07",310
"151","2007-08-08",316.5
"152","2007-08-09",298.5
"153","2007-08-10",287.5
"154","2007-08-13",262.5
"155","2007-08-14",268.5
"156","2007-08-15",297
"157","2007-08-16",272.5
"158","2007-08-17",287.5
"159","2007-08-20",292.5
"160","2007-08-21",288
"161","2007-08-22",290
"162","2007-08-23",292.5
"163","2007-08-24",292.5
"164","2007-08-27",307.5
"165","2007-08-28",299
"166","2007-08-29",301
"167","2007-08-30",303
"168","2007-08-31",308.5
"169","2007-09-04",313.5
"170","2007-09-05",303
"171","2007-09-06",302.5
"172","2007-09-07",306.5
"173","2007-09-10",300
"174","2007-09-11",299.5
"175","2007-09-12",295.5
"176","2007-09-13",294
"177","2007-09-14",295
"178","2007-09-17",292.5
"179","2007-09-18",281.5
"180","2007-09-19",290
"181","2007-09-20",289
"182","2007-09-21",277.5
"183","2007-09-24",277.5
"184","2007-09-25",277.5
"185","2007-09-26",276.5
"186","2007-09-27",277.5
"187","2007-09-28",275
"188","2007-10-01",279.5
"189","2007-10-02",276
"190","2007-10-03",272.5
"191","2007-10-04",277.5
"192","2007-10-05",277.5
"193","2007-10-08",275.5
"194","2007-10-09",275
"195","2007-10-10",277.5
"196","2007-10-11",275
"197","2007-10-12",284
"198","2007-10-15",275.5
"199","2007-10-16",272.5
"200","2007-10-17",276
"201","2007-10-18",276
"202","2007-10-19",272.5
"203","2007-10-22",272.5
"204","2007-10-23",273
"205","2007-10-24",272
"206","2007-10-25",285
"207","2007-10-26",275
