"","date","CASA"
"1","2017-12-15",14.4
"2","2017-12-18",14.6
"3","2017-12-19",14.9
"4","2017-12-20",14.79
"5","2017-12-21",15.7
"6","2017-12-22",15.11
"7","2017-12-26",15.74
"8","2017-12-27",15.85
"9","2017-12-28",15.74
"10","2017-12-29",17.76
"11","2018-01-02",18.549999
"12","2018-01-03",18.200001
"13","2018-01-04",17.700001
"14","2018-01-05",18.799999
"15","2018-01-08",19.120001
"16","2018-01-09",18.48
"17","2018-01-10",19.040001
"18","2018-01-11",19.68
"19","2018-01-12",20.51
"20","2018-01-16",20.42
"21","2018-01-17",19.959999
"22","2018-01-18",18.43
"23","2018-01-19",18.530001
"24","2018-01-22",18.17
"25","2018-01-23",19.23
"26","2018-01-24",18.75
"27","2018-01-25",18.870001
"28","2018-01-26",17.5
"29","2018-01-29",18.209999
"30","2018-01-30",17.860001
"31","2018-01-31",19.09
"32","2018-02-01",19.9
"33","2018-02-02",20.610001
"34","2018-02-05",20.040001
"35","2018-02-06",19.98
"36","2018-02-07",20.24
"37","2018-02-08",18.639999
"38","2018-02-09",18.040001
"39","2018-02-12",18
"40","2018-02-13",17.98
"41","2018-02-14",17.969999
"42","2018-02-15",18.709999
"43","2018-02-16",19.27
"44","2018-02-20",20.67
"45","2018-02-21",20.1
"46","2018-02-22",19.41
"47","2018-02-23",19.639999
"48","2018-02-26",20.25
"49","2018-02-27",22.58
"50","2018-02-28",22.76
"51","2018-03-01",22.67
"52","2018-03-02",21.950001
"53","2018-03-05",23.5
"54","2018-03-06",24.33
"55","2018-03-07",24.1
"56","2018-03-08",24.870001
"57","2018-03-09",26.9
"58","2018-03-12",29.879999
"59","2018-03-13",30
"60","2018-03-14",31.200001
"61","2018-03-15",33.59
"62","2018-03-16",31.549999
"63","2018-03-19",32.099998
"64","2018-03-20",31.51
"65","2018-03-21",31.42
"66","2018-03-22",31.99
"67","2018-03-23",29.700001
"68","2018-03-26",31.75
"69","2018-03-27",29.52
"70","2018-03-28",27.959999
"71","2018-03-29",29.34
"72","2018-04-02",28.91
"73","2018-04-03",29.27
"74","2018-04-04",28.469999
"75","2018-04-05",29.08
"76","2018-04-06",27.51
"77","2018-04-09",28.82
"78","2018-04-10",29.799999
"79","2018-04-11",29.57
"80","2018-04-12",30.58
"81","2018-04-13",30.34
"82","2018-04-16",30.76
"83","2018-04-17",33.32
"84","2018-04-18",32.849998
