"","date","AXL"
"1","2007-01-03",18.6
"2","2007-01-04",18.59
"3","2007-01-05",17.93
"4","2007-01-08",17.379999
"5","2007-01-09",17.66
"6","2007-01-10",17.68
"7","2007-01-11",18.98
"8","2007-01-12",18.98
"9","2007-01-16",19.360001
"10","2007-01-17",19.440001
"11","2007-01-18",19.209999
"12","2007-01-19",19.459999
"13","2007-01-22",19.35
"14","2007-01-23",20.08
"15","2007-01-24",20
"16","2007-01-25",20.33
"17","2007-01-26",21.030001
"18","2007-01-29",20.93
"19","2007-01-30",21.07
"20","2007-01-31",20.780001
"21","2007-02-01",20.950001
"22","2007-02-02",22.35
"23","2007-02-05",23.57
"24","2007-02-06",24.66
"25","2007-02-07",24.65
"26","2007-02-08",25.34
"27","2007-02-09",25.309999
"28","2007-02-12",24.93
"29","2007-02-13",25.26
"30","2007-02-14",25.26
"31","2007-02-15",25.620001
"32","2007-02-16",25.450001
"33","2007-02-20",25.559999
"34","2007-02-21",25.68
"35","2007-02-22",25.82
"36","2007-02-23",26.1
"37","2007-02-26",26.09
"38","2007-02-27",24.66
"39","2007-02-28",24.51
"40","2007-03-01",24.51
"41","2007-03-02",23.65
"42","2007-03-05",23.58
"43","2007-03-06",24.25
"44","2007-03-07",26.49
"45","2007-03-08",26.879999
"46","2007-03-09",26.6
"47","2007-03-12",26.77
"48","2007-03-13",26
"49","2007-03-14",26.02
"50","2007-03-15",26.219999
"51","2007-03-16",25.84
"52","2007-03-19",26.9
"53","2007-03-20",27.030001
"54","2007-03-21",27.73
"55","2007-03-22",28.16
"56","2007-03-23",28.02
"57","2007-03-26",28.16
"58","2007-03-27",27.959999
"59","2007-03-28",27.74
"60","2007-03-29",27.639999
"61","2007-03-30",27.35
"62","2007-04-02",27.84
"63","2007-04-03",28.16
"64","2007-04-04",27.709999
"65","2007-04-05",28.209999
"66","2007-04-09",28.6
"67","2007-04-10",29.07
"68","2007-04-11",28.459999
"69","2007-04-12",28.799999
"70","2007-04-13",28.690001
"71","2007-04-16",28.74
"72","2007-04-17",27.059999
"73","2007-04-18",26.76
"74","2007-04-19",26.82
"75","2007-04-20",27.16
"76","2007-04-23",27.620001
"77","2007-04-24",27.309999
"78","2007-04-25",27.870001
"79","2007-04-26",28.469999
"80","2007-04-27",27.85
"81","2007-04-30",27.950001
"82","2007-05-01",27.690001
"83","2007-05-02",28.299999
"84","2007-05-03",28.049999
"85","2007-05-04",27.870001
"86","2007-05-07",28.08
"87","2007-05-08",28.139999
"88","2007-05-09",27.99
"89","2007-05-10",27.879999
"90","2007-05-11",28.110001
"91","2007-05-14",28.34
"92","2007-05-15",28.26
"93","2007-05-16",28.6
"94","2007-05-17",29.17
"95","2007-05-18",29.219999
"96","2007-05-21",29.32
"97","2007-05-22",29.49
"98","2007-05-23",29.09
"99","2007-05-24",28.59
"100","2007-05-25",28.629999
"101","2007-05-29",28.51
"102","2007-05-30",28.719999
"103","2007-05-31",28.82
"104","2007-06-01",29
"105","2007-06-04",29.41
"106","2007-06-05",28.959999
"107","2007-06-06",28.9
"108","2007-06-07",28.35
"109","2007-06-08",28.799999
"110","2007-06-11",28.629999
