"","date","AMAL"
"1","2018-08-09",16.5
"2","2018-08-10",16.4
"3","2018-08-13",16.5
"4","2018-08-14",16.5
"5","2018-08-15",16.43
"6","2018-08-16",16.43
"7","2018-08-17",16.42
"8","2018-08-20",16.49
"9","2018-08-21",16.639999
"10","2018-08-22",17.040001
"11","2018-08-23",17.690001
"12","2018-08-24",17.700001
"13","2018-08-27",17.299999
"14","2018-08-28",17.700001
"15","2018-08-29",17.59
"16","2018-08-30",17.4
"17","2018-08-31",17.440001
"18","2018-09-04",17.75
"19","2018-09-05",17.959999
"20","2018-09-06",19.1
"21","2018-09-07",18.98
"22","2018-09-10",18.950001
"23","2018-09-11",18.9
"24","2018-09-12",18.85
"25","2018-09-13",18.91
"26","2018-09-14",18.76
"27","2018-09-17",18.889999
"28","2018-09-18",18.66
"29","2018-09-19",18.639999
"30","2018-09-20",18.1
"31","2018-09-21",18.59
"32","2018-09-24",18.75
"33","2018-09-25",18.860001
"34","2018-09-26",19.139999
"35","2018-09-27",19.4
"36","2018-09-28",19.290001
"37","2018-10-01",19.459999
"38","2018-10-02",19
"39","2018-10-03",19.700001
"40","2018-10-04",19.51
"41","2018-10-05",19.41
"42","2018-10-08",19.719999
"43","2018-10-09",19.66
"44","2018-10-10",19.6
"45","2018-10-11",19.51
"46","2018-10-12",19.68
"47","2018-10-15",19.99
"48","2018-10-16",20.059999
"49","2018-10-17",20.23
"50","2018-10-18",20.280001
"51","2018-10-19",19.790001
"52","2018-10-22",19.610001
"53","2018-10-23",19.190001
"54","2018-10-24",18.92
"55","2018-10-25",19.370001
"56","2018-10-26",19.200001
"57","2018-10-29",18.77
"58","2018-10-30",19.25
"59","2018-10-31",19.4
"60","2018-11-01",19.629999
"61","2018-11-02",19.75
"62","2018-11-05",19.969999
"63","2018-11-06",21.209999
"64","2018-11-07",20.16
"65","2018-11-08",21.02
"66","2018-11-09",20.969999
"67","2018-11-12",21.68
"68","2018-11-13",22.42
"69","2018-11-14",19.82
"70","2018-11-15",19.82
"71","2018-11-16",19.93
"72","2018-11-19",19.91
"73","2018-11-20",19.889999
"74","2018-11-21",19.879999
"75","2018-11-23",20.15
"76","2018-11-26",20.65
"77","2018-11-27",20.4
"78","2018-11-28",20.549999
"79","2018-11-29",20.83
"80","2018-11-30",21.360001
"81","2018-12-03",20.719999
"82","2018-12-04",20.02
"83","2018-12-06",20.17
"84","2018-12-07",19.74
"85","2018-12-10",19.84
"86","2018-12-11",19.84
"87","2018-12-12",19.809999
"88","2018-12-13",18.59
"89","2018-12-14",18.5
"90","2018-12-17",18.549999
"91","2018-12-18",18.219999
"92","2018-12-19",17.41
"93","2018-12-20",16.969999
"94","2018-12-21",16.84
"95","2018-12-24",16.59
"96","2018-12-26",17.459999
