"","date","TSBK"
"1","2007-01-03",18.700001
"2","2007-01-04",18.625
"3","2007-01-05",18.545
"4","2007-01-08",18.665001
"5","2007-01-09",18.82
"6","2007-01-10",18.535
"7","2007-01-11",18.530001
"8","2007-01-12",18.41
"9","2007-01-16",18.525
"10","2007-01-17",18.459999
"11","2007-01-18",18.82
"12","2007-01-19",18.735001
"13","2007-01-22",18.735001
"14","2007-01-23",18.745001
"15","2007-01-24",18.424999
"16","2007-01-25",18.415001
"17","2007-01-26",18.424999
"18","2007-01-29",18.360001
"19","2007-01-30",18.42
"20","2007-01-31",18.290001
"21","2007-02-01",18.424999
"22","2007-02-02",18.370001
"23","2007-02-05",18.4
"24","2007-02-06",18.4
"25","2007-02-07",18.434999
"26","2007-02-08",18.434999
"27","2007-02-09",18.370001
"28","2007-02-12",18.424999
"29","2007-02-13",18.4
"30","2007-02-14",18.389999
"31","2007-02-15",18.424999
"32","2007-02-16",18.424999
"33","2007-02-20",18.424999
"34","2007-02-21",18.424999
"35","2007-02-22",18.424999
"36","2007-02-23",18.355
"37","2007-02-26",18.344999
"38","2007-02-27",18.125
"39","2007-02-28",18.125
"40","2007-03-01",18
"41","2007-03-02",18.02
"42","2007-03-05",18.02
"43","2007-03-06",18.27
"44","2007-03-07",18.125
"45","2007-03-08",17.85
"46","2007-03-09",17.805
"47","2007-03-12",18.18
"48","2007-03-13",18.24
"49","2007-03-14",18.139999
"50","2007-03-15",18.125
"51","2007-03-16",18.125
"52","2007-03-19",18
"53","2007-03-20",18.07
"54","2007-03-21",18.049999
"55","2007-03-22",18.049999
"56","2007-03-23",18.030001
"57","2007-03-26",17.629999
"58","2007-03-27",17.625
"59","2007-03-28",17.65
"60","2007-03-29",17.709999
"61","2007-03-30",17.625
"62","2007-04-02",17.625
"63","2007-04-03",17.5
"64","2007-04-04",17.375
"65","2007-04-05",17.25
"66","2007-04-09",16.940001
"67","2007-04-10",17.07
"68","2007-04-11",17.049999
"69","2007-04-12",17.030001
"70","2007-04-13",17.174999
"71","2007-04-16",17.190001
"72","2007-04-17",16.844999
"73","2007-04-18",17.15
"74","2007-04-19",17.08
"75","2007-04-20",17.15
"76","2007-04-23",17
"77","2007-04-24",16.905001
"78","2007-04-25",17
"79","2007-04-26",17.475
"80","2007-04-27",17.684999
"81","2007-04-30",17.725
"82","2007-05-01",17.9
"83","2007-05-02",17.92
"84","2007-05-03",17.825001
"85","2007-05-04",17.825001
"86","2007-05-07",18
"87","2007-05-08",17.85
"88","2007-05-09",17.705
"89","2007-05-10",17.84
"90","2007-05-11",17.745001
"91","2007-05-14",17.625
"92","2007-05-15",17.415001
"93","2007-05-16",17.280001
"94","2007-05-17",17.184999
"95","2007-05-18",17.045
"96","2007-05-21",17.165001
"97","2007-05-22",17.35
"98","2007-05-23",17.325001
"99","2007-05-24",16.93
"100","2007-05-25",16.629999
"101","2007-05-29",17.174999
"102","2007-05-30",17.325001
"103","2007-05-31",17.440001
"104","2007-06-01",17.875
"105","2007-06-04",18.225
"106","2007-06-05",18.299999
"107","2007-06-06",18.450001
"108","2007-06-07",18.35
"109","2007-06-08",18.49
"110","2007-06-11",18.09
"111","2007-06-12",17.559999
"112","2007-06-13",17.41
"113","2007-06-14",17.450001
"114","2007-06-15",18.450001
"115","2007-06-18",18.610001
"116","2007-06-19",18.57
"117","2007-06-20",18.200001
"118","2007-06-21",17.700001
"119","2007-06-22",17.75
"120","2007-06-25",17.9
"121","2007-06-26",16.75
"122","2007-06-27",16.5
"123","2007-06-28",15.9
"124","2007-06-29",15.7
"125","2007-07-02",16.02
"126","2007-07-03",16.190001
"127","2007-07-05",16.26
"128","2007-07-06",16.299999
"129","2007-07-09",16
"130","2007-07-10",15.97
"131","2007-07-11",15.81
"132","2007-07-12",15.9
