"","date","MYSZ"
"1","2016-08-09",78
"2","2016-08-10",78
"3","2016-08-11",77.849998
"4","2016-08-12",77.849998
"5","2016-08-15",77.849998
"6","2016-08-16",74.25
"7","2016-08-17",74.25
"8","2016-08-18",74.25
"9","2016-08-19",74.25
"10","2016-08-22",74.25
"11","2016-08-23",74.25
"12","2016-08-24",74.25
"13","2016-08-25",77.25
"14","2016-08-26",77.25
"15","2016-08-29",77.25
"16","2016-08-30",77.25
"17","2016-08-31",77.25
"18","2016-09-01",77.25
"19","2016-09-02",77.25
"20","2016-09-06",78.75
"21","2016-09-07",81.75
"22","2016-09-08",81.75
"23","2016-09-09",81.75
"24","2016-09-12",81.75
"25","2016-09-13",81.75
"26","2016-09-14",78.599998
"27","2016-09-15",78.75
"28","2016-09-16",78.75
"29","2016-09-19",78.75
"30","2016-09-20",78.75
"31","2016-09-21",78.75
"32","2016-09-22",78.75
"33","2016-09-23",78.75
"34","2016-09-26",78.75
"35","2016-09-27",78.75
"36","2016-09-28",78.75
"37","2016-09-29",78.75
"38","2016-09-30",78.75
"39","2016-10-03",78.75
"40","2016-10-04",78.75
"41","2016-10-05",78.75
"42","2016-10-06",78.75
"43","2016-10-07",78.75
"44","2016-10-10",78.75
"45","2016-10-11",78.75
"46","2016-10-12",78.75
"47","2016-10-13",78.75
"48","2016-10-14",78.75
"49","2016-10-17",78.75
"50","2016-10-18",78.75
"51","2016-10-19",78.75
"52","2016-10-20",78.75
"53","2016-10-21",78.75
"54","2016-10-24",78.75
"55","2016-10-25",78.75
"56","2016-10-26",78.75
"57","2016-10-27",78.75
"58","2016-10-28",78.75
"59","2016-10-31",78.75
"60","2016-11-01",78.75
"61","2016-11-02",78.75
"62","2016-11-03",78.75
"63","2016-11-04",78.75
"64","2016-11-07",78.75
"65","2016-11-08",78.75
"66","2016-11-09",78.75
"67","2016-11-10",78.75
"68","2016-11-11",78.75
"69","2016-11-14",78.75
"70","2016-11-15",78.75
"71","2016-11-16",78.75
"72","2016-11-17",78.75
"73","2016-11-18",78.75
"74","2016-11-21",78.75
"75","2016-11-22",78.75
"76","2016-11-23",78.75
"77","2016-11-25",78.75
"78","2016-11-28",78.75
"79","2016-11-29",78.75
"80","2016-11-30",78.75
"81","2016-12-01",78.75
"82","2016-12-02",78.75
"83","2016-12-05",78.75
"84","2016-12-06",78.75
"85","2016-12-07",78.75
"86","2016-12-08",79.5
"87","2016-12-09",79.5
"88","2016-12-12",79.5
"89","2016-12-13",79.5
"90","2016-12-14",79.5
"91","2016-12-15",79.5
"92","2016-12-16",79.5
"93","2016-12-19",79.5
"94","2016-12-20",79.5
"95","2016-12-21",81.75
"96","2016-12-22",81.75
"97","2016-12-23",81.75
"98","2016-12-27",81.75
"99","2016-12-28",81.75
"100","2016-12-29",81.75
"101","2016-12-30",81.75
