"","date","IMRN"
"1","2017-06-09",8.355
"2","2017-06-12",8.7
"3","2017-06-13",7.9
"4","2017-06-14",8
"5","2017-06-15",8.355
"6","2017-06-16",8.55
"7","2017-06-19",9.78
"8","2017-06-20",9.11
"9","2017-06-21",8.6
"10","2017-06-22",8.31
"11","2017-06-23",8.65
"12","2017-06-26",8.32
"13","2017-06-27",8.29
"14","2017-06-28",8.3
"15","2017-06-29",8.5
"16","2017-06-30",8.6
"17","2017-07-03",8.48
"18","2017-07-05",8.69
"19","2017-07-06",8.46
"20","2017-07-07",8.34
"21","2017-07-10",7.4
"22","2017-07-11",6.98
"23","2017-07-12",6.07
"24","2017-07-13",5.79
"25","2017-07-14",6.34
"26","2017-07-17",6.4
"27","2017-07-18",6.5
"28","2017-07-19",6.303
"29","2017-07-20",6.342
"30","2017-07-21",6.018
"31","2017-07-24",6.49
"32","2017-07-25",6.319
"33","2017-07-26",6.4
"34","2017-07-27",6
"35","2017-07-28",6.1
"36","2017-07-31",5.72
"37","2017-08-01",5.81
"38","2017-08-02",5.3
"39","2017-08-03",5.5
"40","2017-08-04",5.5
"41","2017-08-07",5.01
"42","2017-08-08",5.15
"43","2017-08-09",5
"44","2017-08-10",5.25
"45","2017-08-11",5.37
"46","2017-08-14",5.28
"47","2017-08-15",5.28
"48","2017-08-16",5.64
"49","2017-08-17",5.7
"50","2017-08-18",5.25
"51","2017-08-21",5.414
"52","2017-08-22",5.45
"53","2017-08-23",6.36
"54","2017-08-24",6.09
"55","2017-08-25",5.95
"56","2017-08-28",5.88
"57","2017-08-29",5.87
"58","2017-08-30",5.87
"59","2017-08-31",6.44
"60","2017-09-01",6
"61","2017-09-05",6.49
"62","2017-09-06",5.5
"63","2017-09-07",5.658
"64","2017-09-08",5.45
"65","2017-09-11",5.5
"66","2017-09-12",5.597
"67","2017-09-13",5.79
"68","2017-09-14",5.88
"69","2017-09-15",5.79
"70","2017-09-18",5.75
"71","2017-09-19",6.23
"72","2017-09-20",6.07
"73","2017-09-21",6.11
"74","2017-09-22",5.95
"75","2017-09-25",5.55
