"","date","NEWT"
"1","2007-01-03",10
"2","2007-01-04",10.4
"3","2007-01-05",10.25
"4","2007-01-08",9.95
"5","2007-01-09",10.1
"6","2007-01-10",9.95
"7","2007-01-11",10.05
"8","2007-01-12",10.1
"9","2007-01-16",10.05
"10","2007-01-17",9.95
"11","2007-01-18",9.95
"12","2007-01-19",9.95
"13","2007-01-22",10
"14","2007-01-23",9.85
"15","2007-01-24",9.55
"16","2007-01-25",10
"17","2007-01-26",11.25
"18","2007-01-29",12.1
"19","2007-01-30",11.05
"20","2007-01-31",10.5
"21","2007-02-01",10.65
"22","2007-02-02",10.5
"23","2007-02-05",10.8
"24","2007-02-06",11.8
"25","2007-02-07",11.4
"26","2007-02-08",11.6
"27","2007-02-09",12.45
"28","2007-02-12",12.8
"29","2007-02-13",12.75
"30","2007-02-14",13.25
"31","2007-02-15",12.7
"32","2007-02-16",12.35
"33","2007-02-20",12.6
"34","2007-02-21",12.25
"35","2007-02-22",12.4
"36","2007-02-23",12.45
"37","2007-02-26",12.45
"38","2007-02-27",12.35
"39","2007-02-28",12.35
"40","2007-03-01",12.5
"41","2007-03-02",12.3
"42","2007-03-05",12.35
"43","2007-03-06",12
"44","2007-03-07",12.1
"45","2007-03-08",12.6
"46","2007-03-09",12.2
"47","2007-03-12",12.05
"48","2007-03-13",12.2
"49","2007-03-14",11.95
"50","2007-03-15",11.55
"51","2007-03-16",10.85
"52","2007-03-19",11.65
"53","2007-03-20",11.75
"54","2007-03-21",11.9
"55","2007-03-22",13
"56","2007-03-23",10.6
"57","2007-03-26",10.05
"58","2007-03-27",10.35
"59","2007-03-28",10.1
"60","2007-03-29",10.1
"61","2007-03-30",10.15
"62","2007-04-02",10.35
"63","2007-04-03",10.15
"64","2007-04-04",10.2
"65","2007-04-05",10.15
"66","2007-04-09",10.9
"67","2007-04-10",10.5
"68","2007-04-11",10.05
"69","2007-04-12",9.9
"70","2007-04-13",10.3
"71","2007-04-16",10.05
"72","2007-04-17",10.2
"73","2007-04-18",10.1
"74","2007-04-19",10
"75","2007-04-20",10.05
"76","2007-04-23",10.1
"77","2007-04-24",10
"78","2007-04-25",10.1
"79","2007-04-26",10.1
"80","2007-04-27",9.9
"81","2007-04-30",10.05
"82","2007-05-01",10.05
"83","2007-05-02",10
"84","2007-05-03",9.9
"85","2007-05-04",10
"86","2007-05-07",9.9
"87","2007-05-08",9.75
"88","2007-05-09",9.95
"89","2007-05-10",9.75
"90","2007-05-11",9.55
"91","2007-05-14",9.55
"92","2007-05-15",9.65
"93","2007-05-16",9.65
"94","2007-05-17",9.55
"95","2007-05-18",9.5
"96","2007-05-21",9.75
"97","2007-05-22",9.5
"98","2007-05-23",9.5
"99","2007-05-24",9.3
"100","2007-05-25",9.3
"101","2007-05-29",9.5
"102","2007-05-30",9.75
"103","2007-05-31",9.6
"104","2007-06-01",9.5
"105","2007-06-04",9.6
"106","2007-06-05",9.55
"107","2007-06-06",9.4
"108","2007-06-07",9.4
