"","date","SB"
"1","2008-05-30",18.9
"2","2008-06-02",19
"3","2008-06-03",18.85
"4","2008-06-04",18.870001
"5","2008-06-05",18.9
"6","2008-06-06",18.700001
"7","2008-06-09",18.65
"8","2008-06-10",18.639999
"9","2008-06-11",18.6
"10","2008-06-12",18
"11","2008-06-13",17.969999
"12","2008-06-16",18.280001
"13","2008-06-17",18.93
"14","2008-06-18",18.780001
"15","2008-06-19",18.85
"16","2008-06-20",18.559999
"17","2008-06-23",18.73
"18","2008-06-24",18.33
"19","2008-06-25",18.809999
"20","2008-06-26",18.700001
"21","2008-06-27",18.48
"22","2008-06-30",18.870001
"23","2008-07-01",18.549999
"24","2008-07-02",18.200001
"25","2008-07-03",17.82
"26","2008-07-07",18.15
"27","2008-07-08",18.370001
"28","2008-07-09",18.59
"29","2008-07-10",18.74
"30","2008-07-11",18.370001
"31","2008-07-14",18.459999
"32","2008-07-15",18.9
"33","2008-07-16",19
"34","2008-07-17",18.799999
"35","2008-07-18",18.75
"36","2008-07-21",19
"37","2008-07-22",18.719999
"38","2008-07-23",18.82
"39","2008-07-24",18.790001
"40","2008-07-25",18.809999
"41","2008-07-28",18.440001
"42","2008-07-29",18.85
"43","2008-07-30",18.969999
"44","2008-07-31",18.950001
"45","2008-08-01",18.74
"46","2008-08-04",18.309999
"47","2008-08-05",18.09
"48","2008-08-06",18.440001
"49","2008-08-07",18.27
"50","2008-08-08",18.299999
"51","2008-08-11",18
"52","2008-08-12",18.08
"53","2008-08-13",17.950001
"54","2008-08-14",18.15
"55","2008-08-15",17.68
"56","2008-08-18",18.1
"57","2008-08-19",18.360001
"58","2008-08-20",18.9
"59","2008-08-21",18.940001
"60","2008-08-22",18.559999
"61","2008-08-25",18.370001
"62","2008-08-26",18.34
"63","2008-08-27",18.91
"64","2008-08-28",19.040001
"65","2008-08-29",19.049999
"66","2008-09-02",18.940001
"67","2008-09-03",18.25
"68","2008-09-04",17.92
"69","2008-09-05",17.57
"70","2008-09-08",16.08
"71","2008-09-09",16.120001
"72","2008-09-10",15.54
"73","2008-09-11",15.96
"74","2008-09-12",16.139999
"75","2008-09-15",15.48
"76","2008-09-16",15.56
"77","2008-09-17",15.1
"78","2008-09-18",14.6
"79","2008-09-19",16
"80","2008-09-22",14.98
"81","2008-09-23",14.45
"82","2008-09-24",14.2
"83","2008-09-25",13.74
"84","2008-09-26",12.75
"85","2008-09-29",11.25
"86","2008-09-30",10.9
"87","2008-10-01",11.35
"88","2008-10-02",9.45
"89","2008-10-03",9.32
"90","2008-10-06",7.17
"91","2008-10-07",7.27
"92","2008-10-08",7.3
"93","2008-10-09",7
"94","2008-10-10",6.89
"95","2008-10-13",7.21
"96","2008-10-14",7
"97","2008-10-15",6.32
"98","2008-10-16",5.94
"99","2008-10-17",6.17
"100","2008-10-20",6.15
"101","2008-10-21",6.11
"102","2008-10-22",5.66
"103","2008-10-23",5.32
"104","2008-10-24",4.97
"105","2008-10-27",4.34
"106","2008-10-28",4.33
"107","2008-10-29",4.48
"108","2008-10-30",4.77
"109","2008-10-31",5.51
"110","2008-11-03",6.68
"111","2008-11-04",7.57
"112","2008-11-05",7.37
"113","2008-11-06",6.95
"114","2008-11-07",7
"115","2008-11-10",7.82
"116","2008-11-11",7.46
"117","2008-11-12",6.65
"118","2008-11-13",6.37
"119","2008-11-14",5.87
"120","2008-11-17",5.39
"121","2008-11-18",4.93
"122","2008-11-19",3.69
"123","2008-11-20",3.27
"124","2008-11-21",3.83
"125","2008-11-24",5.11
"126","2008-11-25",4.44
"127","2008-11-26",4.01
"128","2008-11-28",4.15
"129","2008-12-01",4.08
"130","2008-12-02",4
"131","2008-12-03",3.83
"132","2008-12-04",3.98
"133","2008-12-05",3.89
"134","2008-12-08",4.09
"135","2008-12-09",4.99
"136","2008-12-10",6
"137","2008-12-11",5.39
"138","2008-12-12",5.26
"139","2008-12-15",5.96
"140","2008-12-16",6.21
"141","2008-12-17",8.46
"142","2008-12-18",7.26
"143","2008-12-19",6.37
"144","2008-12-22",5.6
"145","2008-12-23",5.35
"146","2008-12-24",5.17
"147","2008-12-26",5.91
"148","2008-12-29",5.23
"149","2008-12-30",5.65
"150","2008-12-31",6.68
"151","2009-01-02",7.7
"152","2009-01-05",8.07
"153","2009-01-06",8.75
"154","2009-01-07",7.97
"155","2009-01-08",8.39
"156","2009-01-09",8.66
"157","2009-01-12",8.56
"158","2009-01-13",8.62
"159","2009-01-14",7.6
