"","date","FIII"
"1","2020-09-21",9.85
"2","2020-09-22",9.91
"3","2020-09-23",9.89
"4","2020-09-24",9.86
"5","2020-09-25",9.84
"6","2020-09-28",9.85
"7","2020-09-29",9.95
"8","2020-09-30",9.941
"9","2020-10-01",9.9
"10","2020-10-02",9.8
"11","2020-10-05",9.78
"12","2020-10-06",9.75
"13","2020-10-07",9.73
"14","2020-10-08",9.71
"15","2020-10-09",9.715
"16","2020-10-12",9.715
"17","2020-10-13",9.71
"18","2020-10-14",9.73
"19","2020-10-15",9.79
"20","2020-10-16",9.85
"21","2020-10-19",9.83
"22","2020-10-20",9.79
"23","2020-10-21",9.75
"24","2020-10-22",9.71
"25","2020-10-23",9.71
"26","2020-10-26",9.7
"27","2020-10-27",9.75
"28","2020-10-28",9.7
"29","2020-10-29",9.7
"30","2020-10-30",9.67
"31","2020-11-02",9.72
"32","2020-11-03",9.75
"33","2020-11-04",9.73
"34","2020-11-05",9.72
"35","2020-11-06",9.79
"36","2020-11-09",9.77
"37","2020-11-10",9.76
"38","2020-11-11",9.72
"39","2020-11-12",9.74
"40","2020-11-13",9.74
"41","2020-11-16",9.77
"42","2020-11-17",9.77
"43","2020-11-18",9.8
"44","2020-11-19",10.85
"45","2020-11-20",10.55
"46","2020-11-23",11.14
"47","2020-11-24",11
"48","2020-11-25",11.16
"49","2020-11-27",11.69
