"","date","HEXO"
"1","2019-01-23",5.26
"2","2019-01-24",5.15
"3","2019-01-25",5.12
"4","2019-01-28",5.27
"5","2019-01-29",5.23
"6","2019-01-30",5.3
"7","2019-01-31",5.66
"8","2019-02-01",5.65
"9","2019-02-04",5.95
"10","2019-02-05",5.65
"11","2019-02-06",5.29
"12","2019-02-07",5.46
"13","2019-02-08",5.33
"14","2019-02-11",5.13
"15","2019-02-12",5.48
"16","2019-02-13",5.48
"17","2019-02-14",5.44
"18","2019-02-15",5.58
"19","2019-02-19",5.7
"20","2019-02-20",6
"21","2019-02-21",5.91
"22","2019-02-22",5.9
"23","2019-02-25",5.68
"24","2019-02-26",5.66
"25","2019-02-27",5.62
"26","2019-02-28",5.7
"27","2019-03-01",5.67
"28","2019-03-04",5.55
"29","2019-03-05",5.46
"30","2019-03-06",5.46
"31","2019-03-07",5.26
"32","2019-03-08",5.42
"33","2019-03-11",5.55
"34","2019-03-12",5.58
"35","2019-03-13",5.95
"36","2019-03-14",6.1
"37","2019-03-15",6.11
"38","2019-03-18",6.73
"39","2019-03-19",6.94
"40","2019-03-20",6.72
"41","2019-03-21",6.79
"42","2019-03-22",6.37
"43","2019-03-25",6.26
"44","2019-03-26",6.79
"45","2019-03-27",6.38
"46","2019-03-28",6.49
"47","2019-03-29",6.63
"48","2019-04-01",6.78
"49","2019-04-02",6.68
"50","2019-04-03",6.6
"51","2019-04-04",6.57
"52","2019-04-05",6.63
"53","2019-04-08",6.6
"54","2019-04-09",6.32
"55","2019-04-10",6.46
"56","2019-04-11",6.2
"57","2019-04-12",6.3
"58","2019-04-15",5.99
"59","2019-04-16",5.95
"60","2019-04-17",6.65
"61","2019-04-18",6.76
"62","2019-04-22",7.09
"63","2019-04-23",7
"64","2019-04-24",7.13
"65","2019-04-25",7.17
"66","2019-04-26",7.81
"67","2019-04-29",8.28
"68","2019-04-30",7.82
"69","2019-05-01",7.83
"70","2019-05-02",7.46
"71","2019-05-03",7.73
"72","2019-05-06",7.76
"73","2019-05-07",7.48
"74","2019-05-08",7.56
"75","2019-05-09",7.37
"76","2019-05-10",7.1
"77","2019-05-13",6.58
"78","2019-05-14",6.89
"79","2019-05-15",7.23
"80","2019-05-16",7.15
"81","2019-05-17",6.88
"82","2019-05-20",6.92
"83","2019-05-21",6.99
"84","2019-05-22",6.89
"85","2019-05-23",6.65
"86","2019-05-24",6.76
"87","2019-05-28",7.04
"88","2019-05-29",6.9
"89","2019-05-30",6.71
"90","2019-05-31",6.42
"91","2019-06-03",6.28
"92","2019-06-04",6.47
"93","2019-06-05",6.3
"94","2019-06-06",6.28
"95","2019-06-07",6.43
"96","2019-06-10",6.63
"97","2019-06-11",6.64
"98","2019-06-12",6.45
"99","2019-06-13",5.9
"100","2019-06-14",5.61
"101","2019-06-17",5.51
"102","2019-06-18",5.55
"103","2019-06-19",5.76
"104","2019-06-20",5.83
"105","2019-06-21",5.59
"106","2019-06-24",5.36
"107","2019-06-25",5.13
"108","2019-06-26",5.05
"109","2019-06-27",5.42
"110","2019-06-28",5.32
"111","2019-07-01",5.38
"112","2019-07-02",5.18
"113","2019-07-03",5.29
"114","2019-07-05",5.2
"115","2019-07-08",5.08
"116","2019-07-09",5.19
"117","2019-07-10",5.1
"118","2019-07-11",5.15
"119","2019-07-12",4.85
"120","2019-07-15",5.05
"121","2019-07-16",5.03
"122","2019-07-17",5.1
"123","2019-07-18",5
"124","2019-07-19",4.91
"125","2019-07-22",4.71
"126","2019-07-23",4.51
"127","2019-07-24",4.27
"128","2019-07-25",4.1
"129","2019-07-26",3.99
"130","2019-07-29",4.36
"131","2019-07-30",4.2
"132","2019-07-31",4.26
"133","2019-08-01",4.07
"134","2019-08-02",4.39
"135","2019-08-05",4.19
"136","2019-08-06",4.41
"137","2019-08-07",4.37
"138","2019-08-08",4.56
"139","2019-08-09",4.71
"140","2019-08-12",4.585
"141","2019-08-13",4.94
"142","2019-08-14",4.59
"143","2019-08-15",4.28
"144","2019-08-16",4.44
"145","2019-08-19",4.32
"146","2019-08-20",4.23
"147","2019-08-21",4.13
"148","2019-08-22",3.98
"149","2019-08-23",4.01
"150","2019-08-26",4.05
"151","2019-08-27",3.85
"152","2019-08-28",3.95
"153","2019-08-29",3.94
"154","2019-08-30",4.02
"155","2019-09-03",4.17
"156","2019-09-04",4.28
"157","2019-09-05",4.51
"158","2019-09-06",4.61
"159","2019-09-09",4.4
"160","2019-09-10",4.42
"161","2019-09-11",4.31
"162","2019-09-12",4.17
"163","2019-09-13",4.23
"164","2019-09-16",4.25
"165","2019-09-17",4.07
"166","2019-09-18",4.11
"167","2019-09-19",3.94
"168","2019-09-20",4.36
"169","2019-09-23",4.4
"170","2019-09-24",4.16
"171","2019-09-25",4.15
"172","2019-09-26",4.12
"173","2019-09-27",4.19
"174","2019-09-30",3.96
"175","2019-10-01",3.83
"176","2019-10-02",3.77
"177","2019-10-03",3.96
"178","2019-10-04",4.06
"179","2019-10-07",3.8
"180","2019-10-08",3.7
"181","2019-10-09",3.68
"182","2019-10-10",2.85
"183","2019-10-11",2.53
"184","2019-10-14",2.36
"185","2019-10-15",2.56
"186","2019-10-16",2.47
"187","2019-10-17",2.89
"188","2019-10-18",2.74
"189","2019-10-21",2.68
"190","2019-10-22",2.59
"191","2019-10-23",2.69
"192","2019-10-24",2.52
"193","2019-10-25",2.38
"194","2019-10-28",2.32
"195","2019-10-29",2.25
"196","2019-10-30",2.26
"197","2019-10-31",2.15
"198","2019-11-01",2.19
"199","2019-11-04",2.07
"200","2019-11-05",2.06
"201","2019-11-06",2.16
"202","2019-11-07",2.21
"203","2019-11-08",2.35
"204","2019-11-11",2.12
"205","2019-11-12",2.12
"206","2019-11-13",1.99
"207","2019-11-14",1.89
"208","2019-11-15",1.79
"209","2019-11-18",1.59
"210","2019-11-19",1.82
"211","2019-11-20",1.9
"212","2019-11-21",2.54
"213","2019-11-22",2.15
"214","2019-11-25",2.19
"215","2019-11-26",2.03
"216","2019-11-27",2.1
"217","2019-11-29",2.16
"218","2019-12-02",2.13
"219","2019-12-03",2.16
"220","2019-12-04",2.13
"221","2019-12-05",2.06
"222","2019-12-06",2.09
"223","2019-12-09",2.29
"224","2019-12-10",2.19
"225","2019-12-11",2.19
"226","2019-12-12",2.23
"227","2019-12-13",2.24
"228","2019-12-16",2.17
"229","2019-12-17",2.09
"230","2019-12-18",1.93
"231","2019-12-19",2.02
"232","2019-12-20",2.02
"233","2019-12-23",1.91
"234","2019-12-24",1.96
"235","2019-12-26",1.53
"236","2019-12-27",1.6
"237","2019-12-30",1.53
"238","2019-12-31",1.59
"239","2020-01-02",1.64
"240","2020-01-03",1.57
"241","2020-01-06",1.47
"242","2020-01-07",1.37
"243","2020-01-08",1.39
