"","date","CTIB"
"1","2007-01-03",4.79
"2","2007-01-04",4.81
"3","2007-01-05",4.76
"4","2007-01-08",4.82
"5","2007-01-09",4.86
"6","2007-01-10",4.8
"7","2007-01-11",4.95
"8","2007-01-12",5.13
"9","2007-01-16",5.17
"10","2007-01-17",5.08
"11","2007-01-18",5.08
"12","2007-01-19",5.17
"13","2007-01-22",5.03
"14","2007-01-23",4.92
"15","2007-01-24",5.03
"16","2007-01-25",4.87
"17","2007-01-26",4.91
"18","2007-01-29",4.53
"19","2007-01-30",4.77
"20","2007-01-31",4.65
"21","2007-02-01",4.67
"22","2007-02-02",4.66
"23","2007-02-05",4.61
"24","2007-02-06",4.68
"25","2007-02-07",4.82
"26","2007-02-08",4.84
"27","2007-02-09",4.94
"28","2007-02-12",4.93
"29","2007-02-13",4.94
"30","2007-02-14",5.01
"31","2007-02-15",4.85
"32","2007-02-16",4.71
"33","2007-02-20",4.64
"34","2007-02-21",4.65
"35","2007-02-22",4.73
"36","2007-02-23",4.59
"37","2007-02-26",4.9
"38","2007-02-27",4.78
"39","2007-02-28",5
"40","2007-03-01",5.05
"41","2007-03-02",5.04
"42","2007-03-05",5.2
"43","2007-03-06",5.36
"44","2007-03-07",5.45
"45","2007-03-08",5.7
"46","2007-03-09",5.61
"47","2007-03-12",6.02
"48","2007-03-13",6.26
"49","2007-03-14",6.4
"50","2007-03-15",6.67
"51","2007-03-16",6.85
"52","2007-03-19",6.9
"53","2007-03-20",7.55
"54","2007-03-21",8.11
"55","2007-03-22",8.99
"56","2007-03-23",9.87
"57","2007-03-26",9.93
"58","2007-03-27",9.24
"59","2007-03-28",8.93
"60","2007-03-29",8.43
"61","2007-03-30",7.78
"62","2007-04-02",7.45
"63","2007-04-03",7.23
"64","2007-04-04",7.04
"65","2007-04-05",6.62
"66","2007-04-09",6.24
"67","2007-04-10",5.88
"68","2007-04-11",6
"69","2007-04-12",5.56
"70","2007-04-13",5.75
"71","2007-04-16",5.47
"72","2007-04-17",5.46
"73","2007-04-18",5.46
"74","2007-04-19",5.32
"75","2007-04-20",5.97
"76","2007-04-23",5.8
"77","2007-04-24",5.36
"78","2007-04-25",5.38
"79","2007-04-26",5.44
"80","2007-04-27",5.81
"81","2007-04-30",5.84
"82","2007-05-01",5.5
"83","2007-05-02",5.49
"84","2007-05-03",5.49
"85","2007-05-04",5.72
"86","2007-05-07",6.05
"87","2007-05-08",5.87
"88","2007-05-09",5.7
"89","2007-05-10",5.64
"90","2007-05-11",5.85
"91","2007-05-14",7.35
"92","2007-05-15",7.1
"93","2007-05-16",6.61
"94","2007-05-17",7
"95","2007-05-18",4.45
"96","2007-05-21",4.33
"97","2007-05-22",4.17
"98","2007-05-23",4.25
"99","2007-05-24",4.15
"100","2007-05-25",4.04
"101","2007-05-29",4.11
"102","2007-05-30",4.08
"103","2007-05-31",4.5
"104","2007-06-01",4.35
"105","2007-06-04",4.4
"106","2007-06-05",4.26
"107","2007-06-06",4.36
"108","2007-06-07",4.25
"109","2007-06-08",4.22
"110","2007-06-11",4.2
"111","2007-06-12",4.15
"112","2007-06-13",4.08
"113","2007-06-14",4.14
"114","2007-06-15",4.26
"115","2007-06-18",4.3
"116","2007-06-19",4.35
"117","2007-06-20",4.3
"118","2007-06-21",4.33
"119","2007-06-22",4.17
"120","2007-06-25",4.13
"121","2007-06-26",4.29
"122","2007-06-27",4.17
"123","2007-06-28",4.14
"124","2007-06-29",4.1
"125","2007-07-02",4.11
"126","2007-07-03",4.08
"127","2007-07-05",4.16
"128","2007-07-06",4.15
"129","2007-07-09",4.15
"130","2007-07-10",4.12
"131","2007-07-11",4.16
"132","2007-07-12",4.18
"133","2007-07-13",4.12
"134","2007-07-16",4.15
"135","2007-07-17",4.17
"136","2007-07-18",4.15
"137","2007-07-19",4.14
"138","2007-07-20",3.99
"139","2007-07-23",4.08
"140","2007-07-24",3.99
"141","2007-07-25",3.86
"142","2007-07-26",3.29
"143","2007-07-27",3.44
"144","2007-07-30",3.46
"145","2007-07-31",3.13
"146","2007-08-01",3.24
"147","2007-08-02",3.24
"148","2007-08-03",3.14
"149","2007-08-06",3.06
"150","2007-08-07",3.21
"151","2007-08-08",3.29
"152","2007-08-09",3.04
"153","2007-08-10",3.01
"154","2007-08-13",3.01
"155","2007-08-14",3.03
"156","2007-08-15",4.4
"157","2007-08-16",4.19
"158","2007-08-17",4.17
"159","2007-08-20",4.22
"160","2007-08-21",4.4
"161","2007-08-22",4.6
"162","2007-08-23",4.6
"163","2007-08-24",4.43
"164","2007-08-27",4.4
"165","2007-08-28",4.45
"166","2007-08-29",4.31
"167","2007-08-30",4.32
"168","2007-08-31",4.3
"169","2007-09-04",4.56
