"","date","BBAR"
"1","2007-01-03",8.778559
"2","2007-01-04",8.892795
"3","2007-01-05",9.050966
"4","2007-01-08",8.980668
"5","2007-01-09",8.690685
"6","2007-01-10",8.813708
"7","2007-01-11",8.892795
"8","2007-01-12",9.050966
"9","2007-01-16",9.156415
"10","2007-01-17",9.40246
"11","2007-01-18",9.226713
"12","2007-01-19",9.253076
"13","2007-01-22",9.27065
"14","2007-01-23",9.560633
"15","2007-01-24",9.648506
"16","2007-01-25",9.428823
"17","2007-01-26",9.490334
"18","2007-01-29",9.297012
"19","2007-01-30",9.551846
"20","2007-01-31",9.657293
"21","2007-02-01",9.753954
"22","2007-02-02",9.96485
"23","2007-02-05",10.008787
"24","2007-02-06",10.790861
"25","2007-02-07",10.641477
"26","2007-02-08",10.544815
"27","2007-02-09",10.588752
"28","2007-02-12",10.413005
"29","2007-02-13",10.544815
"30","2007-02-14",10.544815
"31","2007-02-15",10.588752
"32","2007-02-16",10.896309
"33","2007-02-20",11.256591
"34","2007-02-21",11.388401
"35","2007-02-22",11.247803
"36","2007-02-23",11.168717
"37","2007-02-26",11.159929
"38","2007-02-27",10.149384
"39","2007-02-28",10.237258
"40","2007-03-01",9.850616
"41","2007-03-02",9.710017
"42","2007-03-05",9.66608
"43","2007-03-06",10.13181
"44","2007-03-07",9.973638
"45","2007-03-08",10.114236
"46","2007-03-09",10.281195
"47","2007-03-12",10.289983
"48","2007-03-13",10.219684
"49","2007-03-14",10.105448
"50","2007-03-15",10.184534
"51","2007-03-16",10.289983
"52","2007-03-19",10.377856
"53","2007-03-20",11.063269
"54","2007-03-21",11.221441
"55","2007-03-22",11.107205
"56","2007-03-23",11.335676
"57","2007-03-26",11.239016
"58","2007-03-27",10.984182
"59","2007-03-28",10.641477
"60","2007-03-29",10.694201
"61","2007-03-30",10.957821
"62","2007-04-02",11.115993
"63","2007-04-03",11.072056
"64","2007-04-04",10.922671
"65","2007-04-05",11.124781
"66","2007-04-09",10.984182
"67","2007-04-10",10.949034
"68","2007-04-11",11.019332
"69","2007-04-12",10.650264
"70","2007-04-13",10.764499
"71","2007-04-16",10.676625
"72","2007-04-17",10.632689
"73","2007-04-18",10.746924
"74","2007-04-19",10.720562
"75","2007-04-20",10.720562
"76","2007-04-23",10.738137
"77","2007-04-24",10.413005
"78","2007-04-25",10.439367
"79","2007-04-26",10.456942
"80","2007-04-27",10.500878
"81","2007-04-30",10.26362
"82","2007-05-01",10.114236
"83","2007-05-02",10.325131
"84","2007-05-03",10.579965
"85","2007-05-04",10.56239
"86","2007-05-07",10.492091
