"","date","NKSH"
"1","2007-01-03",23.75
"2","2007-01-04",23.75
"3","2007-01-05",23.75
"4","2007-01-08",23.75
"5","2007-01-09",23.75
"6","2007-01-10",24.040001
"7","2007-01-11",24.040001
"8","2007-01-12",24.049999
"9","2007-01-16",24.049999
"10","2007-01-17",24
"11","2007-01-18",24.110001
"12","2007-01-19",24.41
"13","2007-01-22",23.75
"14","2007-01-23",23.620001
"15","2007-01-24",23.58
"16","2007-01-25",23.4
"17","2007-01-26",23.84
"18","2007-01-29",24.1
"19","2007-01-30",24
"20","2007-01-31",24.49
"21","2007-02-01",24.49
"22","2007-02-02",24.469999
"23","2007-02-05",24.040001
"24","2007-02-06",24
"25","2007-02-07",23.84
"26","2007-02-08",23.83
"27","2007-02-09",24.1
"28","2007-02-12",24.15
"29","2007-02-13",24
"30","2007-02-14",24.110001
"31","2007-02-15",24.02
"32","2007-02-16",24.450001
"33","2007-02-20",24.1
"34","2007-02-21",24.07
"35","2007-02-22",23.9
"36","2007-02-23",23.9
"37","2007-02-26",23.99
"38","2007-02-27",23.67
"39","2007-02-28",23.99
"40","2007-03-01",24.190001
"41","2007-03-02",24.139999
"42","2007-03-05",24.190001
"43","2007-03-06",24.190001
"44","2007-03-07",24.07
"45","2007-03-08",24
"46","2007-03-09",24.200001
"47","2007-03-12",24.200001
"48","2007-03-13",23.57
"49","2007-03-14",23.700001
"50","2007-03-15",23.58
"51","2007-03-16",23.58
"52","2007-03-19",24
"53","2007-03-20",24.049999
"54","2007-03-21",23.959999
"55","2007-03-22",24
"56","2007-03-23",24.049999
"57","2007-03-26",24.17
"58","2007-03-27",24
"59","2007-03-28",24
"60","2007-03-29",24
"61","2007-03-30",23.709999
"62","2007-04-02",23.9
"63","2007-04-03",23.91
"64","2007-04-04",24.200001
"65","2007-04-05",24.49
"66","2007-04-09",24.4
"67","2007-04-10",23.75
"68","2007-04-11",23.190001
"69","2007-04-12",22.6
"70","2007-04-13",22.290001
"71","2007-04-16",22.799999
"72","2007-04-17",23.040001
"73","2007-04-18",23.24
"74","2007-04-19",23.24
