"","date","SQ"
"1","2015-11-19",13.07
"2","2015-11-20",12.85
"3","2015-11-23",12.12
"4","2015-11-24",12.02
"5","2015-11-25",11.9
"6","2015-11-27",12.05
"7","2015-11-30",12.04
"8","2015-12-01",11.91
"9","2015-12-02",11.93
"10","2015-12-03",11.92
"11","2015-12-04",12.04
"12","2015-12-07",12.36
"13","2015-12-08",12.12
"14","2015-12-09",11.99
"15","2015-12-10",12.05
"16","2015-12-11",11.95
"17","2015-12-14",12.33
"18","2015-12-15",12.47
"19","2015-12-16",12.27
"20","2015-12-17",12.32
"21","2015-12-18",12.34
"22","2015-12-21",12.24
"23","2015-12-22",12.46
"24","2015-12-23",12.5
"25","2015-12-24",12.6
"26","2015-12-28",12.83
"27","2015-12-29",12.74
"28","2015-12-30",12.78
"29","2015-12-31",13.09
"30","2016-01-04",12.16
"31","2016-01-05",11.51
"32","2016-01-06",11.52
"33","2016-01-07",11.16
"34","2016-01-08",11.31
"35","2016-01-11",11.84
"36","2016-01-12",12.09
"37","2016-01-13",11.61
"38","2016-01-14",10.82
"39","2016-01-15",10.27
"40","2016-01-19",9.47
"41","2016-01-20",9.49
"42","2016-01-21",10.02
"43","2016-01-22",9.85
"44","2016-01-25",9.81
"45","2016-01-26",9.54
"46","2016-01-27",9.05
"47","2016-01-28",8.74
"48","2016-01-29",8.77
"49","2016-02-01",8.76
"50","2016-02-02",8.47
"51","2016-02-03",8.43
"52","2016-02-04",8.9
"53","2016-02-05",8.63
"54","2016-02-08",8.37
"55","2016-02-09",8.62
"56","2016-02-10",8.88
"57","2016-02-11",8.62
"58","2016-02-12",9.3
"59","2016-02-16",9.93
"60","2016-02-17",9.84
"61","2016-02-18",9.98
"62","2016-02-19",9.97
"63","2016-02-22",10.38
"64","2016-02-23",9.71
"65","2016-02-24",9.89
"66","2016-02-25",10.26
"67","2016-02-26",10.32
"68","2016-02-29",10.44
"69","2016-03-01",10.72
"70","2016-03-02",11.97
"71","2016-03-03",12.25
"72","2016-03-04",12.01
"73","2016-03-07",12.26
"74","2016-03-08",11.48
"75","2016-03-09",12.03
"76","2016-03-10",11.3
"77","2016-03-11",11.1
"78","2016-03-14",11.61
"79","2016-03-15",11.95
"80","2016-03-16",11.87
"81","2016-03-17",11.95
"82","2016-03-18",12.04
"83","2016-03-21",13.4
"84","2016-03-22",13.06
"85","2016-03-23",12.59
"86","2016-03-24",12.88
"87","2016-03-28",13.4
"88","2016-03-29",13.74
"89","2016-03-30",15.02
"90","2016-03-31",15.28
"91","2016-04-01",14.22
"92","2016-04-04",14.28
"93","2016-04-05",14.26
"94","2016-04-06",14.97
"95","2016-04-07",14.81
"96","2016-04-08",15.13
"97","2016-04-11",15.36
"98","2016-04-12",15.48
"99","2016-04-13",15.01
"100","2016-04-14",14.82
"101","2016-04-15",14.33
"102","2016-04-18",14.51
"103","2016-04-19",14.09
"104","2016-04-20",13.63
"105","2016-04-21",13.24
"106","2016-04-22",13.34
"107","2016-04-25",13.59
"108","2016-04-26",14.18
"109","2016-04-27",14.69
"110","2016-04-28",15.35
"111","2016-04-29",14.89
"112","2016-05-02",14
"113","2016-05-03",13.45
"114","2016-05-04",13.39
"115","2016-05-05",13.05
"116","2016-05-06",10.22
"117","2016-05-09",9.85
"118","2016-05-10",10
"119","2016-05-11",9.68
"120","2016-05-12",9.28
"121","2016-05-13",9.36
"122","2016-05-16",9.16
"123","2016-05-17",9.18
"124","2016-05-18",9.4
"125","2016-05-19",9.6
"126","2016-05-20",9.39
"127","2016-05-23",9.46
"128","2016-05-24",10.14
"129","2016-05-25",10
"130","2016-05-26",9.75
"131","2016-05-27",9.63
"132","2016-05-31",9.53
"133","2016-06-01",9.6
"134","2016-06-02",9.65
"135","2016-06-03",9.46
"136","2016-06-06",9.51
"137","2016-06-07",9.57
"138","2016-06-08",9.55
"139","2016-06-09",9.34
"140","2016-06-10",9.14
"141","2016-06-13",8.92
"142","2016-06-14",8.89
"143","2016-06-15",9.06
"144","2016-06-16",9.05
"145","2016-06-17",9.04
"146","2016-06-20",9.2
"147","2016-06-21",9.35
"148","2016-06-22",8.78
"149","2016-06-23",9.13
"150","2016-06-24",8.77
"151","2016-06-27",8.62
"152","2016-06-28",8.9
"153","2016-06-29",9.3
"154","2016-06-30",9.05
"155","2016-07-01",9.27
"156","2016-07-05",8.94
"157","2016-07-06",9
"158","2016-07-07",9.08
"159","2016-07-08",9.3
"160","2016-07-11",9.24
"161","2016-07-12",9.4
"162","2016-07-13",9.29
"163","2016-07-14",9.37
"164","2016-07-15",9.17
"165","2016-07-18",9.27
"166","2016-07-19",9.35
"167","2016-07-20",9.58
"168","2016-07-21",9.46
"169","2016-07-22",9.73
"170","2016-07-25",9.85
"171","2016-07-26",10.1
"172","2016-07-27",10.13
"173","2016-07-28",10.12
"174","2016-07-29",10.07
"175","2016-08-01",10.19
"176","2016-08-02",10.05
"177","2016-08-03",10.44
"178","2016-08-04",11.32
"179","2016-08-05",11.15
"180","2016-08-08",11.26
"181","2016-08-09",11.3
"182","2016-08-10",11.07
"183","2016-08-11",11.37
"184","2016-08-12",11.66
"185","2016-08-15",11.48
"186","2016-08-16",11.64
"187","2016-08-17",11.4
"188","2016-08-18",11.75
"189","2016-08-19",11.8
"190","2016-08-22",11.82
"191","2016-08-23",12.39
"192","2016-08-24",12.16
"193","2016-08-25",12.31
"194","2016-08-26",12.04
"195","2016-08-29",12.01
"196","2016-08-30",12.07
"197","2016-08-31",12.19
