"","date","LIVK"
"1","2020-01-14",9.8
"2","2020-01-15",9.8
"3","2020-01-16",9.77
"4","2020-01-17",9.8
"5","2020-01-21",9.8
"6","2020-01-22",9.8
"7","2020-01-23",9.8
"8","2020-01-24",9.85
"9","2020-01-27",9.8
"10","2020-01-28",9.8
"11","2020-01-29",9.8
"12","2020-01-30",9.8
"13","2020-01-31",9.8
"14","2020-02-03",9.8
"15","2020-02-04",9.85
"16","2020-02-05",9.85
"17","2020-02-06",9.85
"18","2020-02-07",9.85
"19","2020-02-10",9.85
"20","2020-02-11",9.85
"21","2020-02-12",9.85
"22","2020-02-13",9.85
"23","2020-02-14",9.85
"24","2020-02-18",9.85
"25","2020-02-19",9.85
"26","2020-02-20",9.85
"27","2020-02-21",9.85
"28","2020-02-24",9.85
"29","2020-02-25",9.89
"30","2020-02-26",9.89
"31","2020-02-27",9.89
"32","2020-02-28",9.9
"33","2020-03-02",9.9
"34","2020-03-03",9.9
"35","2020-03-04",9.9
"36","2020-03-05",9.9
"37","2020-03-06",9.92
"38","2020-03-09",9.92
"39","2020-03-10",9.92
"40","2020-03-11",9.92
"41","2020-03-12",9.8
"42","2020-03-13",9.75
"43","2020-03-16",9.75
"44","2020-03-17",9.6
"45","2020-03-18",9.2
"46","2020-03-19",9.2
"47","2020-03-20",9.2
"48","2020-03-23",9.2
"49","2020-03-24",9.35
"50","2020-03-25",9.35
"51","2020-03-26",9.35
"52","2020-03-27",9.35
"53","2020-03-30",9.35
"54","2020-03-31",9.52
"55","2020-04-01",9.52
"56","2020-04-02",9.52
"57","2020-04-03",9.52
"58","2020-04-06",9.52
"59","2020-04-07",9.52
"60","2020-04-08",9.59
"61","2020-04-09",9.59
"62","2020-04-13",9.61
"63","2020-04-14",9.61
"64","2020-04-15",9.61
"65","2020-04-16",9.61
"66","2020-04-17",9.61
"67","2020-04-20",9.61
"68","2020-04-21",9.61
"69","2020-04-22",9.61
"70","2020-04-23",9.66
"71","2020-04-24",9.66
"72","2020-04-27",9.66
"73","2020-04-28",9.66
"74","2020-04-29",9.66
"75","2020-04-30",9.66
"76","2020-05-01",9.66
"77","2020-05-04",9.66
"78","2020-05-05",9.66
"79","2020-05-06",9.66
"80","2020-05-07",9.7
"81","2020-05-08",9.7
"82","2020-05-11",9.7
"83","2020-05-12",9.7
"84","2020-05-13",9.7
"85","2020-05-14",9.7
"86","2020-05-15",9.7
"87","2020-05-18",9.7
"88","2020-05-19",9.7
"89","2020-05-20",9.7
"90","2020-05-21",9.7
"91","2020-05-22",9.7
"92","2020-05-26",9.7
"93","2020-05-27",9.7
"94","2020-05-28",9.7
"95","2020-05-29",9.7
"96","2020-06-01",9.7
"97","2020-06-02",9.7
"98","2020-06-03",9.7
"99","2020-06-04",9.7
"100","2020-06-05",9.7
"101","2020-06-08",9.7
"102","2020-06-09",9.7
"103","2020-06-10",9.7
"104","2020-06-11",9.7
"105","2020-06-12",9.7
"106","2020-06-15",9.7
"107","2020-06-16",9.82
"108","2020-06-17",9.82
"109","2020-06-18",9.82
"110","2020-06-19",9.82
"111","2020-06-22",9.82
"112","2020-06-23",9.82
"113","2020-06-24",9.82
"114","2020-06-25",9.82
"115","2020-06-26",9.83
"116","2020-06-29",9.86
"117","2020-06-30",9.86
"118","2020-07-01",9.86
"119","2020-07-02",9.86
"120","2020-07-06",9.86
"121","2020-07-07",9.91
"122","2020-07-08",9.87
"123","2020-07-09",9.87
"124","2020-07-10",9.89
"125","2020-07-13",9.9
"126","2020-07-14",9.9
"127","2020-07-15",9.93
"128","2020-07-16",9.94
"129","2020-07-17",9.96
"130","2020-07-20",9.92
"131","2020-07-21",9.92
"132","2020-07-22",9.949
"133","2020-07-23",9.949
"134","2020-07-24",9.949
"135","2020-07-27",9.93
"136","2020-07-28",9.93
"137","2020-07-29",9.95
"138","2020-07-30",9.94
"139","2020-07-31",9.94
"140","2020-08-03",9.93
"141","2020-08-04",9.93
"142","2020-08-05",9.92
"143","2020-08-06",9.92
"144","2020-08-07",9.91
"145","2020-08-10",9.9
"146","2020-08-11",9.88
"147","2020-08-12",9.9
"148","2020-08-13",9.9
"149","2020-08-14",9.9
"150","2020-08-17",9.9
"151","2020-08-18",9.9
"152","2020-08-19",9.9
"153","2020-08-20",9.88
"154","2020-08-21",9.88
"155","2020-08-24",9.88
"156","2020-08-25",9.95
"157","2020-08-26",9.9
"158","2020-08-27",9.9
"159","2020-08-28",9.9
"160","2020-08-31",9.9
"161","2020-09-01",9.95
"162","2020-09-02",9.95
"163","2020-09-03",9.95
"164","2020-09-04",9.95
"165","2020-09-08",9.95
"166","2020-09-09",10
"167","2020-09-10",10
"168","2020-09-11",10
"169","2020-09-14",10
"170","2020-09-15",10
"171","2020-09-16",10
"172","2020-09-17",10
"173","2020-09-18",10.05
"174","2020-09-21",10.05
"175","2020-09-22",9.9
"176","2020-09-23",9.85
"177","2020-09-24",10.02
"178","2020-09-25",9.85
"179","2020-09-28",9.84
"180","2020-09-29",9.9
"181","2020-09-30",9.9
"182","2020-10-01",9.9
"183","2020-10-02",9.9
"184","2020-10-05",9.9
"185","2020-10-06",9.911
"186","2020-10-07",9.9
"187","2020-10-08",9.9
"188","2020-10-09",9.9
"189","2020-10-12",9.9
"190","2020-10-13",9.9
"191","2020-10-14",9.9
"192","2020-10-15",9.9
"193","2020-10-16",9.9
"194","2020-10-19",9.9
"195","2020-10-20",9.9
"196","2020-10-21",9.9
"197","2020-10-22",9.9
"198","2020-10-23",9.9
"199","2020-10-26",9.9
"200","2020-10-27",9.87
"201","2020-10-28",9.87
"202","2020-10-29",9.87
"203","2020-10-30",9.86
"204","2020-11-02",9.86
"205","2020-11-03",9.86
"206","2020-11-04",9.85
"207","2020-11-05",9.85
"208","2020-11-06",9.85
"209","2020-11-09",9.903
"210","2020-11-10",9.837
"211","2020-11-11",9.837
"212","2020-11-12",9.837
"213","2020-11-13",9.893
"214","2020-11-16",9.893
"215","2020-11-17",9.893
"216","2020-11-18",9.893
"217","2020-11-19",9.84
"218","2020-11-20",9.901
"219","2020-11-23",9.901
"220","2020-11-24",9.95
"221","2020-11-25",9.84
"222","2020-11-27",9.84
