"","date","NMFC"
"1","2011-05-20",13
"2","2011-05-23",12.93
"3","2011-05-24",13.02
"4","2011-05-25",13
"5","2011-05-26",13.15
"6","2011-05-27",13.16
"7","2011-05-31",13.12
"8","2011-06-01",13.18
"9","2011-06-02",13.18
"10","2011-06-03",13.28
"11","2011-06-06",13.35
"12","2011-06-07",13.29
"13","2011-06-08",13.32
"14","2011-06-09",13.55
"15","2011-06-10",13.2
"16","2011-06-13",13.25
"17","2011-06-14",13.16
"18","2011-06-15",13.01
"19","2011-06-16",13.03
"20","2011-06-17",12.9
"21","2011-06-20",12.72
"22","2011-06-21",12.62
"23","2011-06-22",12.35
"24","2011-06-23",12.53
"25","2011-06-24",12.59
"26","2011-06-27",12.79
"27","2011-06-28",12.77
"28","2011-06-29",12.82
"29","2011-06-30",12.7
"30","2011-07-01",12.99
"31","2011-07-05",13.03
"32","2011-07-06",12.95
"33","2011-07-07",13.11
"34","2011-07-08",13.35
"35","2011-07-11",13.09
"36","2011-07-12",13.05
"37","2011-07-13",13.21
"38","2011-07-14",13.13
"39","2011-07-15",13.37
"40","2011-07-18",13.08
"41","2011-07-19",13.04
"42","2011-07-20",13
"43","2011-07-21",13.02
"44","2011-07-22",12.8
"45","2011-07-25",12.59
"46","2011-07-26",12.52
"47","2011-07-27",12.58
"48","2011-07-28",12.51
"49","2011-07-29",12.21
"50","2011-08-01",12.51
"51","2011-08-02",12.49
"52","2011-08-03",12.52
"53","2011-08-04",12.1
"54","2011-08-05",12.25
"55","2011-08-08",11.2
"56","2011-08-09",11.11
"57","2011-08-10",10.77
"58","2011-08-11",11.82
"59","2011-08-12",11.76
"60","2011-08-15",11.97
"61","2011-08-16",12.69
"62","2011-08-17",12.78
"63","2011-08-18",11.97
"64","2011-08-19",12.11
"65","2011-08-22",11.61
"66","2011-08-23",12.1
"67","2011-08-24",12.53
"68","2011-08-25",12.06
"69","2011-08-26",11.93
"70","2011-08-29",12
"71","2011-08-30",12.33
"72","2011-08-31",12.69
"73","2011-09-01",13
"74","2011-09-02",12.24
"75","2011-09-06",12.58
"76","2011-09-07",12.6
"77","2011-09-08",12.58
"78","2011-09-09",12.78
"79","2011-09-12",12.73
"80","2011-09-13",12.64
"81","2011-09-14",12.73
"82","2011-09-15",12.7
"83","2011-09-16",12.21
"84","2011-09-19",12.65
"85","2011-09-20",12.75
"86","2011-09-21",12.76
"87","2011-09-22",12.65
"88","2011-09-23",12.56
"89","2011-09-26",12.24
"90","2011-09-27",12.69
"91","2011-09-28",12.37
"92","2011-09-29",12.68
"93","2011-09-30",12.71
"94","2011-10-03",12.67
"95","2011-10-04",12.8
"96","2011-10-05",12.6
"97","2011-10-06",12.68
"98","2011-10-07",12.27
"99","2011-10-10",12.69
"100","2011-10-11",12.67
"101","2011-10-12",12.7
"102","2011-10-13",12.68
"103","2011-10-14",12.73
"104","2011-10-17",12.31
"105","2011-10-18",12.7
"106","2011-10-19",12.51
"107","2011-10-20",12.63
"108","2011-10-21",12.58
"109","2011-10-24",12.9
"110","2011-10-25",12.52
"111","2011-10-26",12.7
"112","2011-10-27",12.97
"113","2011-10-28",12.9
"114","2011-10-31",13.41
"115","2011-11-01",12.81
"116","2011-11-02",13.09
"117","2011-11-03",13.11
"118","2011-11-04",13.05
"119","2011-11-07",13.2
"120","2011-11-08",13.31
"121","2011-11-09",13
"122","2011-11-10",13.15
"123","2011-11-11",13.19
"124","2011-11-14",13.03
"125","2011-11-15",13.17
"126","2011-11-16",13.12
"127","2011-11-17",13.05
"128","2011-11-18",13.05
"129","2011-11-21",13
"130","2011-11-22",13
"131","2011-11-23",13
"132","2011-11-25",12.68
"133","2011-11-28",13.02
"134","2011-11-29",13.06
"135","2011-11-30",13.2
"136","2011-12-01",13
"137","2011-12-02",13.2
"138","2011-12-05",13.27
"139","2011-12-06",13.17
"140","2011-12-07",13.07
"141","2011-12-08",13
"142","2011-12-09",13.05
"143","2011-12-12",13.2
"144","2011-12-13",13.07
"145","2011-12-14",13.17
"146","2011-12-15",13.15
"147","2011-12-16",13.01
"148","2011-12-19",13.01
"149","2011-12-20",13.14
"150","2011-12-21",13.19
