"","date","WGO"
"1","2007-01-03",32.529999
"2","2007-01-04",32.27
"3","2007-01-05",31.459999
"4","2007-01-08",31.610001
"5","2007-01-09",32.02
"6","2007-01-10",31.68
"7","2007-01-11",32.529999
"8","2007-01-12",32.860001
"9","2007-01-16",33.130001
"10","2007-01-17",32.650002
"11","2007-01-18",33.07
"12","2007-01-19",33.360001
"13","2007-01-22",33.639999
"14","2007-01-23",34.029999
"15","2007-01-24",34.689999
"16","2007-01-25",34.279999
"17","2007-01-26",34.299999
"18","2007-01-29",34.049999
"19","2007-01-30",33.889999
"20","2007-01-31",33.540001
"21","2007-02-01",34.740002
"22","2007-02-02",34.98
"23","2007-02-05",34.439999
"24","2007-02-06",34.240002
"25","2007-02-07",34.169998
"26","2007-02-08",34.889999
"27","2007-02-09",34.57
"28","2007-02-12",34.119999
"29","2007-02-13",34.009998
"30","2007-02-14",34
"31","2007-02-15",34.169998
"32","2007-02-16",34.77
"33","2007-02-20",34.650002
"34","2007-02-21",34.310001
"35","2007-02-22",34.380001
"36","2007-02-23",34.23
"37","2007-02-26",34.130001
"38","2007-02-27",32.43
"39","2007-02-28",32.52
"40","2007-03-01",32.509998
"41","2007-03-02",31.940001
"42","2007-03-05",31.15
"43","2007-03-06",31.700001
"44","2007-03-07",31.67
"45","2007-03-08",31.690001
"46","2007-03-09",31.75
"47","2007-03-12",32.119999
"48","2007-03-13",30.290001
"49","2007-03-14",30.559999
"50","2007-03-15",33.549999
"51","2007-03-16",33.799999
"52","2007-03-19",34
"53","2007-03-20",34.040001
"54","2007-03-21",34.700001
"55","2007-03-22",34.720001
"56","2007-03-23",34.970001
"57","2007-03-26",34.900002
"58","2007-03-27",34.23
"59","2007-03-28",33.529999
"60","2007-03-29",33.189999
"61","2007-03-30",33.630001
"62","2007-04-02",33.869999
"63","2007-04-03",34.310001
"64","2007-04-04",33.939999
"65","2007-04-05",34.049999
"66","2007-04-09",33.950001
"67","2007-04-10",34
"68","2007-04-11",33.529999
"69","2007-04-12",33.759998
"70","2007-04-13",33.91
"71","2007-04-16",34.110001
"72","2007-04-17",33.959999
"73","2007-04-18",33.82
"74","2007-04-19",33.619999
"75","2007-04-20",34.150002
"76","2007-04-23",34.060001
"77","2007-04-24",33.650002
"78","2007-04-25",33.439999
"79","2007-04-26",33.830002
"80","2007-04-27",33.619999
"81","2007-04-30",32.060001
"82","2007-05-01",32.779999
"83","2007-05-02",33.080002
"84","2007-05-03",33.299999
"85","2007-05-04",33.450001
"86","2007-05-07",33.400002
"87","2007-05-08",33.279999
"88","2007-05-09",33.630001
"89","2007-05-10",32.529999
"90","2007-05-11",33.150002
"91","2007-05-14",32.560001
"92","2007-05-15",32.080002
"93","2007-05-16",31.34
"94","2007-05-17",30.309999
"95","2007-05-18",30.83
"96","2007-05-21",31.76
"97","2007-05-22",32.139999
"98","2007-05-23",31.99
"99","2007-05-24",31.469999
"100","2007-05-25",31.68
"101","2007-05-29",31.4
