"","date","NDLS"
"1","2013-06-28",36.75
"2","2013-07-01",38.470001
"3","2013-07-02",47.200001
"4","2013-07-03",45
"5","2013-07-05",44.32
"6","2013-07-08",40.060001
"7","2013-07-09",41.139999
"8","2013-07-10",44.130001
"9","2013-07-11",43.68
"10","2013-07-12",42.93
"11","2013-07-15",42.700001
"12","2013-07-16",42.900002
"13","2013-07-17",44
"14","2013-07-18",42.759998
"15","2013-07-19",42.700001
"16","2013-07-22",42.119999
"17","2013-07-23",44.220001
"18","2013-07-24",43.380001
"19","2013-07-25",43.98
"20","2013-07-26",43
"21","2013-07-29",43.009998
"22","2013-07-30",43.049999
"23","2013-07-31",43.369999
"24","2013-08-01",44.299999
"25","2013-08-02",45.669998
"26","2013-08-05",45.740002
"27","2013-08-06",44.52
"28","2013-08-07",46.139999
"29","2013-08-08",47.27
"30","2013-08-09",42.310001
"31","2013-08-12",41.009998
"32","2013-08-13",40.169998
"33","2013-08-14",40.25
"34","2013-08-15",39.810001
"35","2013-08-16",41.25
"36","2013-08-19",41.73
"37","2013-08-20",42.169998
"38","2013-08-21",39.98
"39","2013-08-22",40.220001
"40","2013-08-23",41.220001
"41","2013-08-26",42.209999
"42","2013-08-27",43.040001
"43","2013-08-28",44.75
"44","2013-08-29",46.169998
"45","2013-08-30",45.66
"46","2013-09-03",44.759998
"47","2013-09-04",44.380001
"48","2013-09-05",45.759998
"49","2013-09-06",45.419998
"50","2013-09-09",45.060001
"51","2013-09-10",44.360001
"52","2013-09-11",43.639999
"53","2013-09-12",44.990002
"54","2013-09-13",45.720001
"55","2013-09-16",44.48
"56","2013-09-17",44.919998
"57","2013-09-18",45.5
"58","2013-09-19",45.509998
"59","2013-09-20",43.919998
"60","2013-09-23",43.349998
"61","2013-09-24",42.439999
"62","2013-09-25",43.139999
"63","2013-09-26",44.360001
"64","2013-09-27",44.330002
"65","2013-09-30",42.860001
"66","2013-10-01",42.970001
"67","2013-10-02",43.150002
"68","2013-10-03",43.029999
"69","2013-10-04",43.580002
"70","2013-10-07",44.360001
"71","2013-10-08",43.509998
"72","2013-10-09",43.700001
"73","2013-10-10",45.299999
"74","2013-10-11",46.82
"75","2013-10-14",48.299999
"76","2013-10-15",45.990002
"77","2013-10-16",46.049999
"78","2013-10-17",46.02
"79","2013-10-18",46.889999
"80","2013-10-21",46.029999
"81","2013-10-22",46.099998
"82","2013-10-23",45.57
"83","2013-10-24",46.34
"84","2013-10-25",45.509998
"85","2013-10-28",44.599998
"86","2013-10-29",45.25
"87","2013-10-30",43.66
"88","2013-10-31",43.790001
"89","2013-11-01",43.919998
"90","2013-11-04",45.18
"91","2013-11-05",47.689999
"92","2013-11-06",46.68
"93","2013-11-07",42.099998
"94","2013-11-08",42.139999
"95","2013-11-11",43.009998
