"","date","TIG"
"1","2020-07-16",15.51
"2","2020-07-17",16.700001
"3","2020-07-20",17
"4","2020-07-21",16.83
"5","2020-07-22",16.5
"6","2020-07-23",16.24
"7","2020-07-24",16.02
"8","2020-07-27",15.72
"9","2020-07-28",15.27
"10","2020-07-29",15.65
"11","2020-07-30",15.33
"12","2020-07-31",15.6
"13","2020-08-03",16.120001
"14","2020-08-04",16.23
"15","2020-08-05",16.32
"16","2020-08-06",16.389999
"17","2020-08-07",16.4
"18","2020-08-10",16.549999
"19","2020-08-11",16.92
"20","2020-08-12",17.08
"21","2020-08-13",16.700001
"22","2020-08-14",16.49
"23","2020-08-17",15.79
"24","2020-08-18",16.559999
"25","2020-08-19",16.76
"26","2020-08-20",16.76
"27","2020-08-21",16.639999
"28","2020-08-24",17.059999
"29","2020-08-25",16.700001
"30","2020-08-26",16.34
"31","2020-08-27",16.799999
"32","2020-08-28",16.16
"33","2020-08-31",15.65
"34","2020-09-01",15.56
"35","2020-09-02",14.99
"36","2020-09-03",13.61
"37","2020-09-04",13.5
"38","2020-09-08",14.25
"39","2020-09-09",14.92
"40","2020-09-10",14.94
"41","2020-09-11",15.12
"42","2020-09-14",13.85
"43","2020-09-15",13.41
"44","2020-09-16",12.47
"45","2020-09-17",12.28
"46","2020-09-18",12.15
"47","2020-09-21",12.31
"48","2020-09-22",12.28
"49","2020-09-23",12.03
"50","2020-09-24",12.11
"51","2020-09-25",12.26
"52","2020-09-28",12.78
"53","2020-09-29",14.33
"54","2020-09-30",15.25
"55","2020-10-01",15.35
"56","2020-10-02",15.05
"57","2020-10-05",15.11
"58","2020-10-06",15.45
"59","2020-10-07",15.19
"60","2020-10-08",14.71
"61","2020-10-09",14.68
"62","2020-10-12",14.73
"63","2020-10-13",14.33
"64","2020-10-14",13.94
"65","2020-10-15",14.26
"66","2020-10-16",13.7
"67","2020-10-19",13.28
"68","2020-10-20",13.19
"69","2020-10-21",13.79
"70","2020-10-22",13
"71","2020-10-23",13.38
"72","2020-10-26",12.81
"73","2020-10-27",12.39
"74","2020-10-28",12.14
"75","2020-10-29",11.3
"76","2020-10-30",10.85
"77","2020-11-02",10.59
"78","2020-11-03",10.53
"79","2020-11-04",10.74
"80","2020-11-05",10.54
"81","2020-11-06",10.11
"82","2020-11-09",10.58
"83","2020-11-10",10.71
"84","2020-11-11",10.92
"85","2020-11-12",10.71
"86","2020-11-13",13.09
"87","2020-11-16",13.55
"88","2020-11-17",12.64
"89","2020-11-18",14.1
"90","2020-11-19",14
"91","2020-11-20",13.99
"92","2020-11-23",14.43
"93","2020-11-24",14.9
"94","2020-11-25",14.84
"95","2020-11-27",14.64
