"","date","SVMK"
"1","2018-09-26",17.24
"2","2018-09-27",16.120001
"3","2018-09-28",16.030001
"4","2018-10-01",15.7
"5","2018-10-02",14.29
"6","2018-10-03",14.74
"7","2018-10-04",13.48
"8","2018-10-05",13.83
"9","2018-10-08",14.21
"10","2018-10-09",12.85
"11","2018-10-10",11.94
"12","2018-10-11",12.47
"13","2018-10-12",12.89
"14","2018-10-15",12.82
"15","2018-10-16",13.06
"16","2018-10-17",13.49
"17","2018-10-18",13.75
"18","2018-10-19",13.02
"19","2018-10-22",11.63
"20","2018-10-23",11.07
"21","2018-10-24",10.99
"22","2018-10-25",11.45
"23","2018-10-26",11.39
"24","2018-10-29",10.34
"25","2018-10-30",10.3
"26","2018-10-31",10.71
"27","2018-11-01",11.28
"28","2018-11-02",11.57
"29","2018-11-05",11.23
"30","2018-11-06",11.25
"31","2018-11-07",11.9
"32","2018-11-08",11.43
"33","2018-11-09",10.77
"34","2018-11-12",11.5
"35","2018-11-13",11.29
"36","2018-11-14",12.77
"37","2018-11-15",13.21
"38","2018-11-16",14.15
"39","2018-11-19",12.99
"40","2018-11-20",13.05
"41","2018-11-21",12.8
"42","2018-11-23",13
"43","2018-11-26",13.32
"44","2018-11-27",13.31
"45","2018-11-28",14.01
"46","2018-11-29",14.54
"47","2018-11-30",14.28
"48","2018-12-03",14.34
"49","2018-12-04",14.22
"50","2018-12-06",13.89
"51","2018-12-07",13.51
"52","2018-12-10",13.21
"53","2018-12-11",12.94
"54","2018-12-12",13.04
"55","2018-12-13",12.94
"56","2018-12-14",12.45
"57","2018-12-17",10.97
"58","2018-12-18",11.01
"59","2018-12-19",11.05
"60","2018-12-20",11.03
"61","2018-12-21",10.98
"62","2018-12-24",10.85
"63","2018-12-26",11.34
"64","2018-12-27",11.19
"65","2018-12-28",11.22
"66","2018-12-31",12.27
"67","2019-01-02",11.91
"68","2019-01-03",11.72
"69","2019-01-04",12.66
"70","2019-01-07",13.4
"71","2019-01-08",13.63
"72","2019-01-09",13.47
"73","2019-01-10",13.04
"74","2019-01-11",13.37
"75","2019-01-14",13.36
"76","2019-01-15",13.41
"77","2019-01-16",13.3
"78","2019-01-17",13.09
"79","2019-01-18",13.41
"80","2019-01-22",12.77
"81","2019-01-23",12.72
"82","2019-01-24",13.18
"83","2019-01-25",13.23
"84","2019-01-28",12.9
"85","2019-01-29",12.64
"86","2019-01-30",12.67
"87","2019-01-31",13.01
"88","2019-02-01",12.8
"89","2019-02-04",13.65
