"","date","NTWK"
"1","2007-01-03",13.7
"2","2007-01-04",13.5
"3","2007-01-05",13.8
"4","2007-01-08",13.8
"5","2007-01-09",13.3
"6","2007-01-10",13.8
"7","2007-01-11",14.3
"8","2007-01-12",14.1
"9","2007-01-16",14.5
"10","2007-01-17",14.7
"11","2007-01-18",14.2
"12","2007-01-19",14.1
"13","2007-01-22",14.2
"14","2007-01-23",13.7
"15","2007-01-24",13.7
"16","2007-01-25",13.9
"17","2007-01-26",14.1
"18","2007-01-29",13.9
"19","2007-01-30",15
"20","2007-01-31",15
"21","2007-02-01",14.8
"22","2007-02-02",14.9
"23","2007-02-05",14.9
"24","2007-02-06",15
"25","2007-02-07",17.200001
"26","2007-02-08",18.4
"27","2007-02-09",17.700001
"28","2007-02-12",17.200001
"29","2007-02-13",16.1
"30","2007-02-14",15.8
"31","2007-02-15",16
"32","2007-02-16",15.9
"33","2007-02-20",16
"34","2007-02-21",16.1
"35","2007-02-22",17
"36","2007-02-23",16.9
"37","2007-02-26",17
"38","2007-02-27",16.9
"39","2007-02-28",16.700001
"40","2007-03-01",17
"41","2007-03-02",16.799999
"42","2007-03-05",16.200001
"43","2007-03-06",16.5
"44","2007-03-07",16.6
"45","2007-03-08",16.1
"46","2007-03-09",16.700001
"47","2007-03-12",16.799999
"48","2007-03-13",16.700001
"49","2007-03-14",17.5
"50","2007-03-15",18.200001
"51","2007-03-16",18.299999
"52","2007-03-19",18.299999
"53","2007-03-20",18.9
"54","2007-03-21",19.1
"55","2007-03-22",18.799999
"56","2007-03-23",19.700001
"57","2007-03-26",19.1
"58","2007-03-27",18.9
"59","2007-03-28",18.799999
"60","2007-03-29",17.799999
"61","2007-03-30",17.4
"62","2007-04-02",17.5
"63","2007-04-03",17.299999
"64","2007-04-04",17.5
"65","2007-04-05",17.6
"66","2007-04-09",17.6
"67","2007-04-10",17
"68","2007-04-11",16.4
"69","2007-04-12",16.700001
"70","2007-04-13",17
"71","2007-04-16",17.6
"72","2007-04-17",18.200001
"73","2007-04-18",18.4
"74","2007-04-19",18.299999
"75","2007-04-20",18.299999
"76","2007-04-23",18.5
"77","2007-04-24",19.5
"78","2007-04-25",19
"79","2007-04-26",18.9
"80","2007-04-27",19.299999
"81","2007-04-30",19.299999
"82","2007-05-01",20.200001
"83","2007-05-02",19.9
"84","2007-05-03",18.9
"85","2007-05-04",18.9
"86","2007-05-07",19
"87","2007-05-08",18.5
"88","2007-05-09",17.6
"89","2007-05-10",17.200001
"90","2007-05-11",17.6
"91","2007-05-14",16.799999
"92","2007-05-15",16.799999
"93","2007-05-16",16.9
"94","2007-05-17",17.299999
"95","2007-05-18",17.5
"96","2007-05-21",17.200001
"97","2007-05-22",16.9
"98","2007-05-23",16.6
"99","2007-05-24",16.6
