"","date","LINC"
"1","2007-01-03",13.29
"2","2007-01-04",13.16
"3","2007-01-05",12.93
"4","2007-01-08",12.45
"5","2007-01-09",11.96
"6","2007-01-10",11.96
"7","2007-01-11",11.89
"8","2007-01-12",11.71
"9","2007-01-16",11.7
"10","2007-01-17",11.58
"11","2007-01-18",11.63
"12","2007-01-19",12.24
"13","2007-01-22",12.24
"14","2007-01-23",12.23
"15","2007-01-24",12.19
"16","2007-01-25",11.98
"17","2007-01-26",11.86
"18","2007-01-29",12.23
"19","2007-01-30",12.12
"20","2007-01-31",12.12
"21","2007-02-01",12.17
"22","2007-02-02",12.14
"23","2007-02-05",12
"24","2007-02-06",12.09
"25","2007-02-07",12
"26","2007-02-08",12
"27","2007-02-09",12.02
"28","2007-02-12",12.02
"29","2007-02-13",11.97
"30","2007-02-14",11.98
"31","2007-02-15",12.01
"32","2007-02-16",12
"33","2007-02-20",11.98
"34","2007-02-21",11.97
"35","2007-02-22",12.02
"36","2007-02-23",11.92
"37","2007-02-26",12.34
"38","2007-02-27",11.84
"39","2007-02-28",11.91
"40","2007-03-01",11.96
"41","2007-03-02",11.8
"42","2007-03-05",11.82
"43","2007-03-06",11.89
"44","2007-03-07",12.23
"45","2007-03-08",12.63
"46","2007-03-09",12.53
"47","2007-03-12",12.69
"48","2007-03-13",12.75
"49","2007-03-14",13.01
"50","2007-03-15",13.04
"51","2007-03-16",12.95
"52","2007-03-19",13.01
"53","2007-03-20",13.06
"54","2007-03-21",13.02
"55","2007-03-22",13.29
"56","2007-03-23",13.42
"57","2007-03-26",13.94
"58","2007-03-27",13.89
"59","2007-03-28",13.96
"60","2007-03-29",13.85
"61","2007-03-30",14.21
"62","2007-04-02",14.15
"63","2007-04-03",14.06
"64","2007-04-04",14.03
"65","2007-04-05",14.15
"66","2007-04-09",14.1
"67","2007-04-10",14.2
"68","2007-04-11",13.75
"69","2007-04-12",13.76
"70","2007-04-13",13.64
"71","2007-04-16",14.03
"72","2007-04-17",14.08
"73","2007-04-18",14
"74","2007-04-19",13.98
"75","2007-04-20",14.15
"76","2007-04-23",14.03
"77","2007-04-24",14.05
"78","2007-04-25",14.03
"79","2007-04-26",14.16
"80","2007-04-27",13.92
"81","2007-04-30",13.88
"82","2007-05-01",14
"83","2007-05-02",14.29
"84","2007-05-03",13.93
"85","2007-05-04",14.48
"86","2007-05-07",14.57
"87","2007-05-08",14.89
"88","2007-05-09",14.92
"89","2007-05-10",14.61
"90","2007-05-11",14.62
"91","2007-05-14",14.8
"92","2007-05-15",14.73
"93","2007-05-16",14.7
"94","2007-05-17",14.07
"95","2007-05-18",14.21
"96","2007-05-21",14.15
"97","2007-05-22",14.63
"98","2007-05-23",14.63
"99","2007-05-24",14.33
"100","2007-05-25",14.47
"101","2007-05-29",14.1
"102","2007-05-30",14.17
"103","2007-05-31",14.49
"104","2007-06-01",14.67
"105","2007-06-04",14.72
"106","2007-06-05",14.59
"107","2007-06-06",14.89
"108","2007-06-07",14.92
"109","2007-06-08",15.33
"110","2007-06-11",15.42
"111","2007-06-12",15.14
"112","2007-06-13",15.4
"113","2007-06-14",15.73
"114","2007-06-15",15.79
"115","2007-06-18",15.61
"116","2007-06-19",15.51
"117","2007-06-20",15.09
"118","2007-06-21",14.81
"119","2007-06-22",14.5
"120","2007-06-25",14.66
"121","2007-06-26",14.36
"122","2007-06-27",15
"123","2007-06-28",15.27
"124","2007-06-29",14.86
"125","2007-07-02",15.6
"126","2007-07-03",15.58
"127","2007-07-05",15.12
"128","2007-07-06",15.02
"129","2007-07-09",15.01
"130","2007-07-10",15.01
"131","2007-07-11",14.85
"132","2007-07-12",15.45
"133","2007-07-13",15.23
"134","2007-07-16",15
"135","2007-07-17",14.69
"136","2007-07-18",14.9
"137","2007-07-19",14.7
"138","2007-07-20",14.51
"139","2007-07-23",14
"140","2007-07-24",13.7
"141","2007-07-25",13.77
"142","2007-07-26",13.35
"143","2007-07-27",13.09
"144","2007-07-30",13.07
"145","2007-07-31",13.02
"146","2007-08-01",12.56
"147","2007-08-02",13.16
"148","2007-08-03",13.15
"149","2007-08-06",13.9
"150","2007-08-07",13.65
"151","2007-08-08",14.34
"152","2007-08-09",14.02
"153","2007-08-10",13.88
"154","2007-08-13",13.46
"155","2007-08-14",13.5
"156","2007-08-15",13.36
"157","2007-08-16",13.81
"158","2007-08-17",14.02
"159","2007-08-20",13.47
"160","2007-08-21",13.26
"161","2007-08-22",13.26
"162","2007-08-23",13
"163","2007-08-24",13
"164","2007-08-27",13.04
"165","2007-08-28",13.17
"166","2007-08-29",13.49
"167","2007-08-30",13.48
"168","2007-08-31",13.97
"169","2007-09-04",14.02
"170","2007-09-05",13.7
"171","2007-09-06",14.02
