"","date","CVS"
"1","2007-01-03",30.84
"2","2007-01-04",31
"3","2007-01-05",31.17
"4","2007-01-08",31.35
"5","2007-01-09",31.01
"6","2007-01-10",31.32
"7","2007-01-11",31.51
"8","2007-01-12",31.940001
"9","2007-01-16",31.790001
"10","2007-01-17",32.48
"11","2007-01-18",32.610001
"12","2007-01-19",33.279999
"13","2007-01-22",33.029999
"14","2007-01-23",33.25
"15","2007-01-24",32.860001
"16","2007-01-25",32.75
"17","2007-01-26",32.970001
"18","2007-01-29",32.689999
"19","2007-01-30",33.049999
"20","2007-01-31",33.650002
"21","2007-02-01",33.290001
"22","2007-02-02",33.189999
"23","2007-02-05",33.299999
"24","2007-02-06",33.23
"25","2007-02-07",33.240002
"26","2007-02-08",33.119999
"27","2007-02-09",32.91
"28","2007-02-12",32.490002
"29","2007-02-13",32.09
"30","2007-02-14",32.720001
"31","2007-02-15",32.91
"32","2007-02-16",32.73
"33","2007-02-20",32.790001
"34","2007-02-21",33.07
"35","2007-02-22",32.52
"36","2007-02-23",32.48
"37","2007-02-26",32.380001
"38","2007-02-27",31.5
"39","2007-02-28",31.42
"40","2007-03-01",31.34
"41","2007-03-02",30.940001
"42","2007-03-05",30.790001
"43","2007-03-06",31.299999
"44","2007-03-07",31.32
"45","2007-03-08",32.41
"46","2007-03-09",32.599998
"47","2007-03-12",31.98
"48","2007-03-13",31.9
"49","2007-03-14",32.310001
"50","2007-03-15",33.34
"51","2007-03-16",32.939999
"52","2007-03-19",33.139999
"53","2007-03-20",33.669998
"54","2007-03-21",34.669998
"55","2007-03-22",34.310001
"56","2007-03-23",34.57
"57","2007-03-26",34.619999
"58","2007-03-27",34.369999
"59","2007-03-28",33.950001
"60","2007-03-29",34.16
"61","2007-03-30",34.139999
"62","2007-04-02",34.419998
"63","2007-04-03",34.290001
"64","2007-04-04",34.59
"65","2007-04-05",34.73
"66","2007-04-09",34.900002
"67","2007-04-10",35
"68","2007-04-11",35.009998
"69","2007-04-12",35.029999
"70","2007-04-13",35.130001
"71","2007-04-16",34.950001
"72","2007-04-17",34.720001
"73","2007-04-18",34.57
"74","2007-04-19",34.91
"75","2007-04-20",34.970001
"76","2007-04-23",35.09
"77","2007-04-24",36.709999
"78","2007-04-25",36.68
"79","2007-04-26",36.860001
"80","2007-04-27",36.73
"81","2007-04-30",36.240002
"82","2007-05-01",35.990002
"83","2007-05-02",36.330002
"84","2007-05-03",36.110001
"85","2007-05-04",35.939999
"86","2007-05-07",36.119999
"87","2007-05-08",37.009998
"88","2007-05-09",38.02
"89","2007-05-10",37.470001
"90","2007-05-11",37.310001
"91","2007-05-14",37.349998
"92","2007-05-15",37.57
"93","2007-05-16",38.119999
"94","2007-05-17",38.060001
"95","2007-05-18",38.459999
"96","2007-05-21",37.799999
"97","2007-05-22",37.580002
"98","2007-05-23",38.099998
"99","2007-05-24",38.290001
"100","2007-05-25",39.080002
"101","2007-05-29",38.869999
"102","2007-05-30",38.869999
"103","2007-05-31",38.540001
"104","2007-06-01",38.549999
"105","2007-06-04",38.189999
"106","2007-06-05",37.799999
"107","2007-06-06",37.25
"108","2007-06-07",37.57
"109","2007-06-08",37.860001
"110","2007-06-11",37.450001
"111","2007-06-12",37.150002
"112","2007-06-13",37.400002
"113","2007-06-14",37.259998
"114","2007-06-15",37.630001
"115","2007-06-18",37.34
"116","2007-06-19",37.52
"117","2007-06-20",37.040001
"118","2007-06-21",37.119999
"119","2007-06-22",36.549999
"120","2007-06-25",36.310001
"121","2007-06-26",35.860001
"122","2007-06-27",36.57
"123","2007-06-28",36.549999
