"","date","LKCO"
"1","2019-01-15",12.2
"2","2019-01-16",7.11
"3","2019-01-17",7
"4","2019-01-18",7
"5","2019-01-22",13.5
"6","2019-01-23",12.5
"7","2019-01-24",11.8
"8","2019-01-25",12
"9","2019-01-28",11.999
"10","2019-01-29",12.5
"11","2019-01-30",11.57
"12","2019-01-31",11.6
"13","2019-02-01",11.87
"14","2019-02-04",11.3
"15","2019-02-05",11.39
"16","2019-02-06",11.48
"17","2019-02-07",11.49
"18","2019-02-08",10.999
"19","2019-02-11",11.39
"20","2019-02-12",10.949
"21","2019-02-13",10.35
"22","2019-02-14",9.45
"23","2019-02-15",8.648
"24","2019-02-19",8.6
"25","2019-02-20",8.55
"26","2019-02-21",8.45
"27","2019-02-22",8.3
"28","2019-02-25",8.34
"29","2019-02-26",8.37
"30","2019-02-27",8.25
"31","2019-02-28",8.07
"32","2019-03-01",8.26
"33","2019-03-04",8.43
"34","2019-03-05",8.72
"35","2019-03-06",8.22
"36","2019-03-07",8.26
"37","2019-03-08",8.127
"38","2019-03-11",7.8
"39","2019-03-12",7.8
"40","2019-03-13",8
"41","2019-03-14",7.61
"42","2019-03-15",7.51
"43","2019-03-18",7.16
"44","2019-03-19",7.5
"45","2019-03-20",7.75
"46","2019-03-21",7.601
"47","2019-03-22",7.73
"48","2019-03-25",7.32
"49","2019-03-26",7.46
"50","2019-03-27",7.42
"51","2019-03-28",7.46
"52","2019-03-29",7.45
"53","2019-04-01",7.44
"54","2019-04-02",7.41
"55","2019-04-03",7.39
"56","2019-04-04",7.28
"57","2019-04-05",7.39
"58","2019-04-08",7.05
"59","2019-04-09",7.25
"60","2019-04-10",7.15
"61","2019-04-11",6.99
"62","2019-04-12",6.64
"63","2019-04-15",6.75
"64","2019-04-16",6.8
"65","2019-04-17",6.8
"66","2019-04-18",6.47
"67","2019-04-22",6.3
"68","2019-04-23",6.635
"69","2019-04-24",6.8
"70","2019-04-25",6.79
"71","2019-04-26",6.55
"72","2019-04-29",6.6
"73","2019-04-30",6.5
"74","2019-05-01",6.4
"75","2019-05-02",6.02
"76","2019-05-03",6.1
"77","2019-05-06",6.15
"78","2019-05-07",6.14
"79","2019-05-08",6.16
"80","2019-05-09",6.18
