"","date","GEVO"
"1","2011-02-09",98640
"2","2011-02-10",100980
"3","2011-02-11",100140
"4","2011-02-14",103200
"5","2011-02-15",102180
"6","2011-02-16",108960
"7","2011-02-17",118860
"8","2011-02-18",119040
"9","2011-02-22",110220
"10","2011-02-23",111300
"11","2011-02-24",115920
"12","2011-02-25",119640
"13","2011-02-28",118260
"14","2011-03-01",113700
"15","2011-03-02",115500
"16","2011-03-03",114600
"17","2011-03-04",114240
"18","2011-03-07",116460
"19","2011-03-08",116820
"20","2011-03-09",113700
"21","2011-03-10",111600
"22","2011-03-11",113280
"23","2011-03-14",111420
"24","2011-03-15",110880
"25","2011-03-16",111660
"26","2011-03-17",116340
"27","2011-03-18",118380
"28","2011-03-21",112260
"29","2011-03-22",115200
"30","2011-03-23",105180
"31","2011-03-24",104280
"32","2011-03-25",107040
"33","2011-03-28",112560
"34","2011-03-29",118800
"35","2011-03-30",120600
"36","2011-03-31",118200
"37","2011-04-01",127860
"38","2011-04-04",140460
"39","2011-04-05",137760
"40","2011-04-06",147900
"41","2011-04-07",153300
"42","2011-04-08",151800
"43","2011-04-11",146700
"44","2011-04-12",140100
"45","2011-04-13",133560
"46","2011-04-14",125460
"47","2011-04-15",122040
"48","2011-04-18",115620
"49","2011-04-19",118260
"50","2011-04-20",126600
"51","2011-04-21",120660
"52","2011-04-25",123660
"53","2011-04-26",121920
"54","2011-04-27",117780
"55","2011-04-28",115200
"56","2011-04-29",116100
"57","2011-05-02",122460
"58","2011-05-03",119100
"59","2011-05-04",114240
"60","2011-05-05",113400
"61","2011-05-06",114840
"62","2011-05-09",114300
"63","2011-05-10",116460
"64","2011-05-11",120180
"65","2011-05-12",120660
"66","2011-05-13",119940
"67","2011-05-16",118260
"68","2011-05-17",119400
"69","2011-05-18",119160
"70","2011-05-19",123720
"71","2011-05-20",121020
"72","2011-05-23",120240
"73","2011-05-24",114600
"74","2011-05-25",117060
"75","2011-05-26",117600
"76","2011-05-27",118440
"77","2011-05-31",115680
"78","2011-06-01",109620
"79","2011-06-02",107880
"80","2011-06-03",102060
"81","2011-06-06",99000
"82","2011-06-07",98880
"83","2011-06-08",98760
"84","2011-06-09",98700
"85","2011-06-10",97200
"86","2011-06-13",102300
"87","2011-06-14",99000
"88","2011-06-15",98580
"89","2011-06-16",97140
"90","2011-06-17",95160
"91","2011-06-20",88860
"92","2011-06-21",80820
"93","2011-06-22",81240
"94","2011-06-23",84900
"95","2011-06-24",88800
"96","2011-06-27",85860
"97","2011-06-28",97020
"98","2011-06-29",93900
"99","2011-06-30",94380
"100","2011-07-01",98400
"101","2011-07-05",98220
"102","2011-07-06",107160
"103","2011-07-07",105060
"104","2011-07-08",105360
"105","2011-07-11",99300
"106","2011-07-12",99720
"107","2011-07-13",107700
"108","2011-07-14",107160
"109","2011-07-15",106800
"110","2011-07-18",104820
"111","2011-07-19",108120
"112","2011-07-20",108060
"113","2011-07-21",107100
"114","2011-07-22",110160
"115","2011-07-25",110040
"116","2011-07-26",104040
"117","2011-07-27",97140
"118","2011-07-28",99600
"119","2011-07-29",99180
"120","2011-08-01",100200
"121","2011-08-02",90120
"122","2011-08-03",90900
"123","2011-08-04",88440
"124","2011-08-05",83220
"125","2011-08-08",74220
"126","2011-08-09",78660
"127","2011-08-10",69360
"128","2011-08-11",63540
"129","2011-08-12",63540
"130","2011-08-15",73980
"131","2011-08-16",69000
"132","2011-08-17",68520
