"","date","RUSHB"
"188","2007-10-01",10.968889
"189","2007-10-02",11.355556
"190","2007-10-03",10.991111
"191","2007-10-04",11.093333
"192","2007-10-05",11.328889
"193","2007-10-08",11.315556
"194","2007-10-09",11.382222
"195","2007-10-10",11.031111
"196","2007-10-11",10.833333
"197","2007-10-12",10.753333
"198","2007-10-15",10.62
"199","2007-10-16",10.7
"200","2007-10-17",10.553333
"201","2007-10-18",10.426666
"202","2007-10-19",10.12
"203","2007-10-22",10.693334
"204","2007-10-23",10.66
"205","2007-10-24",10.24
"206","2007-10-25",10.626667
"207","2007-10-26",10.426666
"208","2007-10-29",10.573334
"209","2007-10-30",10.56
"210","2007-10-31",10.646667
"211","2007-11-01",10.16
"212","2007-11-02",10.113334
"213","2007-11-05",10.166667
"214","2007-11-06",10.286667
"215","2007-11-07",9.746667
"216","2007-11-08",10.106667
"217","2007-11-09",10.166667
"218","2007-11-12",10.313334
"219","2007-11-13",10.62
"220","2007-11-14",10.473333
"221","2007-11-15",10.246667
"222","2007-11-16",9.893333
"223","2007-11-19",10.02
"224","2007-11-20",9.926666
"225","2007-11-21",9.673333
"226","2007-11-23",9.713333
"227","2007-11-26",9.846666
"228","2007-11-27",9.92
"229","2007-11-28",10.626667
"230","2007-11-29",10.34
"231","2007-11-30",10.56
"232","2007-12-03",10.693334
"233","2007-12-04",10.786667
"234","2007-12-05",10.893333
"235","2007-12-06",10.88
"236","2007-12-07",10.973333
"237","2007-12-10",11.3
"238","2007-12-11",11.473333
"239","2007-12-12",11.66
"240","2007-12-13",11.733334
"241","2007-12-14",11.606667
"242","2007-12-17",11.506667
"243","2007-12-18",11.92
"244","2007-12-19",11.833333
"245","2007-12-20",12.173333
"246","2007-12-21",11.933333
"247","2007-12-24",11.846666
"248","2007-12-26",12.033334
"249","2007-12-27",11.786667
"250","2007-12-28",11.893333
"251","2007-12-31",11.866667
"252","2008-01-02",11.706667
"253","2008-01-03",11.58
"254","2008-01-04",10.9
"255","2008-01-07",10.866667
"256","2008-01-08",10.4
"257","2008-01-09",10.906667
"258","2008-01-10",11.026667
"259","2008-01-11",10.46
"260","2008-01-14",10.286667
"261","2008-01-15",10.173333
"262","2008-01-16",10.193334
"263","2008-01-17",10.013333
"264","2008-01-18",9.7
"265","2008-01-22",9.926666
"266","2008-01-23",10.686666
"267","2008-01-24",10.326667
"268","2008-01-25",10.153334
"269","2008-01-28",10.293333
"270","2008-01-29",10.293333
"271","2008-01-30",10.193334
"272","2008-01-31",10.466666
"273","2008-02-01",10.56
"274","2008-02-04",10.506667
"275","2008-02-05",10.426666
"276","2008-02-06",10.406667
"277","2008-02-07",10.46
"278","2008-02-08",10.573334
"279","2008-02-11",10.713333
"280","2008-02-12",10.56
"281","2008-02-13",10.313334
"282","2008-02-14",9.706667
"283","2008-02-15",9.946667
"284","2008-02-19",10.44
"285","2008-02-20",10.633333
"286","2008-02-21",10.253333
"287","2008-02-22",10
"288","2008-02-25",10.313334
"289","2008-02-26",10.286667
"290","2008-02-27",10.286667
"291","2008-02-28",10.126667
"292","2008-02-29",9.853333
"293","2008-03-03",9.426666
"294","2008-03-04",9.4
"295","2008-03-05",9.473333
"296","2008-03-06",9.286667
"297","2008-03-07",9.293333
"298","2008-03-10",9.346666
"299","2008-03-11",9.853333
"300","2008-03-12",9.833333
"301","2008-03-13",10.146667
"302","2008-03-14",9.746667
"303","2008-03-17",9.6
"304","2008-03-18",9.98
"305","2008-03-19",9.693334
"306","2008-03-20",9.6
"307","2008-03-24",10.086667
"308","2008-03-25",9.973333
"309","2008-03-26",10.06
"310","2008-03-27",9.773334
"311","2008-03-28",9.8
"312","2008-03-31",9.84
"313","2008-04-01",10.353333
"314","2008-04-02",10.68
"315","2008-04-03",10.066667
"316","2008-04-04",10.166667
"317","2008-04-07",10.206667
