"","date","ZGYH"
"1","2020-04-20",9.74
"2","2020-04-21",9.74
"3","2020-04-22",9.74
"4","2020-04-23",9.74
"5","2020-04-24",9.74
"6","2020-04-27",9.74
"7","2020-04-28",9.74
"8","2020-04-29",9.74
"9","2020-04-30",9.74
"10","2020-05-01",9.74
"11","2020-05-04",9.74
"12","2020-05-05",9.74
"13","2020-05-06",9.74
"14","2020-05-07",9.74
"15","2020-05-08",9.74
"16","2020-05-11",9.74
"17","2020-05-12",9.74
"18","2020-05-13",9.74
"19","2020-05-14",9.74
"20","2020-05-15",9.74
"21","2020-05-18",9.74
"22","2020-05-19",9.74
"23","2020-05-20",9.74
"24","2020-05-21",9.74
"25","2020-05-22",9.84
"26","2020-05-26",9.75
"27","2020-05-27",9.7
"28","2020-05-28",9.7
"29","2020-05-29",9.7
"30","2020-06-01",9.7
"31","2020-06-02",9.73
"32","2020-06-03",9.73
"33","2020-06-04",9.73
"34","2020-06-05",9.73
"35","2020-06-08",9.75
"36","2020-06-09",9.75
"37","2020-06-10",9.72
"38","2020-06-11",9.72
"39","2020-06-12",9.72
"40","2020-06-15",9.72
"41","2020-06-16",9.75
"42","2020-06-17",9.69
"43","2020-06-18",9.68
"44","2020-06-19",9.68
"45","2020-06-22",9.68
"46","2020-06-23",9.68
"47","2020-06-24",9.72
"48","2020-06-25",9.69
"49","2020-06-26",9.69
"50","2020-06-29",9.716
"51","2020-06-30",9.76
"52","2020-07-01",9.76
"53","2020-07-02",9.802
"54","2020-07-06",9.736
"55","2020-07-07",9.77
"56","2020-07-08",9.76
"57","2020-07-09",9.75
"58","2020-07-10",9.77
"59","2020-07-13",9.78
"60","2020-07-14",9.8
"61","2020-07-15",9.82
"62","2020-07-16",9.84
"63","2020-07-17",9.84
"64","2020-07-20",9.83
"65","2020-07-21",9.84
"66","2020-07-22",9.845
"67","2020-07-23",9.88
"68","2020-07-24",9.86
"69","2020-07-27",9.85
"70","2020-07-28",9.82
"71","2020-07-29",9.87
"72","2020-07-30",9.87
"73","2020-07-31",9.8
"74","2020-08-03",9.8
"75","2020-08-04",9.83
"76","2020-08-05",9.8
"77","2020-08-06",9.79
"78","2020-08-07",9.79
"79","2020-08-10",9.79
"80","2020-08-11",9.8
"81","2020-08-12",9.8
"82","2020-08-13",9.82
"83","2020-08-14",9.82
"84","2020-08-17",9.82
"85","2020-08-18",9.82
"86","2020-08-19",9.82
"87","2020-08-20",9.821
"88","2020-08-21",9.8
"89","2020-08-24",9.84
"90","2020-08-25",9.82
"91","2020-08-26",9.82
"92","2020-08-27",9.82
"93","2020-08-28",9.83
"94","2020-08-31",9.83
"95","2020-09-01",9.84
"96","2020-09-02",9.83
"97","2020-09-03",9.84
"98","2020-09-04",9.88
"99","2020-09-08",9.8
"100","2020-09-09",9.8
"101","2020-09-10",9.84
"102","2020-09-11",9.84
"103","2020-09-14",9.846
"104","2020-09-15",9.84
"105","2020-09-16",9.84
"106","2020-09-17",9.82
"107","2020-09-18",9.82
"108","2020-09-21",9.83
"109","2020-09-22",9.82
"110","2020-09-23",9.85
"111","2020-09-24",9.8
"112","2020-09-25",9.85
"113","2020-09-28",9.8
"114","2020-09-29",9.87
"115","2020-09-30",9.87
"116","2020-10-01",9.87
"117","2020-10-02",9.87
"118","2020-10-05",9.87
"119","2020-10-06",9.865
"120","2020-10-07",9.89
"121","2020-10-08",9.91
"122","2020-10-09",9.91
"123","2020-10-12",9.875
"124","2020-10-13",9.89
"125","2020-10-14",9.89
"126","2020-10-15",9.86
"127","2020-10-16",9.876
"128","2020-10-19",9.876
"129","2020-10-20",9.88
"130","2020-10-21",9.84
"131","2020-10-22",9.84
"132","2020-10-23",9.84
"133","2020-10-26",9.84
"134","2020-10-27",9.89
"135","2020-10-28",9.84
"136","2020-10-29",9.84
"137","2020-10-30",9.85
"138","2020-11-02",9.82
"139","2020-11-03",9.875
"140","2020-11-04",9.87
"141","2020-11-05",9.85
"142","2020-11-06",9.85
"143","2020-11-09",9.9
"144","2020-11-10",9.9
"145","2020-11-11",9.85
"146","2020-11-12",9.89
"147","2020-11-13",9.89
"148","2020-11-16",9.89
"149","2020-11-17",9.9
"150","2020-11-18",9.91
"151","2020-11-19",9.9
"152","2020-11-20",9.91
"153","2020-11-23",9.91
"154","2020-11-24",9.93
"155","2020-11-25",9.93
"156","2020-11-27",9.95
