"","date","EH"
"1","2019-12-13",12.9
"2","2019-12-16",12.5
"3","2019-12-17",11.07
"4","2019-12-18",9.52
"5","2019-12-19",9.4
"6","2019-12-20",10
"7","2019-12-23",10.18
"8","2019-12-24",10.53
"9","2019-12-26",10.61
"10","2019-12-27",10.63
"11","2019-12-30",10.64
"12","2019-12-31",10.75
"13","2020-01-02",12.7
"14","2020-01-03",12.8
"15","2020-01-06",13.54
"16","2020-01-07",13.55
"17","2020-01-08",13.6
"18","2020-01-09",13.45
"19","2020-01-10",13.32
"20","2020-01-13",13.64
"21","2020-01-14",13.42
"22","2020-01-15",13.75
"23","2020-01-16",13.29
"24","2020-01-17",13.21
"25","2020-01-21",13.05
"26","2020-01-22",13.1
"27","2020-01-23",12.8
"28","2020-01-24",12.55
"29","2020-01-27",11.81
"30","2020-01-28",12.27
"31","2020-01-29",11.94
"32","2020-01-30",11.4
"33","2020-01-31",10.86
"34","2020-02-03",11.34
"35","2020-02-04",12.43
"36","2020-02-05",12.44
"37","2020-02-06",12.3
"38","2020-02-07",12.26
"39","2020-02-10",12.3
"40","2020-02-11",12.4
"41","2020-02-12",12.6
"42","2020-02-13",12.4
"43","2020-02-14",12
"44","2020-02-18",12.03
"45","2020-02-19",12.6
"46","2020-02-20",12.095
"47","2020-02-21",12.025
"48","2020-02-24",11.087
"49","2020-02-25",11.41
"50","2020-02-26",11.07
"51","2020-02-27",11.11
"52","2020-02-28",11.05
"53","2020-03-02",11.06
"54","2020-03-03",11.2
"55","2020-03-04",11.12
"56","2020-03-05",11.25
"57","2020-03-06",11.1
"58","2020-03-09",10.25
"59","2020-03-10",11
"60","2020-03-11",10.33
"61","2020-03-12",10.84
"62","2020-03-13",10.05
"63","2020-03-16",9.95
"64","2020-03-17",10.1
"65","2020-03-18",10.15
"66","2020-03-19",10.25
"67","2020-03-20",10.16
"68","2020-03-23",10.2
"69","2020-03-24",10.42
"70","2020-03-25",10.36
"71","2020-03-26",11.21
"72","2020-03-27",10.47
"73","2020-03-30",10.21
"74","2020-03-31",10.74
"75","2020-04-01",10.28
"76","2020-04-02",11.8
"77","2020-04-03",11.68
"78","2020-04-06",11.981
"79","2020-04-07",11.94
"80","2020-04-08",12.05
"81","2020-04-09",12
"82","2020-04-13",11.934
"83","2020-04-14",12.1
"84","2020-04-15",11.97
