"","date","NHTC"
"1","2007-01-03",1.62
"2","2007-01-04",1.52
"3","2007-01-05",1.56
"4","2007-01-08",1.58
"5","2007-01-09",1.55
"6","2007-01-10",2.25
"7","2007-01-11",2
"8","2007-01-12",2.4
"9","2007-01-16",2.39
"10","2007-01-17",2.4
"11","2007-01-18",2.28
"12","2007-01-19",2.2
"13","2007-01-22",2.06
"14","2007-01-23",2.15
"15","2007-01-24",2.06
"16","2007-01-25",2.3
"17","2007-01-26",2.2
"18","2007-01-29",2.31
"19","2007-01-30",2.41
"20","2007-01-31",2.31
"21","2007-02-01",2.22
"22","2007-02-02",2.21
"23","2007-02-05",2.14
"24","2007-02-06",2.17
"25","2007-02-07",2.19
"26","2007-02-08",2.21
"27","2007-02-09",2.18
"28","2007-02-12",2.18
"29","2007-02-13",2.08
"30","2007-02-14",2.04
"31","2007-02-15",2.12
"32","2007-02-16",2
"33","2007-02-20",2.01
"34","2007-02-21",1.86
"35","2007-02-22",1.75
"36","2007-02-23",1.83
"37","2007-02-26",1.85
"38","2007-02-27",1.92
"39","2007-02-28",2
"40","2007-03-01",1.96
"41","2007-03-02",1.91
"42","2007-03-05",1.75
"43","2007-03-06",1.76
"44","2007-03-07",1.74
"45","2007-03-08",1.77
"46","2007-03-09",1.77
"47","2007-03-12",1.78
"48","2007-03-13",1.76
"49","2007-03-14",1.79
"50","2007-03-15",1.76
"51","2007-03-16",1.76
"52","2007-03-19",1.76
"53","2007-03-20",1.8
"54","2007-03-21",1.77
"55","2007-03-22",1.8
"56","2007-03-23",1.88
"57","2007-03-26",1.76
"58","2007-03-27",1.76
"59","2007-03-28",1.79
"60","2007-03-29",1.76
"61","2007-03-30",1.85
"62","2007-04-02",1.75
"63","2007-04-03",1.77
"64","2007-04-04",1.75
"65","2007-04-05",1.77
"66","2007-04-09",1.76
"67","2007-04-10",2.03
"68","2007-04-11",2.47
"69","2007-04-12",2.35
"70","2007-04-13",2.2
"71","2007-04-16",2.31
"72","2007-04-17",1.95
"73","2007-04-18",2.02
"74","2007-04-19",2.03
"75","2007-04-20",2.01
"76","2007-04-23",2.12
"77","2007-04-24",2.32
"78","2007-04-25",2.2
"79","2007-04-26",2.21
"80","2007-04-27",2.22
"81","2007-04-30",2.39
"82","2007-05-01",2.36
"83","2007-05-02",2.35
"84","2007-05-03",2.3
"85","2007-05-04",2.34
"86","2007-05-07",2.37
"87","2007-05-08",2.36
"88","2007-05-09",2.34
"89","2007-05-10",2.4
"90","2007-05-11",2.4
"91","2007-05-14",2.31
"92","2007-05-15",2.36
"93","2007-05-16",2.45
"94","2007-05-17",2.57
"95","2007-05-18",2.57
"96","2007-05-21",2.96
"97","2007-05-22",3.44
"98","2007-05-23",3.3
"99","2007-05-24",3.14
"100","2007-05-25",3.48
"101","2007-05-29",3.67
"102","2007-05-30",3.42
"103","2007-05-31",3.53
"104","2007-06-01",3.66
"105","2007-06-04",3.47
"106","2007-06-05",3.36
"107","2007-06-06",3.32
"108","2007-06-07",3.39
"109","2007-06-08",3.53
"110","2007-06-11",3.55
"111","2007-06-12",3.67
"112","2007-06-13",3.68
