"","date","TCCO"
"1","2007-01-03",3
"2","2007-01-04",3
"3","2007-01-05",3.3
"4","2007-01-08",3.2
"5","2007-01-09",3.2
"6","2007-01-10",3.2
"7","2007-01-11",3.2
"8","2007-01-12",3.2
"9","2007-01-16",3.2
"10","2007-01-17",3.2
"11","2007-01-18",3.2
"12","2007-01-19",3.2
"13","2007-01-22",3.2
"14","2007-01-23",3.25
"15","2007-01-24",3.25
"16","2007-01-25",3.29
"17","2007-01-26",3.29
"18","2007-01-29",3.29
"19","2007-01-30",3.25
"20","2007-01-31",3.25
"21","2007-02-01",3.2
"22","2007-02-02",3.2
"23","2007-02-05",3.38
"24","2007-02-06",3.2
"25","2007-02-07",3.05
"26","2007-02-08",3
"27","2007-02-09",3.3
"28","2007-02-12",3.3
"29","2007-02-13",3.3
"30","2007-02-14",3.3
"31","2007-02-15",3.25
"32","2007-02-16",3.02
"33","2007-02-20",3.02
"34","2007-02-21",3.1
"35","2007-02-22",3.2
"36","2007-02-23",3.07
"37","2007-02-26",3.07
"38","2007-02-27",3.02
"39","2007-02-28",3.02
"40","2007-03-01",3.02
"41","2007-03-02",3.02
"42","2007-03-05",3.05
"43","2007-03-06",3.1
"44","2007-03-07",3.2
"45","2007-03-08",3.2
"46","2007-03-09",3.2
"47","2007-03-12",3.18
"48","2007-03-13",3.25
"49","2007-03-14",3.25
"50","2007-03-15",3.25
"51","2007-03-16",3.25
"52","2007-03-19",3.25
"53","2007-03-20",3.25
"54","2007-03-21",3.27
"55","2007-03-22",3.27
"56","2007-03-23",3.2
"57","2007-03-26",3.27
"58","2007-03-27",3.27
"59","2007-03-28",3.27
"60","2007-03-29",3
"61","2007-03-30",3
"62","2007-04-02",2.95
"63","2007-04-03",3.15
"64","2007-04-04",3.2
"65","2007-04-05",3.2
"66","2007-04-09",3.24
"67","2007-04-10",3.24
"68","2007-04-11",3.3
"69","2007-04-12",3.3
"70","2007-04-13",3.3
"71","2007-04-16",3.3
"72","2007-04-17",3.3
"73","2007-04-18",3.3
"74","2007-04-19",3.22
"75","2007-04-20",3.22
"76","2007-04-23",3.2
"77","2007-04-24",3.2
"78","2007-04-25",3.2
"79","2007-04-26",3.2
"80","2007-04-27",4.35
"81","2007-04-30",4.2
"82","2007-05-01",4.2
"83","2007-05-02",4.4
"84","2007-05-03",5.15
"85","2007-05-04",5.45
"86","2007-05-07",5.44
"87","2007-05-08",5.6
"88","2007-05-09",5.6
"89","2007-05-10",5.55
"90","2007-05-11",5.55
"91","2007-05-14",5.4
"92","2007-05-15",5.45
"93","2007-05-16",5.55
"94","2007-05-17",5.45
"95","2007-05-18",5.4
"96","2007-05-21",5.4
"97","2007-05-22",5.35
"98","2007-05-23",5.3
"99","2007-05-24",5.49
"100","2007-05-25",5.38
"101","2007-05-29",5
"102","2007-05-30",5.15
"103","2007-05-31",5.4
"104","2007-06-01",5.4
"105","2007-06-04",5.4
"106","2007-06-05",5.06
"107","2007-06-06",5.1
"108","2007-06-07",5.1
"109","2007-06-08",5.1
"110","2007-06-11",5
"111","2007-06-12",5
"112","2007-06-13",5.05
"113","2007-06-14",5
"114","2007-06-15",4.75
"115","2007-06-18",4.7
"116","2007-06-19",4.7
"117","2007-06-20",5
"118","2007-06-21",5
"119","2007-06-22",5
"120","2007-06-25",5
"121","2007-06-26",5
"122","2007-06-27",4.7
"123","2007-06-28",4.7
"124","2007-06-29",4.9
"125","2007-07-02",5
"126","2007-07-03",5.05
"127","2007-07-05",5.05
"128","2007-07-06",4.95
"129","2007-07-09",4.95
"130","2007-07-10",5.4
"131","2007-07-11",5.43
"132","2007-07-12",5.5
"133","2007-07-13",5.45
"134","2007-07-16",5.4
"135","2007-07-17",5.34
"136","2007-07-18",5.33
"137","2007-07-19",5.32
"138","2007-07-20",5.32
"139","2007-07-23",5.27
"140","2007-07-24",5.25
"141","2007-07-25",5.25
"142","2007-07-26",5.75
"143","2007-07-27",5.8
"144","2007-07-30",5.8
"145","2007-07-31",5.8
"146","2007-08-01",5.55
"147","2007-08-02",5.55
"148","2007-08-03",6.1
"149","2007-08-06",6.1
"150","2007-08-07",6
"151","2007-08-08",4.8
"152","2007-08-09",4.65
"153","2007-08-10",4.6
"154","2007-08-13",4.5
"155","2007-08-14",4.55
"156","2007-08-15",4.55
"157","2007-08-16",4.1
"158","2007-08-17",4.25
"159","2007-08-20",4.1
"160","2007-08-21",4.06
"161","2007-08-22",4.06
"162","2007-08-23",4.1
"163","2007-08-24",4.02
"164","2007-08-27",4.25
"165","2007-08-28",4.2
"166","2007-08-29",4.1
"167","2007-08-30",4.2
"168","2007-08-31",4.3
"169","2007-09-04",4.2
"170","2007-09-05",4.35
"171","2007-09-06",4.4
"172","2007-09-07",4.4
"173","2007-09-10",4.4
"174","2007-09-11",4.26
"175","2007-09-12",4.2
"176","2007-09-13",4.3
"177","2007-09-14",4.3
"178","2007-09-17",4.3
"179","2007-09-18",4.3
"180","2007-09-19",4.3
"181","2007-09-20",4.49
"182","2007-09-21",4.49
"183","2007-09-24",4.55
"184","2007-09-25",4.5
"185","2007-09-26",4.5
"186","2007-09-27",4.5
"187","2007-09-28",4.5
"188","2007-10-01",4.5
"189","2007-10-02",4.5
"190","2007-10-03",4.5
"191","2007-10-04",4.5
"192","2007-10-05",4.89
"193","2007-10-08",4.55
"194","2007-10-09",4.45
"195","2007-10-10",4.5
"196","2007-10-11",4.36
"197","2007-10-12",4.5
"198","2007-10-15",4.5
"199","2007-10-16",4.5
"200","2007-10-17",4.5
"201","2007-10-18",4.5
"202","2007-10-19",4.5
"203","2007-10-22",4.4
"204","2007-10-23",4.4
"205","2007-10-24",4.4
"206","2007-10-25",4.4
"207","2007-10-26",4.4
"208","2007-10-29",4.4
"209","2007-10-30",4.25
"210","2007-10-31",4.3
"211","2007-11-01",4.2
"212","2007-11-02",4.2
"213","2007-11-05",4.5
"214","2007-11-06",4.5
"215","2007-11-07",4.5
"216","2007-11-08",4.5
"217","2007-11-09",4.11
"218","2007-11-12",4.06
"219","2007-11-13",4.09
"220","2007-11-14",4.09
"221","2007-11-15",4.06
"222","2007-11-16",4.07
"223","2007-11-19",4.07
"224","2007-11-20",4.07
"225","2007-11-21",4.06
"226","2007-11-23",4.06
"227","2007-11-26",4.1
"228","2007-11-27",4.05
"229","2007-11-28",4.05
"230","2007-11-29",4.05
"231","2007-11-30",5.05
"232","2007-12-03",5.5
"233","2007-12-04",5.2
"234","2007-12-05",5.22
"235","2007-12-06",5
"236","2007-12-07",5
"237","2007-12-10",5.25
"238","2007-12-11",5.25
"239","2007-12-12",5.25
"240","2007-12-13",5.15
"241","2007-12-14",4.9
"242","2007-12-17",5
"243","2007-12-18",5.05
"244","2007-12-19",5.1
"245","2007-12-20",5.1
"246","2007-12-21",5.1
"247","2007-12-24",5.15
"248","2007-12-26",5.25
"249","2007-12-27",5.4
"250","2007-12-28",5.35
"251","2007-12-31",5.75
"252","2008-01-02",5.7
"253","2008-01-03",5.55
"254","2008-01-04",5.5
"255","2008-01-07",5.55
"256","2008-01-08",5.55
"257","2008-01-09",5.34
"258","2008-01-10",5.36
"259","2008-01-11",5.49
"260","2008-01-14",5.8
"261","2008-01-15",5.65
"262","2008-01-16",5.65
"263","2008-01-17",5.96
"264","2008-01-18",6.52
"265","2008-01-22",6.55
"266","2008-01-23",6.49
"267","2008-01-24",6.4
"268","2008-01-25",6
"269","2008-01-28",6.15
"270","2008-01-29",6.3
"271","2008-01-30",6.25
"272","2008-01-31",6.35
"273","2008-02-01",6.6
"274","2008-02-04",6.5
"275","2008-02-05",6.65
"276","2008-02-06",6.7
"277","2008-02-07",6.55
"278","2008-02-08",6.6
"279","2008-02-11",7.4
"280","2008-02-12",7.36
"281","2008-02-13",6.9
"282","2008-02-14",7
"283","2008-02-15",6.75
"284","2008-02-19",6.85
"285","2008-02-20",6.85
"286","2008-02-21",6.8
"287","2008-02-22",6.6
"288","2008-02-25",6.75
"289","2008-02-26",7
"290","2008-02-27",6.9
"291","2008-02-28",6.8
"292","2008-02-29",6.55
"293","2008-03-03",6.55
"294","2008-03-04",6.5
"295","2008-03-05",6.3
"296","2008-03-06",6.35
"297","2008-03-07",6.15
"298","2008-03-10",5.76
"299","2008-03-11",6
"300","2008-03-12",6.32
"301","2008-03-13",6.45
"302","2008-03-14",6.1
"303","2008-03-17",5.25
"304","2008-03-18",5.25
"305","2008-03-19",4.7
"306","2008-03-20",4.6
"307","2008-03-24",4.78
"308","2008-03-25",4.78
"309","2008-03-26",5.15
"310","2008-03-27",5.17
"311","2008-03-28",5.05
"312","2008-03-31",5.19
"313","2008-04-01",5.25
"314","2008-04-02",5.2
"315","2008-04-03",5.25
"316","2008-04-04",5.6
"317","2008-04-07",5.6
"318","2008-04-08",5.85
"319","2008-04-09",5.9
"320","2008-04-10",5.95
"321","2008-04-11",5.93
"322","2008-04-14",5.6
"323","2008-04-15",6
"324","2008-04-16",6.25
"325","2008-04-17",6.5
"326","2008-04-18",6.45
"327","2008-04-21",7.3
"328","2008-04-22",7.15
"329","2008-04-23",7.2
"330","2008-04-24",6.98
"331","2008-04-25",7.3
"332","2008-04-28",6.69
"333","2008-04-29",6.7
"334","2008-04-30",6.5
"335","2008-05-01",6.6
"336","2008-05-02",6.65
"337","2008-05-05",6.65
"338","2008-05-06",7
"339","2008-05-07",6.8
"340","2008-05-08",6.9
"341","2008-05-09",6.76
"342","2008-05-12",6.9
"343","2008-05-13",6.75
"344","2008-05-14",6.75
"345","2008-05-15",6.3
"346","2008-05-16",6.4
"347","2008-05-19",6.6
"348","2008-05-20",6.75
"349","2008-05-21",7
"350","2008-05-22",7
"351","2008-05-23",6.95
"352","2008-05-27",6.95
"353","2008-05-28",6.95
"354","2008-05-29",6.3
"355","2008-05-30",6.3
"356","2008-06-02",6.3
"357","2008-06-03",6.6
"358","2008-06-04",6.65
"359","2008-06-05",6.65
"360","2008-06-06",6.65
"361","2008-06-09",6.5
"362","2008-06-10",6.4
"363","2008-06-11",6.35
"364","2008-06-12",6.1
"365","2008-06-13",6.35
"366","2008-06-16",6.35
"367","2008-06-17",6.35
"368","2008-06-18",6.35
"369","2008-06-19",6.35
"370","2008-06-20",6.35
"371","2008-06-23",6.4
"372","2008-06-24",6.25
"373","2008-06-25",6.1
"374","2008-06-26",6.1
"375","2008-06-27",6.1
"376","2008-06-30",6.1
"377","2008-07-01",6
"378","2008-07-02",5.8
"379","2008-07-03",5.7
"380","2008-07-07",5.5
"381","2008-07-08",5.5
"382","2008-07-09",5.5
