"","date","CTXR"
"1","2014-10-02",15
"2","2014-10-03",15
"3","2014-10-06",15
"4","2014-10-07",15
"5","2014-10-08",15
"6","2014-10-09",15
"7","2014-10-10",15
"8","2014-10-13",15
"9","2014-10-14",15
"10","2014-10-15",15
"11","2014-10-16",15
"12","2014-10-17",15
"13","2014-10-20",15
"14","2014-10-21",15
"15","2014-10-22",15
"16","2014-10-23",15
"17","2014-10-24",15
"18","2014-10-27",15
"19","2014-10-28",15
"20","2014-10-29",15
"21","2014-10-30",15
"22","2014-10-31",15
"23","2014-11-03",15
"24","2014-11-04",15
"25","2014-11-05",15
"26","2014-11-06",15
"27","2014-11-07",15
"28","2014-11-10",15
"29","2014-11-11",15
"30","2014-11-12",15
"31","2014-11-13",15
"32","2014-11-14",15
"33","2014-11-17",18.75
"34","2014-11-18",18.75
"35","2014-11-19",18.75
"36","2014-11-20",18.75
"37","2014-11-21",18.75
"38","2014-11-24",18.75
"39","2014-11-25",18.75
"40","2014-11-26",18.75
"41","2014-11-28",18.75
"42","2014-12-01",18.75
"43","2014-12-02",18.75
"44","2014-12-03",18.75
"45","2014-12-04",18.75
"46","2014-12-05",18.75
"47","2014-12-08",18.75
"48","2014-12-09",18.75
"49","2014-12-10",18.75
"50","2014-12-11",18.75
"51","2014-12-12",18.75
"52","2014-12-15",18.75
"53","2014-12-16",18.75
"54","2014-12-17",18.450001
"55","2014-12-18",15.75
"56","2014-12-19",15.75
"57","2014-12-22",15.75
"58","2014-12-23",15.75
"59","2014-12-24",15.75
"60","2014-12-26",15.75
"61","2014-12-29",15.6
"62","2014-12-30",15.6
"63","2014-12-31",15.6
"64","2015-01-02",15.6
"65","2015-01-05",16.5
"66","2015-01-06",16.5
"67","2015-01-07",17.1
"68","2015-01-08",17.1
"69","2015-01-09",17.25
"70","2015-01-12",17.25
"71","2015-01-13",17.25
"72","2015-01-14",17.25
"73","2015-01-15",17.25
"74","2015-01-16",17.25
"75","2015-01-20",17.25
"76","2015-01-21",16.5
"77","2015-01-22",15
"78","2015-01-23",15.9
"79","2015-01-26",15.9
"80","2015-01-27",15
"81","2015-01-28",15
"82","2015-01-29",16.65
"83","2015-01-30",16.65
"84","2015-02-02",18.75
"85","2015-02-03",18.75
"86","2015-02-04",18.75
"87","2015-02-05",18.75
"88","2015-02-06",15.9
"89","2015-02-09",18.15
"90","2015-02-10",18.15
"91","2015-02-11",17.25
"92","2015-02-12",16.799999
"93","2015-02-13",16.799999
"94","2015-02-17",16.799999
"95","2015-02-18",16.799999
"96","2015-02-19",22.695
"97","2015-02-20",22.695
"98","2015-02-23",22.695
"99","2015-02-24",22.695
"100","2015-02-25",22.695
"101","2015-02-26",21.75
"102","2015-02-27",21.75
"103","2015-03-02",21
"104","2015-03-03",21
"105","2015-03-04",21
"106","2015-03-05",21
"107","2015-03-06",21
"108","2015-03-09",21
"109","2015-03-10",21
"110","2015-03-11",21
"111","2015-03-12",21
"112","2015-03-13",21
"113","2015-03-16",24.75
"114","2015-03-17",24.75
"115","2015-03-18",24.75
"116","2015-03-19",24.75
"117","2015-03-20",24.75
"118","2015-03-23",30
"119","2015-03-24",30
