"","date","CHPM"
"1","2020-01-10",9.9
"2","2020-01-13",9.87
"3","2020-01-14",9.87
"4","2020-01-15",9.87
"5","2020-01-16",9.9
"6","2020-01-17",9.92
"7","2020-01-21",9.99
"8","2020-01-22",9.92
"9","2020-01-23",9.92
"10","2020-01-24",9.92
"11","2020-01-27",9.92
"12","2020-01-28",9.92
"13","2020-01-29",9.92
"14","2020-01-30",9.92
"15","2020-01-31",9.92
"16","2020-02-03",9.92
"17","2020-02-04",9.9
"18","2020-02-05",9.94
"19","2020-02-06",9.94
"20","2020-02-07",9.95
"21","2020-02-10",9.95
"22","2020-02-11",9.96
"23","2020-02-12",9.99
"24","2020-02-13",9.99
"25","2020-02-14",9.99
"26","2020-02-18",10.02
"27","2020-02-19",10.02
"28","2020-02-20",10.02
"29","2020-02-21",10
"30","2020-02-24",10
"31","2020-02-25",10
"32","2020-02-26",9.98
"33","2020-02-27",9.98
"34","2020-02-28",9.98
"35","2020-03-02",9.92
"36","2020-03-03",9.92
"37","2020-03-04",9.95
"38","2020-03-05",9.92
"39","2020-03-06",9.81
"40","2020-03-09",9.78
"41","2020-03-10",9.9
"42","2020-03-11",9.86
"43","2020-03-12",9.795
"44","2020-03-13",9.685
"45","2020-03-16",9.5
"46","2020-03-17",9.5
"47","2020-03-18",9.45
"48","2020-03-19",9.5
"49","2020-03-20",9.4
"50","2020-03-23",9.53
"51","2020-03-24",9.72
"52","2020-03-25",9.5
"53","2020-03-26",9.77
"54","2020-03-27",9.77
"55","2020-03-30",9.7
"56","2020-03-31",9.7
"57","2020-04-01",9.83
"58","2020-04-02",9.83
"59","2020-04-03",9.83
"60","2020-04-06",9.83
"61","2020-04-07",9.83
"62","2020-04-08",9.83
"63","2020-04-09",9.83
"64","2020-04-13",9.83
"65","2020-04-14",9.83
"66","2020-04-15",9.83
"67","2020-04-16",9.7
"68","2020-04-17",9.7
"69","2020-04-20",9.7
"70","2020-04-21",9.83
"71","2020-04-22",9.78
"72","2020-04-23",9.78
"73","2020-04-24",9.8
"74","2020-04-27",9.81
"75","2020-04-28",9.78
"76","2020-04-29",9.77
"77","2020-04-30",9.77
"78","2020-05-01",9.77
"79","2020-05-04",9.77
"80","2020-05-05",9.77
"81","2020-05-06",9.77
"82","2020-05-07",9.77
"83","2020-05-08",9.77
"84","2020-05-11",9.77
"85","2020-05-12",9.77
"86","2020-05-13",9.77
"87","2020-05-14",9.72
"88","2020-05-15",9.72
"89","2020-05-18",9.72
"90","2020-05-19",9.72
"91","2020-05-20",9.72
"92","2020-05-21",9.72
"93","2020-05-22",9.72
"94","2020-05-26",9.72
"95","2020-05-27",9.8
"96","2020-05-28",9.79
"97","2020-05-29",9.78
"98","2020-06-01",9.81
"99","2020-06-02",9.81
"100","2020-06-03",9.81
"101","2020-06-04",9.76
"102","2020-06-05",9.75
"103","2020-06-08",9.8
"104","2020-06-09",9.8
"105","2020-06-10",9.8
"106","2020-06-11",9.76
"107","2020-06-12",9.78
"108","2020-06-15",9.78
"109","2020-06-16",9.77
"110","2020-06-17",9.9
"111","2020-06-18",9.81
"112","2020-06-19",9.9
"113","2020-06-22",9.87
"114","2020-06-23",9.9
"115","2020-06-24",9.9
"116","2020-06-25",9.9
"117","2020-06-26",9.9
"118","2020-06-29",10
"119","2020-06-30",9.96
"120","2020-07-01",9.95
"121","2020-07-02",9.95
"122","2020-07-06",9.94
"123","2020-07-07",9.95
"124","2020-07-08",9.93
"125","2020-07-09",10
"126","2020-07-10",10.2
"127","2020-07-13",10.11
"128","2020-07-14",10.18
"129","2020-07-15",10.39
"130","2020-07-16",10.4
"131","2020-07-17",10.51
"132","2020-07-20",10.545
"133","2020-07-21",10.5
"134","2020-07-22",10.425
"135","2020-07-23",10.425
"136","2020-07-24",10.4
"137","2020-07-27",10.39
"138","2020-07-28",10.3
"139","2020-07-29",10.31
"140","2020-07-30",10.25
"141","2020-07-31",10.3
"142","2020-08-03",10.15
"143","2020-08-04",10.15
"144","2020-08-05",10.175
"145","2020-08-06",10.15
"146","2020-08-07",10.15
"147","2020-08-10",10.19
"148","2020-08-11",10.19
"149","2020-08-12",10.15
"150","2020-08-13",10.13
"151","2020-08-14",10.15
"152","2020-08-17",10.165
"153","2020-08-18",10.12
"154","2020-08-19",10.12
"155","2020-08-20",10.1
"156","2020-08-21",10.04
"157","2020-08-24",10.04
"158","2020-08-25",10.06
"159","2020-08-26",10.06
"160","2020-08-27",10.02
"161","2020-08-28",10.06
"162","2020-08-31",10.225
"163","2020-09-01",10.225
"164","2020-09-02",10.225
"165","2020-09-03",10.17
"166","2020-09-04",10.17
"167","2020-09-08",10.06
"168","2020-09-09",10.153
"169","2020-09-10",10.09
"170","2020-09-11",10.14
"171","2020-09-14",10.07
"172","2020-09-15",10.1
"173","2020-09-16",10.15
"174","2020-09-17",10.09
"175","2020-09-18",10.26
"176","2020-09-21",10.15
"177","2020-09-22",10.08
"178","2020-09-23",10.07
"179","2020-09-24",10.05
"180","2020-09-25",10.09
"181","2020-09-28",10.09
"182","2020-09-29",10.1
"183","2020-09-30",10.19
"184","2020-10-01",10.15
"185","2020-10-02",10.06
"186","2020-10-05",10.05
"187","2020-10-06",10.05
"188","2020-10-07",10.02
"189","2020-10-08",10.09
"190","2020-10-09",10.02
"191","2020-10-12",10
"192","2020-10-13",10.165
"193","2020-10-14",10.165
"194","2020-10-15",10
"195","2020-10-16",10.05
"196","2020-10-19",10.05
"197","2020-10-20",10.17
"198","2020-10-21",10.04
"199","2020-10-22",10.02
"200","2020-10-23",10
"201","2020-10-26",9.97
"202","2020-10-27",9.97
"203","2020-10-28",10.03
"204","2020-10-29",10.03
"205","2020-10-30",10.2
"206","2020-11-02",10
"207","2020-11-03",10.18
"208","2020-11-04",10
"209","2020-11-05",9.96
"210","2020-11-06",9.96
"211","2020-11-09",9.86
"212","2020-11-10",9.95
"213","2020-11-11",9.96
"214","2020-11-12",9.96
"215","2020-11-13",10.04
"216","2020-11-16",9.96
"217","2020-11-17",9.96
"218","2020-11-18",9.96
"219","2020-11-19",10
"220","2020-11-20",10
"221","2020-11-23",10.125
"222","2020-11-24",10.14
"223","2020-11-25",10.095
"224","2020-11-27",10.24
