"","date","ONE"
"1","2018-03-28",10.8
"2","2018-03-29",10.75
"3","2018-04-02",10.76
"4","2018-04-03",10.91
"5","2018-04-04",10.35
"6","2018-04-05",10.3
"7","2018-04-06",10.66
"8","2018-04-09",10.92
"9","2018-04-10",10.93
"10","2018-04-11",10.92
"11","2018-04-12",10.83
"12","2018-04-13",10.75
"13","2018-04-16",10.79
"14","2018-04-17",10.71
"15","2018-04-18",10.7
"16","2018-04-19",10.75
"17","2018-04-20",10.73
"18","2018-04-23",10.7
"19","2018-04-24",10.64
"20","2018-04-25",10.62
"21","2018-04-26",10.64
"22","2018-04-27",11.01
"23","2018-04-30",9.81
"24","2018-05-01",10.91
"25","2018-05-02",10.95
"26","2018-05-03",10.8
"27","2018-05-04",10.82
"28","2018-05-07",10.95
"29","2018-05-08",10.92
"30","2018-05-09",10.95
"31","2018-05-10",10.85
"32","2018-05-11",10.63
"33","2018-05-14",10.39
"34","2018-05-15",10.54
"35","2018-05-16",10.71
"36","2018-05-17",10.48
"37","2018-05-18",10.75
"38","2018-05-21",11.05
"39","2018-05-22",12.05
"40","2018-05-23",13.47
"41","2018-05-24",13.47
"42","2018-05-25",13.38
"43","2018-05-29",13.66
"44","2018-05-30",15.22
"45","2018-05-31",14.81
"46","2018-06-01",15.78
"47","2018-06-04",15.07
"48","2018-06-05",14.09
"49","2018-06-06",14.19
"50","2018-06-07",13.77
"51","2018-06-08",14.28
"52","2018-06-11",13.94
"53","2018-06-12",14.39
"54","2018-06-13",14.15
"55","2018-06-14",13.72
"56","2018-06-15",13.53
"57","2018-06-18",13.03
"58","2018-06-19",12.55
"59","2018-06-20",12.86
"60","2018-06-21",12.6
"61","2018-06-22",12.32
"62","2018-06-25",11.69
"63","2018-06-26",11.59
"64","2018-06-27",10.98
"65","2018-06-28",11.15
"66","2018-06-29",11.1
"67","2018-07-02",12.18
"68","2018-07-03",12.05
"69","2018-07-05",11.96
"70","2018-07-06",11.83
"71","2018-07-09",11.87
"72","2018-07-10",11.55
"73","2018-07-11",11.43
"74","2018-07-12",11.97
"75","2018-07-13",11.84
"76","2018-07-16",11.73
"77","2018-07-17",11.5
"78","2018-07-18",11.47
"79","2018-07-19",11.24
"80","2018-07-20",11.24
"81","2018-07-23",11.29
"82","2018-07-24",11.1
"83","2018-07-25",10.9
"84","2018-07-26",10.59
"85","2018-07-27",10.7
"86","2018-07-30",10.09
"87","2018-07-31",9.9
"88","2018-08-01",10.12
"89","2018-08-02",10.42
"90","2018-08-03",10.34
"91","2018-08-06",10.59
"92","2018-08-07",10.56
"93","2018-08-08",10.72
"94","2018-08-09",10.62
"95","2018-08-10",10.37
"96","2018-08-13",10.54
"97","2018-08-14",9.75
"98","2018-08-15",9.08
"99","2018-08-16",8.95
"100","2018-08-17",8.96
"101","2018-08-20",9.52
"102","2018-08-21",8.9
"103","2018-08-22",8.86
"104","2018-08-23",8.93
"105","2018-08-24",8.75
"106","2018-08-27",8.99
"107","2018-08-28",8.34
"108","2018-08-29",8.48
"109","2018-08-30",8.26
"110","2018-08-31",8.32
"111","2018-09-04",8.16
"112","2018-09-05",8.08
"113","2018-09-06",8
"114","2018-09-07",8.08
"115","2018-09-10",7.92
"116","2018-09-11",7.91
"117","2018-09-12",8.45
"118","2018-09-13",9.49
"119","2018-09-14",8.71
"120","2018-09-17",8.65
"121","2018-09-18",8.58
"122","2018-09-19",8.57
"123","2018-09-20",9.01
"124","2018-09-21",8.97
"125","2018-09-24",8.96
"126","2018-09-25",8.9
"127","2018-09-26",8.94
"128","2018-09-27",8.91
"129","2018-09-28",8.92
"130","2018-10-01",8.8
"131","2018-10-02",8.88
"132","2018-10-03",8.48
"133","2018-10-04",8.49
"134","2018-10-05",8.58
"135","2018-10-08",9.78
"136","2018-10-09",8.7
"137","2018-10-10",8.46
"138","2018-10-11",8.31
"139","2018-10-12",8.48
"140","2018-10-15",8.62
"141","2018-10-16",8.86
"142","2018-10-17",8.95
"143","2018-10-18",8.13
"144","2018-10-19",7.8
"145","2018-10-22",7.94
"146","2018-10-23",7.84
"147","2018-10-24",7.62
"148","2018-10-25",7.98
"149","2018-10-26",8.2
"150","2018-10-29",7.94
"151","2018-10-30",7.8
"152","2018-10-31",8.15
"153","2018-11-01",8.06
"154","2018-11-02",8.18
"155","2018-11-05",8.17
"156","2018-11-06",8
"157","2018-11-07",8.41
"158","2018-11-08",8.2
"159","2018-11-09",7.87
"160","2018-11-12",8
"161","2018-11-13",8.04
"162","2018-11-14",7.79
"163","2018-11-15",7.74
"164","2018-11-16",7.65
"165","2018-11-19",7.59
"166","2018-11-20",7.44
"167","2018-11-21",7.42
"168","2018-11-23",7.49
"169","2018-11-26",7.4
"170","2018-11-27",7.15
"171","2018-11-28",7.09
"172","2018-11-29",7.26
"173","2018-11-30",7.24
"174","2018-12-03",7.75
"175","2018-12-04",7.81
"176","2018-12-06",7.52
"177","2018-12-07",7
"178","2018-12-10",7.11
"179","2018-12-11",6.99
"180","2018-12-12",7.35
"181","2018-12-13",7.46
"182","2018-12-14",7.37
"183","2018-12-17",7.47
"184","2018-12-18",7.24
"185","2018-12-19",7.4
"186","2018-12-20",7.44
"187","2018-12-21",7.27
"188","2018-12-24",7.03
"189","2018-12-26",7.5
"190","2018-12-27",7.62
"191","2018-12-28",7.71
"192","2018-12-31",7.8
"193","2019-01-02",8.17
"194","2019-01-03",8.33
"195","2019-01-04",7.97
"196","2019-01-07",8.65
"197","2019-01-08",8.35
"198","2019-01-09",8.54
"199","2019-01-10",8.09
"200","2019-01-11",8.21
"201","2019-01-14",8.31
"202","2019-01-15",8.6
"203","2019-01-16",8.92
"204","2019-01-17",8.59
"205","2019-01-18",8.85
"206","2019-01-22",9.03
"207","2019-01-23",9.12
"208","2019-01-24",8.75
"209","2019-01-25",9.05
"210","2019-01-28",9
"211","2019-01-29",8.82
"212","2019-01-30",8.49
"213","2019-01-31",8.33
"214","2019-02-01",7.73
"215","2019-02-04",7.74
"216","2019-02-05",7.91
"217","2019-02-06",7.68
"218","2019-02-07",7.85
"219","2019-02-08",7.94
"220","2019-02-11",8.06
"221","2019-02-12",8.09
"222","2019-02-13",8.38
"223","2019-02-14",8.26
"224","2019-02-15",8.51
"225","2019-02-19",8.28
"226","2019-02-20",8.29
"227","2019-02-21",8.53
"228","2019-02-22",8.6
"229","2019-02-25",8.63
"230","2019-02-26",8.71
"231","2019-02-27",8.97
"232","2019-02-28",8.96
"233","2019-03-01",9.01
"234","2019-03-04",8.98
"235","2019-03-05",8.99
"236","2019-03-06",8.92
"237","2019-03-07",8.82
"238","2019-03-08",8.81
"239","2019-03-11",8.97
"240","2019-03-12",8.65
"241","2019-03-13",8.72
"242","2019-03-14",8.42
"243","2019-03-15",8.75
"244","2019-03-18",8.76
"245","2019-03-19",8.74
"246","2019-03-20",8.53
"247","2019-03-21",8.31
"248","2019-03-22",7.86
"249","2019-03-25",7.75
"250","2019-03-26",7.8
"251","2019-03-27",7.89
"252","2019-03-28",7.84
"253","2019-03-29",7.89
"254","2019-04-01",8.1
"255","2019-04-02",8.2
"256","2019-04-03",8.23
"257","2019-04-04",8.23
"258","2019-04-05",8.34
"259","2019-04-08",8.3
"260","2019-04-09",8.25
"261","2019-04-10",8.5
"262","2019-04-11",8.33
"263","2019-04-12",8.36
"264","2019-04-15",8.12
"265","2019-04-16",7.99
"266","2019-04-17",8.34
"267","2019-04-18",8.37
"268","2019-04-22",8.29
"269","2019-04-23",8.38
"270","2019-04-24",8.5
"271","2019-04-25",8.28
"272","2019-04-26",8.56
"273","2019-04-29",8.75
"274","2019-04-30",8.65
"275","2019-05-01",8.63
"276","2019-05-02",8.78
"277","2019-05-03",8.9
"278","2019-05-06",8.12
"279","2019-05-07",8.21
