"","date","ULTA"
"1","2007-10-25",29.82
"2","2007-10-26",32
"3","2007-10-29",34.700001
"4","2007-10-30",35.43
"5","2007-10-31",34.200001
"6","2007-11-01",32.73
"7","2007-11-02",32.419998
"8","2007-11-05",31.5
"9","2007-11-06",31.43
"10","2007-11-07",29.35
"11","2007-11-08",30
"12","2007-11-09",29.9
"13","2007-11-12",29.040001
"14","2007-11-13",29.129999
"15","2007-11-14",29.950001
"16","2007-11-15",30.200001
"17","2007-11-16",30.690001
"18","2007-11-19",29.190001
"19","2007-11-20",27
"20","2007-11-21",24.35
"21","2007-11-23",24.17
"22","2007-11-26",24.200001
"23","2007-11-27",23.870001
"24","2007-11-28",24.85
"25","2007-11-29",24.790001
"26","2007-11-30",25.74
"27","2007-12-03",26.299999
"28","2007-12-04",25.85
"29","2007-12-05",26.540001
"30","2007-12-06",27.49
"31","2007-12-07",27.98
"32","2007-12-10",27.5
"33","2007-12-11",20.91
"34","2007-12-12",19.549999
"35","2007-12-13",18.559999
"36","2007-12-14",18.549999
"37","2007-12-17",17.860001
"38","2007-12-18",17.700001
"39","2007-12-19",17.75
"40","2007-12-20",16.75
"41","2007-12-21",16.58
"42","2007-12-24",16.799999
"43","2007-12-26",17.35
"44","2007-12-27",17.27
"45","2007-12-28",17.1
"46","2007-12-31",17.15
"47","2008-01-02",16.549999
"48","2008-01-03",15.5
"49","2008-01-04",14.49
"50","2008-01-07",12.52
"51","2008-01-08",13.55
"52","2008-01-09",14.5
"53","2008-01-10",16.07
"54","2008-01-11",15.8
"55","2008-01-14",16.049999
"56","2008-01-15",15.61
"57","2008-01-16",15.91
"58","2008-01-17",14.76
"59","2008-01-18",12.5
"60","2008-01-22",12.58
"61","2008-01-23",14.25
"62","2008-01-24",14.3
"63","2008-01-25",15.19
"64","2008-01-28",15.5
"65","2008-01-29",16.35
"66","2008-01-30",15.55
"67","2008-01-31",15.24
"68","2008-02-01",14.75
"69","2008-02-04",14.03
"70","2008-02-05",14
"71","2008-02-06",14.2
"72","2008-02-07",15.92
"73","2008-02-08",15.55
"74","2008-02-11",15.09
"75","2008-02-12",14.91
"76","2008-02-13",14.93
"77","2008-02-14",14.79
"78","2008-02-15",14.79
"79","2008-02-19",14.78
"80","2008-02-20",14.92
"81","2008-02-21",14.78
"82","2008-02-22",14
"83","2008-02-25",14.15
"84","2008-02-26",15.17
"85","2008-02-27",14.82
"86","2008-02-28",14.62
"87","2008-02-29",14.01
"88","2008-03-03",14.75
"89","2008-03-04",14.32
"90","2008-03-05",14.44
"91","2008-03-06",14.3
"92","2008-03-07",13.48
"93","2008-03-10",12.69
"94","2008-03-11",12.82
"95","2008-03-12",12.22
"96","2008-03-13",10.49
"97","2008-03-14",10.7
"98","2008-03-17",11.28
"99","2008-03-18",11.8
"100","2008-03-19",11.5
"101","2008-03-20",12.78
"102","2008-03-24",13.99
"103","2008-03-25",15.02
"104","2008-03-26",14.65
"105","2008-03-27",14.47
"106","2008-03-28",14.02
"107","2008-03-31",14.04
"108","2008-04-01",14.32
"109","2008-04-02",13.98
"110","2008-04-03",14.07
"111","2008-04-04",13.82
"112","2008-04-07",13.52
"113","2008-04-08",14.18
"114","2008-04-09",13.73
"115","2008-04-10",14.91
"116","2008-04-11",14.3
"117","2008-04-14",14.41
"118","2008-04-15",14.22
"119","2008-04-16",14.12
"120","2008-04-17",14
"121","2008-04-18",14.1
"122","2008-04-21",14.04
"123","2008-04-22",13.27
"124","2008-04-23",13.29
"125","2008-04-24",13.4
"126","2008-04-25",13.88
"127","2008-04-28",13.81
"128","2008-04-29",14.17
"129","2008-04-30",14.15
"130","2008-05-01",14.96
"131","2008-05-02",14.85
"132","2008-05-05",14.55
"133","2008-05-06",14.37
"134","2008-05-07",14.5
"135","2008-05-08",14.35
"136","2008-05-09",14.21
"137","2008-05-12",14.27
"138","2008-05-13",14.6
"139","2008-05-14",14.69
"140","2008-05-15",14.92
"141","2008-05-16",14.62
