"","date","MITO"
"1","2019-02-15",11.9
"2","2019-02-19",11.86
"3","2019-02-20",11.9
"4","2019-02-21",11.9
"5","2019-02-22",11.92
"6","2019-02-25",11.97
"7","2019-02-26",11.881
"8","2019-02-27",11.8
"9","2019-02-28",12
"10","2019-03-01",12.23
"11","2019-03-04",12.74
"12","2019-03-05",14.438
"13","2019-03-06",15.54
"14","2019-03-07",18.007999
"15","2019-03-08",16.809999
"16","2019-03-11",15.02
"17","2019-03-12",14.15
"18","2019-03-13",14.93
"19","2019-03-14",14.72
"20","2019-03-15",14.7
"21","2019-03-18",13.97
"22","2019-03-19",13.65
"23","2019-03-20",13.35
"24","2019-03-21",12.732
"25","2019-03-22",12
"26","2019-03-25",11.75
"27","2019-03-26",14.5
"28","2019-03-27",14.6
"29","2019-03-28",13.58
"30","2019-03-29",12.8
"31","2019-04-01",13.4
"32","2019-04-02",15
"33","2019-04-03",14.21
"34","2019-04-04",14.46
"35","2019-04-05",14.24
"36","2019-04-08",14.32
"37","2019-04-09",14.75
"38","2019-04-10",14.2
"39","2019-04-11",13.8
"40","2019-04-12",13.3
"41","2019-04-15",13.06
"42","2019-04-16",13.252
"43","2019-04-17",13.1
"44","2019-04-18",12.7
"45","2019-04-22",13.9
"46","2019-04-23",13.35
"47","2019-04-24",14
"48","2019-04-25",14.637
"49","2019-04-26",14.35
"50","2019-04-29",13.598
"51","2019-04-30",14.63
"52","2019-05-01",14.484
"53","2019-05-02",14.88
"54","2019-05-03",14.62
"55","2019-05-06",14.99
"56","2019-05-07",15.45
"57","2019-05-08",15
"58","2019-05-09",14.513
"59","2019-05-10",13.92
"60","2019-05-13",14.45
"61","2019-05-14",14.04
"62","2019-05-15",14
"63","2019-05-16",13.45
"64","2019-05-17",13.7
"65","2019-05-20",13.25
"66","2019-05-21",12.982
"67","2019-05-22",12.75
"68","2019-05-23",12.28
"69","2019-05-24",12.16
"70","2019-05-28",12.13
"71","2019-05-29",12.5
"72","2019-05-30",12.75
"73","2019-05-31",12
"74","2019-06-03",12
"75","2019-06-04",12.73
"76","2019-06-05",13
"77","2019-06-06",11.91
"78","2019-06-07",11.81
"79","2019-06-10",11.67
"80","2019-06-11",12.2
"81","2019-06-12",12.18
"82","2019-06-13",13.4
"83","2019-06-14",13.39
"84","2019-06-17",12.26
"85","2019-06-18",12.8
"86","2019-06-19",12.75
"87","2019-06-20",13.3
"88","2019-06-21",13.01
"89","2019-06-24",12.26
"90","2019-06-25",12.691
"91","2019-06-26",12.21
