"","date","GHSI"
"1","2019-04-05",3.68
"2","2019-04-08",3.55
"3","2019-04-09",3.3
"4","2019-04-10",3.54
"5","2019-04-11",3.54
"6","2019-04-12",3.48
"7","2019-04-15",3.44
"8","2019-04-16",2.909
"9","2019-04-17",2.56
"10","2019-04-18",2.59
"11","2019-04-22",2.25
"12","2019-04-23",2.45
"13","2019-04-24",2.25
"14","2019-04-25",2.06
"15","2019-04-26",2.25
"16","2019-04-29",2.11
"17","2019-04-30",2.2
"18","2019-05-01",2.34
"19","2019-05-02",2.121
"20","2019-05-03",1.61
"21","2019-05-06",1.92
"22","2019-05-07",1.86
"23","2019-05-08",1.76
"24","2019-05-09",1.73
"25","2019-05-10",1.58
"26","2019-05-13",1.45
"27","2019-05-14",1.494
"28","2019-05-15",1.47
"29","2019-05-16",1.48
"30","2019-05-17",1.42
"31","2019-05-20",1.48
"32","2019-05-21",1.58
"33","2019-05-22",1.829
"34","2019-05-23",1.87
"35","2019-05-24",1.61
"36","2019-05-28",1.6
"37","2019-05-29",1.655
"38","2019-05-30",1.7
"39","2019-05-31",1.53
"40","2019-06-03",1.57
"41","2019-06-04",1.96
"42","2019-06-05",1.76
"43","2019-06-06",1.71
"44","2019-06-07",1.73
"45","2019-06-10",1.7
"46","2019-06-11",1.6
"47","2019-06-12",1.63
"48","2019-06-13",1.61
"49","2019-06-14",1.595
"50","2019-06-17",1.44
"51","2019-06-18",1.352
"52","2019-06-19",1.41
"53","2019-06-20",1.512
"54","2019-06-21",1.35
"55","2019-06-24",1.4
"56","2019-06-25",1.32
"57","2019-06-26",1.37
"58","2019-06-27",1.35
"59","2019-06-28",1.26
"60","2019-07-01",1.26
"61","2019-07-02",1.28
"62","2019-07-03",1.24
"63","2019-07-05",1.23
"64","2019-07-08",1.17
"65","2019-07-09",1.13
"66","2019-07-10",1.1
"67","2019-07-11",1.07
"68","2019-07-12",0.99
"69","2019-07-15",0.941
"70","2019-07-16",0.96
"71","2019-07-17",1.86
"72","2019-07-18",1.62
"73","2019-07-19",1.61
"74","2019-07-22",1.66
"75","2019-07-23",1.34
"76","2019-07-24",1.44
"77","2019-07-25",1.29
"78","2019-07-26",1.25
"79","2019-07-29",1.22
"80","2019-07-30",1.165
"81","2019-07-31",1.22
"82","2019-08-01",1.234
"83","2019-08-02",1.15
"84","2019-08-05",1.05
"85","2019-08-06",1.06
"86","2019-08-07",0.77
"87","2019-08-08",0.56
"88","2019-08-09",0.65
"89","2019-08-12",0.595
"90","2019-08-13",0.24
"91","2019-08-14",0.27
"92","2019-08-15",0.283
"93","2019-08-16",0.277
"94","2019-08-19",0.289
"95","2019-08-20",0.27
"96","2019-08-21",0.266
"97","2019-08-22",0.257
"98","2019-08-23",0.251
"99","2019-08-26",0.269
"100","2019-08-27",0.265
"101","2019-08-28",0.253
"102","2019-08-29",0.253
"103","2019-08-30",0.254
"104","2019-09-03",0.258
"105","2019-09-04",0.257
"106","2019-09-05",0.26
"107","2019-09-06",0.253
"108","2019-09-09",0.248
"109","2019-09-10",0.251
"110","2019-09-11",0.269
"111","2019-09-12",0.274
"112","2019-09-13",0.318
"113","2019-09-16",0.378
"114","2019-09-17",0.47
"115","2019-09-18",0.64
"116","2019-09-19",0.522
"117","2019-09-20",0.541
"118","2019-09-23",0.65
"119","2019-09-24",0.793
"120","2019-09-25",0.793
"121","2019-09-26",0.737
"122","2019-09-27",0.795
"123","2019-09-30",0.762
"124","2019-10-01",0.64
"125","2019-10-02",0.55
"126","2019-10-03",0.66
"127","2019-10-04",0.643
"128","2019-10-07",0.605
"129","2019-10-08",0.59
"130","2019-10-09",0.553
"131","2019-10-10",0.581
"132","2019-10-11",0.58
"133","2019-10-14",0.532
"134","2019-10-15",0.527
"135","2019-10-16",0.51
"136","2019-10-17",0.49
"137","2019-10-18",0.51
"138","2019-10-21",0.509
"139","2019-10-22",0.498
"140","2019-10-23",0.517
"141","2019-10-24",0.47
"142","2019-10-25",0.434
"143","2019-10-28",0.283
"144","2019-10-29",0.279
"145","2019-10-30",0.268
"146","2019-10-31",0.271
"147","2019-11-01",0.27
"148","2019-11-04",0.267
"149","2019-11-05",0.255
"150","2019-11-06",0.28
"151","2019-11-07",0.263
"152","2019-11-08",0.264
"153","2019-11-11",0.254
"154","2019-11-12",0.244
"155","2019-11-13",0.243
"156","2019-11-14",0.222
"157","2019-11-15",0.217
"158","2019-11-18",0.2
"159","2019-11-19",0.184
"160","2019-11-20",0.172
"161","2019-11-21",0.204
"162","2019-11-22",0.216
"163","2019-11-25",0.224
"164","2019-11-26",0.204
"165","2019-11-27",0.2
"166","2019-11-29",0.212
"167","2019-12-02",0.211
"168","2019-12-03",0.2
"169","2019-12-04",0.211
"170","2019-12-05",0.196
"171","2019-12-06",0.2
"172","2019-12-09",0.198
"173","2019-12-10",0.193
"174","2019-12-11",0.18
"175","2019-12-12",0.183
"176","2019-12-13",0.201
"177","2019-12-16",0.225
"178","2019-12-17",0.212
"179","2019-12-18",0.196
"180","2019-12-19",0.2
"181","2019-12-20",0.199
"182","2019-12-23",0.194
"183","2019-12-24",0.197
"184","2019-12-26",0.203
"185","2019-12-27",0.21
"186","2019-12-30",0.247
"187","2019-12-31",0.22
"188","2020-01-02",0.25
"189","2020-01-03",0.357
"190","2020-01-06",0.389
"191","2020-01-07",0.357
"192","2020-01-08",0.34
"193","2020-01-09",0.36
"194","2020-01-10",0.356
"195","2020-01-13",0.337
"196","2020-01-14",0.34
"197","2020-01-15",0.345
"198","2020-01-16",0.329
"199","2020-01-17",0.313
"200","2020-01-21",0.35
"201","2020-01-22",0.322
"202","2020-01-23",0.323
"203","2020-01-24",0.319
"204","2020-01-27",0.318
"205","2020-01-28",0.318
"206","2020-01-29",0.302
"207","2020-01-30",0.308
"208","2020-01-31",0.301
"209","2020-02-03",0.295
"210","2020-02-04",0.271
"211","2020-02-05",0.267
"212","2020-02-06",0.304
"213","2020-02-07",0.281
"214","2020-02-10",0.275
"215","2020-02-11",0.276
"216","2020-02-12",0.294
"217","2020-02-13",0.293
"218","2020-02-14",0.282
"219","2020-02-18",0.275
"220","2020-02-19",0.285
"221","2020-02-20",0.305
"222","2020-02-21",0.305
"223","2020-02-24",0.299
"224","2020-02-25",0.295
"225","2020-02-26",0.305
"226","2020-02-27",0.47
"227","2020-02-28",0.424
"228","2020-03-02",0.493
"229","2020-03-03",0.41
"230","2020-03-04",0.44
"231","2020-03-05",0.445
"232","2020-03-06",0.451
"233","2020-03-09",0.371
"234","2020-03-10",0.397
"235","2020-03-11",0.39
"236","2020-03-12",0.326
"237","2020-03-13",0.339
"238","2020-03-16",0.28
"239","2020-03-17",0.3
"240","2020-03-18",0.405
"241","2020-03-19",0.412
"242","2020-03-20",0.475
"243","2020-03-23",0.445
"244","2020-03-24",0.53
"245","2020-03-25",0.45
"246","2020-03-26",0.44
"247","2020-03-27",0.45
"248","2020-03-30",0.418
"249","2020-03-31",0.455
"250","2020-04-01",0.425
"251","2020-04-02",0.408
"252","2020-04-03",0.43
"253","2020-04-06",0.422
"254","2020-04-07",0.443
"255","2020-04-08",0.484
"256","2020-04-09",0.469
"257","2020-04-13",0.47
"258","2020-04-14",0.475
"259","2020-04-15",0.422
"260","2020-04-16",0.407
"261","2020-04-17",0.416
"262","2020-04-20",0.453
"263","2020-04-21",0.473
"264","2020-04-22",0.423
"265","2020-04-23",0.405
"266","2020-04-24",0.395
"267","2020-04-27",0.426
"268","2020-04-28",0.442
"269","2020-04-29",0.435
"270","2020-04-30",0.462
"271","2020-05-01",0.475
"272","2020-05-04",0.499
"273","2020-05-05",0.495
"274","2020-05-06",0.451
"275","2020-05-07",0.47
"276","2020-05-08",0.506
"277","2020-05-11",0.5
"278","2020-05-12",0.483
"279","2020-05-13",0.483
"280","2020-05-14",0.45
"281","2020-05-15",0.448
"282","2020-05-18",0.484
"283","2020-05-19",0.47
"284","2020-05-20",0.489
"285","2020-05-21",0.52
"286","2020-05-22",0.545
"287","2020-05-26",0.53
"288","2020-05-27",0.502
"289","2020-05-28",0.524
"290","2020-05-29",0.529
"291","2020-06-01",0.52
"292","2020-06-02",0.518
"293","2020-06-03",0.51
"294","2020-06-04",0.5
"295","2020-06-05",0.495
"296","2020-06-08",0.468
"297","2020-06-09",0.485
"298","2020-06-10",0.475
"299","2020-06-11",0.429
"300","2020-06-12",0.438
"301","2020-06-15",0.494
"302","2020-06-16",0.459
"303","2020-06-17",0.43
"304","2020-06-18",0.43
"305","2020-06-19",0.435
"306","2020-06-22",0.435
"307","2020-06-23",0.463
"308","2020-06-24",0.445
"309","2020-06-25",0.466
"310","2020-06-26",0.445
"311","2020-06-29",0.449
"312","2020-06-30",0.439
"313","2020-07-01",0.431
"314","2020-07-02",0.42
"315","2020-07-06",0.422
"316","2020-07-07",0.421
"317","2020-07-08",0.436
"318","2020-07-09",0.424
"319","2020-07-10",0.42
"320","2020-07-13",0.441
"321","2020-07-14",0.424
"322","2020-07-15",0.432
"323","2020-07-16",0.423
"324","2020-07-17",0.45
"325","2020-07-20",0.476
"326","2020-07-21",0.489
"327","2020-07-22",0.458
"328","2020-07-23",0.452
"329","2020-07-24",0.438
"330","2020-07-27",0.428
"331","2020-07-28",0.439
"332","2020-07-29",0.428
"333","2020-07-30",0.422
"334","2020-07-31",0.423
"335","2020-08-03",0.405
"336","2020-08-04",0.4
"337","2020-08-05",0.403
"338","2020-08-06",0.404
"339","2020-08-07",0.407
"340","2020-08-10",0.442
"341","2020-08-11",0.437
"342","2020-08-12",0.416
"343","2020-08-13",0.387
"344","2020-08-14",0.344
"345","2020-08-17",0.355
"346","2020-08-18",0.345
"347","2020-08-19",0.303
"348","2020-08-20",0.295
"349","2020-08-21",0.324
"350","2020-08-24",0.333
"351","2020-08-25",0.337
"352","2020-08-26",0.346
"353","2020-08-27",0.335
"354","2020-08-28",0.305
"355","2020-08-31",0.314
"356","2020-09-01",0.29
"357","2020-09-02",0.273
"358","2020-09-03",0.251
"359","2020-09-04",0.229
"360","2020-09-08",0.241
"361","2020-09-09",0.247
"362","2020-09-10",0.249
"363","2020-09-11",0.229
"364","2020-09-14",0.229
"365","2020-09-15",0.239
"366","2020-09-16",0.235
"367","2020-09-17",0.228
"368","2020-09-18",0.222
"369","2020-09-21",0.246
"370","2020-09-22",0.231
"371","2020-09-23",0.227
"372","2020-09-24",0.21
"373","2020-09-25",0.197
"374","2020-09-28",0.2
"375","2020-09-29",0.199
