"","date","BEAM"
"1","2020-02-06",18.75
"2","2020-02-07",20.620001
"3","2020-02-10",22.1
"4","2020-02-11",24.1
"5","2020-02-12",27.6
"6","2020-02-13",29.200001
"7","2020-02-14",27.9
"8","2020-02-18",27.799999
"9","2020-02-19",28.18
"10","2020-02-20",26.91
"11","2020-02-21",26.09
"12","2020-02-24",24.200001
"13","2020-02-25",22.629999
"14","2020-02-26",24.450001
"15","2020-02-27",22.93
"16","2020-02-28",22.49
"17","2020-03-02",23.02
"18","2020-03-03",23.51
"19","2020-03-04",24.41
"20","2020-03-05",23.809999
"21","2020-03-06",23.549999
"22","2020-03-09",22.6
"23","2020-03-10",22.5
"24","2020-03-11",21.25
"25","2020-03-12",18.299999
"26","2020-03-13",17.379999
"27","2020-03-16",13.31
"28","2020-03-17",15.01
"29","2020-03-18",15.21
"30","2020-03-19",16.860001
"31","2020-03-20",19.4
"32","2020-03-23",18.01
"33","2020-03-24",19.16
"34","2020-03-25",19.6
"35","2020-03-26",19
"36","2020-03-27",18.049999
"37","2020-03-30",18
"38","2020-03-31",18
"39","2020-04-01",16.120001
"40","2020-04-02",15.26
"41","2020-04-03",16.110001
"42","2020-04-06",16.65
"43","2020-04-07",15.81
"44","2020-04-08",16.700001
"45","2020-04-09",16.620001
"46","2020-04-13",16.1
"47","2020-04-14",17.07
"48","2020-04-15",15.9
"49","2020-04-16",16.17
"50","2020-04-17",15.98
"51","2020-04-20",16.559999
"52","2020-04-21",16.1
"53","2020-04-22",16.66
"54","2020-04-23",17.74
"55","2020-04-24",18.15
"56","2020-04-27",16.530001
"57","2020-04-28",16.299999
"58","2020-04-29",16.889999
"59","2020-04-30",15.95
"60","2020-05-01",15.38
"61","2020-05-04",15.76
"62","2020-05-05",16.49
"63","2020-05-06",16.08
"64","2020-05-07",16.84
"65","2020-05-08",16.889999
"66","2020-05-11",20.709999
"67","2020-05-12",19.950001
"68","2020-05-13",21.4
"69","2020-05-14",19.51
"70","2020-05-15",21.41
"71","2020-05-18",21.49
"72","2020-05-19",23.51
"73","2020-05-20",25.58
"74","2020-05-21",26.549999
"75","2020-05-22",25.620001
"76","2020-05-26",24.32
"77","2020-05-27",24.59
"78","2020-05-28",25.02
"79","2020-05-29",25.549999
"80","2020-06-01",26.18
"81","2020-06-02",28.049999
"82","2020-06-03",28.129999
"83","2020-06-04",27.280001
"84","2020-06-05",25.73
"85","2020-06-08",27.76
"86","2020-06-09",27.780001
"87","2020-06-10",26.74
"88","2020-06-11",25.5
"89","2020-06-12",24.940001
"90","2020-06-15",26.85
"91","2020-06-16",27
"92","2020-06-17",25.65
"93","2020-06-18",26.6
"94","2020-06-19",27.299999
"95","2020-06-22",28.66
"96","2020-06-23",26.360001
"97","2020-06-24",26.209999
"98","2020-06-25",26.51
"99","2020-06-26",24.950001
"100","2020-06-29",27.459999
"101","2020-06-30",28
"102","2020-07-01",28.51
"103","2020-07-02",28.870001
"104","2020-07-06",29.42
"105","2020-07-07",28.610001
"106","2020-07-08",29.01
"107","2020-07-09",30.57
"108","2020-07-10",26.73
"109","2020-07-13",25.030001
"110","2020-07-14",25.09
"111","2020-07-15",24.42
"112","2020-07-16",23.74
"113","2020-07-17",23.66
"114","2020-07-20",23.200001
"115","2020-07-21",22.41
"116","2020-07-22",22.52
"117","2020-07-23",21.91
"118","2020-07-24",21.16
"119","2020-07-27",21.51
"120","2020-07-28",20.82
"121","2020-07-29",20.559999
"122","2020-07-30",20.370001
"123","2020-07-31",19.34
"124","2020-08-03",19.004999
"125","2020-08-04",19.41
"126","2020-08-05",21.280001
"127","2020-08-06",24.52
"128","2020-08-07",23.469999
"129","2020-08-10",24.1
"130","2020-08-11",23.620001
"131","2020-08-12",22.280001
"132","2020-08-13",22.42
"133","2020-08-14",22.48
"134","2020-08-17",22.799999
"135","2020-08-18",25.629999
"136","2020-08-19",25.16
"137","2020-08-20",25.34
"138","2020-08-21",26.030001
"139","2020-08-24",25.66
"140","2020-08-25",25.84
"141","2020-08-26",25.16
"142","2020-08-27",24.620001
"143","2020-08-28",24.940001
"144","2020-08-31",25.110001
"145","2020-09-01",26.120001
"146","2020-09-02",26.200001
"147","2020-09-03",23.93
"148","2020-09-04",21.83
"149","2020-09-08",22.469999
"150","2020-09-09",25.16
"151","2020-09-10",25.73
"152","2020-09-11",25.65
"153","2020-09-14",27.26
"154","2020-09-15",27.870001
"155","2020-09-16",28.780001
"156","2020-09-17",28.389999
"157","2020-09-18",29.450001
"158","2020-09-21",29.57
"159","2020-09-22",27.799999
"160","2020-09-23",26.09
"161","2020-09-24",26.09
"162","2020-09-25",26.76
"163","2020-09-28",26.879999
"164","2020-09-29",24.719999
"165","2020-09-30",24.620001
"166","2020-10-01",24.440001
"167","2020-10-02",22.24
"168","2020-10-05",23.85
"169","2020-10-06",27.389999
"170","2020-10-07",28.67
"171","2020-10-08",28.5
"172","2020-10-09",29.41
"173","2020-10-12",28.5
"174","2020-10-13",28.889999
"175","2020-10-14",28.33
"176","2020-10-15",32.919998
"177","2020-10-16",32.610001
"178","2020-10-19",31.879999
"179","2020-10-20",30.540001
"180","2020-10-21",29.690001
"181","2020-10-22",35.509998
"182","2020-10-23",37.889999
"183","2020-10-26",35.689999
"184","2020-10-27",38.279999
"185","2020-10-28",36.110001
"186","2020-10-29",36.310001
"187","2020-10-30",34.169998
"188","2020-11-02",34.650002
"189","2020-11-03",34.07
"190","2020-11-04",35.209999
"191","2020-11-05",36.59
