"","date","AXSM"
"1","2015-11-19",8.74
"2","2015-11-20",9.07
"3","2015-11-23",9.06
"4","2015-11-24",9.2
"5","2015-11-25",8.82
"6","2015-11-27",9.19
"7","2015-11-30",8.83
"8","2015-12-01",8.73
"9","2015-12-02",8.79
"10","2015-12-03",8.6
"11","2015-12-04",8.6
"12","2015-12-07",8.55
"13","2015-12-08",8.69
"14","2015-12-09",8.67
"15","2015-12-10",8.58
"16","2015-12-11",8.45
"17","2015-12-14",8.25
"18","2015-12-15",8.35
"19","2015-12-16",8.283
"20","2015-12-17",8.5
"21","2015-12-18",9.11
"22","2015-12-21",9.05
"23","2015-12-22",9.15
"24","2015-12-23",8.97
"25","2015-12-24",8.67
"26","2015-12-28",8.72
"27","2015-12-29",9.21
"28","2015-12-30",9.2
"29","2015-12-31",9.27
"30","2016-01-04",12.19
"31","2016-01-05",14.98
"32","2016-01-06",14.47
"33","2016-01-07",12.45
"34","2016-01-08",11.86
"35","2016-01-11",11.97
"36","2016-01-12",11.89
"37","2016-01-13",10.22
"38","2016-01-14",10.62
"39","2016-01-15",13
"40","2016-01-19",12.35
"41","2016-01-20",12.16
"42","2016-01-21",12.25
"43","2016-01-22",12.47
"44","2016-01-25",11.35
"45","2016-01-26",11.59
"46","2016-01-27",9.57
"47","2016-01-28",9.03
"48","2016-01-29",7.83
"49","2016-02-01",7.71
"50","2016-02-02",7.332
"51","2016-02-03",7.32
"52","2016-02-04",7.37
"53","2016-02-05",7.21
"54","2016-02-08",5.37
"55","2016-02-09",6.3
"56","2016-02-10",6.94
"57","2016-02-11",6.85
"58","2016-02-12",8
"59","2016-02-16",8.25
"60","2016-02-17",8.21
"61","2016-02-18",8.39
"62","2016-02-19",8.65
"63","2016-02-22",8.65
"64","2016-02-23",8.65
"65","2016-02-24",8.38
"66","2016-02-25",7.89
"67","2016-02-26",8.4
"68","2016-02-29",7.77
"69","2016-03-01",8.18
"70","2016-03-02",8.44
"71","2016-03-03",8.3
"72","2016-03-04",7.1
"73","2016-03-07",7.25
"74","2016-03-08",6.98
"75","2016-03-09",7.02
"76","2016-03-10",6.97
"77","2016-03-11",7.14
"78","2016-03-14",9.65
"79","2016-03-15",10.2
"80","2016-03-16",10.75
"81","2016-03-17",8.97
"82","2016-03-18",8.54
"83","2016-03-21",8.7
"84","2016-03-22",8.86
"85","2016-03-23",9.06
"86","2016-03-24",8.5
"87","2016-03-28",8.15
"88","2016-03-29",7.85
"89","2016-03-30",8.7
"90","2016-03-31",8.6
"91","2016-04-01",8.95
"92","2016-04-04",9.29
"93","2016-04-05",9.3
"94","2016-04-06",9.52
"95","2016-04-07",9.87
"96","2016-04-08",10.16
"97","2016-04-11",9.33
"98","2016-04-12",9.43
"99","2016-04-13",9.79
"100","2016-04-14",9.86
"101","2016-04-15",9.84
"102","2016-04-18",10.04
"103","2016-04-19",10.01
"104","2016-04-20",9.99
"105","2016-04-21",10.02
"106","2016-04-22",9.96
"107","2016-04-25",9.92
"108","2016-04-26",10.98
"109","2016-04-27",12.44
"110","2016-04-28",12.41
"111","2016-04-29",11.45
"112","2016-05-02",11.15
"113","2016-05-03",10.57
"114","2016-05-04",11.15
"115","2016-05-05",11.2
"116","2016-05-06",11.37
"117","2016-05-09",11.08
"118","2016-05-10",11.09
"119","2016-05-11",11.18
"120","2016-05-12",11.39
"121","2016-05-13",10.65
"122","2016-05-16",10.17
"123","2016-05-17",10.47
"124","2016-05-18",9.94
"125","2016-05-19",10.02
"126","2016-05-20",10.3
"127","2016-05-23",10.3
"128","2016-05-24",9.95
"129","2016-05-25",8.99
"130","2016-05-26",8.77
"131","2016-05-27",8.02
"132","2016-05-31",7.85
"133","2016-06-01",7.78
"134","2016-06-02",7.5
"135","2016-06-03",7.66
"136","2016-06-06",7.9
"137","2016-06-07",8.08
"138","2016-06-08",8.28
"139","2016-06-09",8.19
"140","2016-06-10",8.2
"141","2016-06-13",6.99
"142","2016-06-14",6.34
"143","2016-06-15",6.65
"144","2016-06-16",6.95
"145","2016-06-17",6.34
"146","2016-06-20",6.17
"147","2016-06-21",6.68
"148","2016-06-22",6.95
"149","2016-06-23",7.405
"150","2016-06-24",7.1
"151","2016-06-27",7.65
"152","2016-06-28",7.52
"153","2016-06-29",7.47
"154","2016-06-30",7.54
"155","2016-07-01",7.47
"156","2016-07-05",7.18
"157","2016-07-06",7.26
"158","2016-07-07",7.33
"159","2016-07-08",7.67
"160","2016-07-11",7.85
"161","2016-07-12",8.18
"162","2016-07-13",7.87
"163","2016-07-14",7.71
"164","2016-07-15",8.05
"165","2016-07-18",8.07
"166","2016-07-19",7.87
"167","2016-07-20",8.06
"168","2016-07-21",7.94
"169","2016-07-22",7.76
"170","2016-07-25",7.82
"171","2016-07-26",7.79
"172","2016-07-27",7.98
"173","2016-07-28",7.96
"174","2016-07-29",7.82
"175","2016-08-01",7.79
"176","2016-08-02",7.63
"177","2016-08-03",7.73
"178","2016-08-04",7.36
"179","2016-08-05",7.69
"180","2016-08-08",7.7
"181","2016-08-09",7.61
"182","2016-08-10",7.59
"183","2016-08-11",7.24
"184","2016-08-12",7.44
"185","2016-08-15",7.01
"186","2016-08-16",7.32
"187","2016-08-17",7.29
"188","2016-08-18",7.42
"189","2016-08-19",7.54
"190","2016-08-22",7.58
"191","2016-08-23",7.51
"192","2016-08-24",7.37
"193","2016-08-25",7.44
"194","2016-08-26",7.31
"195","2016-08-29",7.35
"196","2016-08-30",7.15
"197","2016-08-31",7.24
"198","2016-09-01",7.25
"199","2016-09-02",7.27
"200","2016-09-06",7.24
"201","2016-09-07",7.49
"202","2016-09-08",7.58
"203","2016-09-09",7.27
"204","2016-09-12",7.42
"205","2016-09-13",7.13
"206","2016-09-14",7.22
"207","2016-09-15",7.34
"208","2016-09-16",7.35
"209","2016-09-19",7.49
"210","2016-09-20",7.69
"211","2016-09-21",7.73
"212","2016-09-22",7.79
"213","2016-09-23",7.61
"214","2016-09-26",7.57
"215","2016-09-27",7.67
"216","2016-09-28",7.9
"217","2016-09-29",7.69
"218","2016-09-30",7.88
"219","2016-10-03",8.27
"220","2016-10-04",8.17
"221","2016-10-05",8.33
"222","2016-10-06",8.71
"223","2016-10-07",8.22
"224","2016-10-10",8.5
"225","2016-10-11",8.17
"226","2016-10-12",7.97
"227","2016-10-13",7.47
"228","2016-10-14",7.29
"229","2016-10-17",7.22
"230","2016-10-18",7.34
"231","2016-10-19",7.11
"232","2016-10-20",7.31
"233","2016-10-21",7.4
"234","2016-10-24",7.39
"235","2016-10-25",7.08
"236","2016-10-26",6.9
"237","2016-10-27",7.06
"238","2016-10-28",6.87
"239","2016-10-31",6.7
"240","2016-11-01",7.15
"241","2016-11-02",6.4
"242","2016-11-03",6.25
"243","2016-11-04",6.35
"244","2016-11-07",6.55
"245","2016-11-08",6.6
"246","2016-11-09",6.3
"247","2016-11-10",6.6
"248","2016-11-11",7.3
"249","2016-11-14",7.5
"250","2016-11-15",7.35
"251","2016-11-16",7.35
"252","2016-11-17",7.65
"253","2016-11-18",7.6
"254","2016-11-21",7.55
"255","2016-11-22",7.35
"256","2016-11-23",7.05
"257","2016-11-25",7.3
"258","2016-11-28",6.85
"259","2016-11-29",6.9
"260","2016-11-30",6.55
"261","2016-12-01",6.25
"262","2016-12-02",6.15
"263","2016-12-05",6.25
"264","2016-12-06",6.4
"265","2016-12-07",6.4
"266","2016-12-08",6.8
"267","2016-12-09",6.7
"268","2016-12-12",6.3
"269","2016-12-13",6.25
"270","2016-12-14",6
"271","2016-12-15",6.1
"272","2016-12-16",6.1
"273","2016-12-19",6.4
"274","2016-12-20",6.65
"275","2016-12-21",6.8
"276","2016-12-22",6.65
"277","2016-12-23",6.85
"278","2016-12-27",7
"279","2016-12-28",6.85
"280","2016-12-29",6.85
"281","2016-12-30",6.75
"282","2017-01-03",6.45
"283","2017-01-04",6.35
"284","2017-01-05",6.35
"285","2017-01-06",6.05
"286","2017-01-09",6
"287","2017-01-10",5.8
"288","2017-01-11",5.6
"289","2017-01-12",5.45
"290","2017-01-13",5.55
"291","2017-01-17",5.4
"292","2017-01-18",5.4
"293","2017-01-19",5.05
"294","2017-01-20",4.95
"295","2017-01-23",4.8
"296","2017-01-24",4.85
"297","2017-01-25",4.9
"298","2017-01-26",4.85
"299","2017-01-27",4.8
"300","2017-01-30",4.7
"301","2017-01-31",4.9
