"","date","RAPT"
"1","2019-10-31",13
"2","2019-11-01",12.7
"3","2019-11-04",12.3
"4","2019-11-05",14.49
"5","2019-11-06",15
"6","2019-11-07",22.27
"7","2019-11-08",28.1
"8","2019-11-11",19.6
"9","2019-11-12",21.75
"10","2019-11-13",20.379999
"11","2019-11-14",21.18
"12","2019-11-15",19.68
"13","2019-11-18",17.790001
"14","2019-11-19",17.790001
"15","2019-11-20",21.24
"16","2019-11-21",20.700001
"17","2019-11-22",20.49
"18","2019-11-25",29.469999
"19","2019-11-26",27.26
"20","2019-11-27",26.67
"21","2019-11-29",25.91
"22","2019-12-02",21.73
"23","2019-12-03",24.950001
"24","2019-12-04",27.530001
"25","2019-12-05",26.200001
"26","2019-12-06",24.6
"27","2019-12-09",25.129999
"28","2019-12-10",24.73
"29","2019-12-11",22.889999
"30","2019-12-12",21.68
"31","2019-12-13",23.719999
"32","2019-12-16",24.76
"33","2019-12-17",23
"34","2019-12-18",24.4
"35","2019-12-19",25
"36","2019-12-20",27.42
"37","2019-12-23",30.5
"38","2019-12-24",30.780001
"39","2019-12-26",26.77
"40","2019-12-27",28.67
"41","2019-12-30",26.58
"42","2019-12-31",27.610001
"43","2020-01-02",29.889999
"44","2020-01-03",29.58
"45","2020-01-06",30.299999
"46","2020-01-07",30.9
"47","2020-01-08",28.530001
"48","2020-01-09",27.68
"49","2020-01-10",28.18
"50","2020-01-13",28.35
"51","2020-01-14",31.290001
"52","2020-01-15",36.75
"53","2020-01-16",46.959999
"54","2020-01-17",47.389999
"55","2020-01-21",44.700001
"56","2020-01-22",47.294998
"57","2020-01-23",43.610001
"58","2020-01-24",42.009998
"59","2020-01-27",48.860001
"60","2020-01-28",45.650002
"61","2020-01-29",45.189999
"62","2020-01-30",44.66
"63","2020-01-31",44.290001
"64","2020-02-03",43.049999
"65","2020-02-04",42.360001
"66","2020-02-05",32
"67","2020-02-06",33.610001
"68","2020-02-07",30.01
"69","2020-02-10",31.290001
"70","2020-02-11",31.139999
"71","2020-02-12",30.07
"72","2020-02-13",30.139999
"73","2020-02-14",30.27
"74","2020-02-18",31.139999
"75","2020-02-19",31.299999
"76","2020-02-20",31.139999
"77","2020-02-21",30
"78","2020-02-24",28.5
"79","2020-02-25",28.190001
"80","2020-02-26",24.120001
"81","2020-02-27",21.59
