"","date","HCCO"
"1","2020-01-28",10
"2","2020-01-29",10.05
"3","2020-01-30",10.05
"4","2020-01-31",10.05
"5","2020-02-03",10
"6","2020-02-04",10
"7","2020-02-05",10
"8","2020-02-06",10.01
"9","2020-02-07",10.09
"10","2020-02-10",10.09
"11","2020-02-11",10.05
"12","2020-02-12",10.05
"13","2020-02-13",10.05
"14","2020-02-14",10.05
"15","2020-02-18",10.05
"16","2020-02-19",10.06
"17","2020-02-20",10.06
"18","2020-02-21",10.06
"19","2020-02-24",10.06
"20","2020-02-25",10.06
"21","2020-02-26",10.04
"22","2020-02-27",10.04
"23","2020-02-28",10
"24","2020-03-02",10
"25","2020-03-03",10.05
"26","2020-03-04",10.05
"27","2020-03-05",10
"28","2020-03-06",10
"29","2020-03-09",10
"30","2020-03-10",10
"31","2020-03-11",9.97
"32","2020-03-12",9.94
"33","2020-03-13",9.94
"34","2020-03-16",9.65
"35","2020-03-17",9.65
"36","2020-03-18",9.37
"37","2020-03-19",9.5
"38","2020-03-20",9.3
"39","2020-03-23",9.3
"40","2020-03-24",9.3
"41","2020-03-25",9.59
"42","2020-03-26",9.6
"43","2020-03-27",9.85
"44","2020-03-30",9.8
"45","2020-03-31",9.8
"46","2020-04-01",9.8
"47","2020-04-02",9.85
"48","2020-04-03",9.85
"49","2020-04-06",9.85
"50","2020-04-07",9.85
"51","2020-04-08",9.85
"52","2020-04-09",9.725
"53","2020-04-13",9.725
"54","2020-04-14",9.8
"55","2020-04-15",9.8
"56","2020-04-16",9.8
"57","2020-04-17",9.8
"58","2020-04-20",9.8
"59","2020-04-21",9.8
"60","2020-04-22",9.8
"61","2020-04-23",9.8
"62","2020-04-24",9.8
"63","2020-04-27",9.75
"64","2020-04-28",9.75
"65","2020-04-29",9.75
"66","2020-04-30",9.75
"67","2020-05-01",9.76
"68","2020-05-04",9.8
"69","2020-05-05",9.8
"70","2020-05-06",9.8
"71","2020-05-07",9.8
"72","2020-05-08",9.825
"73","2020-05-11",9.9
"74","2020-05-12",9.9
"75","2020-05-13",9.9
"76","2020-05-14",9.81
"77","2020-05-15",9.8
"78","2020-05-18",9.8
"79","2020-05-19",9.8
"80","2020-05-20",9.8
"81","2020-05-21",9.8
"82","2020-05-22",9.76
"83","2020-05-26",9.8
"84","2020-05-27",9.8
"85","2020-05-28",9.8
"86","2020-05-29",9.9
"87","2020-06-01",9.9
"88","2020-06-02",9.9
"89","2020-06-03",9.9
"90","2020-06-04",9.9
"91","2020-06-05",9.9
"92","2020-06-08",9.97
"93","2020-06-09",9.97
"94","2020-06-10",9.97
"95","2020-06-11",9.97
"96","2020-06-12",9.86
"97","2020-06-15",10
"98","2020-06-16",9.97
"99","2020-06-17",9.97
"100","2020-06-18",9.98
"101","2020-06-19",9.98
"102","2020-06-22",10
"103","2020-06-23",10.03
"104","2020-06-24",10.05
"105","2020-06-25",10.05
"106","2020-06-26",10.05
"107","2020-06-29",10.14
"108","2020-06-30",10.02
"109","2020-07-01",10
"110","2020-07-02",10
"111","2020-07-06",10.1
"112","2020-07-07",10.02
"113","2020-07-08",10.05
"114","2020-07-09",10.05
"115","2020-07-10",10.13
"116","2020-07-13",10.41
"117","2020-07-14",10.35
"118","2020-07-15",10.35
"119","2020-07-16",10.22
"120","2020-07-17",10.3
"121","2020-07-20",10.27
"122","2020-07-21",10.39
"123","2020-07-22",10.32
"124","2020-07-23",10.21
"125","2020-07-24",10.39
"126","2020-07-27",10.45
"127","2020-07-28",10.41
"128","2020-07-29",10.985
"129","2020-07-30",10.68
"130","2020-07-31",10.45
"131","2020-08-03",10.35
"132","2020-08-04",10.35
"133","2020-08-05",10.49
"134","2020-08-06",10.45
"135","2020-08-07",10.59
"136","2020-08-10",10.45
"137","2020-08-11",10.41
"138","2020-08-12",10.38
"139","2020-08-13",10.33
"140","2020-08-14",10.369
"141","2020-08-17",10.33
"142","2020-08-18",10.25
"143","2020-08-19",10.1
"144","2020-08-20",10.177
"145","2020-08-21",10.11
"146","2020-08-24",10.225
"147","2020-08-25",10.205
"148","2020-08-26",10.2
"149","2020-08-27",10.25
"150","2020-08-28",10.2
"151","2020-08-31",10.22
"152","2020-09-01",10.335
"153","2020-09-02",10.34
"154","2020-09-03",10.37
"155","2020-09-04",10.37
"156","2020-09-08",10.48
"157","2020-09-09",10.6
"158","2020-09-10",10.54
"159","2020-09-11",10.49
"160","2020-09-14",10.4
"161","2020-09-15",10.36
"162","2020-09-16",10.4
"163","2020-09-17",10.23
"164","2020-09-18",10.38
"165","2020-09-21",10.41
"166","2020-09-22",10.27
"167","2020-09-23",10.22
"168","2020-09-24",10.08
"169","2020-09-25",10.2
"170","2020-09-28",10.24
"171","2020-09-29",10.28
"172","2020-09-30",10.15
"173","2020-10-01",10.14
"174","2020-10-02",10.13
"175","2020-10-05",10.03
"176","2020-10-06",10.03
"177","2020-10-07",10.01
"178","2020-10-08",10.04
"179","2020-10-09",10.03
"180","2020-10-12",10.01
"181","2020-10-13",10.02
"182","2020-10-14",9.99
"183","2020-10-15",10.01
"184","2020-10-16",10.06
"185","2020-10-19",10.06
"186","2020-10-20",10.03
"187","2020-10-21",10.03
"188","2020-10-22",10.03
"189","2020-10-23",10.03
"190","2020-10-26",10
"191","2020-10-27",10.06
"192","2020-10-28",10.04
"193","2020-10-29",9.35
"194","2020-10-30",9.22
"195","2020-11-02",NA
"196","2020-11-03",NA
"197","2020-11-04",NA
"198","2020-11-05",NA
"199","2020-11-06",NA
"200","2020-11-09",NA
"201","2020-11-10",NA
"202","2020-11-11",NA
"203","2020-11-12",NA
"204","2020-11-13",NA
"205","2020-11-16",NA
"206","2020-11-17",NA
"207","2020-11-18",NA
"208","2020-11-19",NA
"209","2020-11-20",NA
"210","2020-11-23",NA
"211","2020-11-24",NA
"212","2020-11-25",NA
