"","date","SCCO"
"1","2007-01-03",17.023333
"2","2007-01-04",16.84
"3","2007-01-05",16.986666
"4","2007-01-08",17.280001
"5","2007-01-09",17.493334
"6","2007-01-10",17.93
"7","2007-01-11",18.293333
"8","2007-01-12",18.42
"9","2007-01-16",18.129999
"10","2007-01-17",18.233334
"11","2007-01-18",18.106667
"12","2007-01-19",18.626667
"13","2007-01-22",18.626667
"14","2007-01-23",19.263334
"15","2007-01-24",19.583334
"16","2007-01-25",19.719999
"17","2007-01-26",19.969999
"18","2007-01-29",20.193333
"19","2007-01-30",20.376667
"20","2007-01-31",20.833334
"21","2007-02-01",21.416666
"22","2007-02-02",20.966667
"23","2007-02-05",21.25
"24","2007-02-06",21.700001
"25","2007-02-07",21.75
"26","2007-02-08",21.576666
"27","2007-02-09",20.943333
"28","2007-02-12",21.136667
"29","2007-02-13",22.416666
"30","2007-02-14",22.666666
"31","2007-02-15",22.793333
"32","2007-02-16",22.673334
"33","2007-02-20",22.666666
"34","2007-02-21",23.280001
"35","2007-02-22",24.209999
"36","2007-02-23",25
"37","2007-02-26",24.223333
"38","2007-02-27",22.553333
"39","2007-02-28",23.513334
"40","2007-03-01",23.316668
"41","2007-03-02",22.533333
"42","2007-03-05",21.563334
"43","2007-03-06",22.353333
"44","2007-03-07",22.540001
"45","2007-03-08",23.16
"46","2007-03-09",23.030001
"47","2007-03-12",22.9
"48","2007-03-13",21.333334
"49","2007-03-14",22.013334
"50","2007-03-15",22.66
"51","2007-03-16",22.396667
"52","2007-03-19",23.343334
"53","2007-03-20",23.416666
"54","2007-03-21",24.056667
"55","2007-03-22",23.813334
"56","2007-03-23",23.573334
"57","2007-03-26",23.716667
"58","2007-03-27",23.996666
"59","2007-03-28",23.646667
"60","2007-03-29",23.853333
"61","2007-03-30",23.886667
"62","2007-04-02",24.213333
"63","2007-04-03",25.030001
"64","2007-04-04",24.996666
"65","2007-04-05",24.953333
"66","2007-04-09",25.343334
"67","2007-04-10",25.896667
"68","2007-04-11",25.966667
"69","2007-04-12",25.916666
"70","2007-04-13",26.173334
"71","2007-04-16",26.110001
