"","date","DXLG"
"1","2007-01-03",12.6
"2","2007-01-04",12.46
"3","2007-01-05",12.3
"4","2007-01-08",13.4
"5","2007-01-09",13.7
"6","2007-01-10",13.32
"7","2007-01-11",13.67
"8","2007-01-12",13.27
"9","2007-01-16",13.2
"10","2007-01-17",13.04
"11","2007-01-18",12.95
"12","2007-01-19",12.65
"13","2007-01-22",12.66
"14","2007-01-23",12.84
"15","2007-01-24",12.38
"16","2007-01-25",11.99
"17","2007-01-26",12.21
"18","2007-01-29",12.54
"19","2007-01-30",12.49
"20","2007-01-31",12.48
"21","2007-02-01",12.58
"22","2007-02-02",12.48
"23","2007-02-05",12.23
"24","2007-02-06",12.35
"25","2007-02-07",12
"26","2007-02-08",13.33
"27","2007-02-09",12.77
"28","2007-02-12",12.69
"29","2007-02-13",12.86
"30","2007-02-14",12.52
"31","2007-02-15",12.42
"32","2007-02-16",12.56
"33","2007-02-20",12.64
"34","2007-02-21",12.78
"35","2007-02-22",12.71
"36","2007-02-23",12.58
"37","2007-02-26",12.97
"38","2007-02-27",12.55
"39","2007-02-28",12.5
"40","2007-03-01",12.47
"41","2007-03-02",12.33
"42","2007-03-05",12.12
"43","2007-03-06",11.96
"44","2007-03-07",11.8
"45","2007-03-08",12.01
"46","2007-03-09",11.97
"47","2007-03-12",12.15
"48","2007-03-13",11.52
"49","2007-03-14",11.94
"50","2007-03-15",11.95
"51","2007-03-16",11.8
"52","2007-03-19",11.95
"53","2007-03-20",11.98
"54","2007-03-21",11.99
"55","2007-03-22",12.38
"56","2007-03-23",12.45
"57","2007-03-26",12.67
"58","2007-03-27",12.57
"59","2007-03-28",12.28
"60","2007-03-29",12
"61","2007-03-30",11.83
"62","2007-04-02",12.02
"63","2007-04-03",12.02
"64","2007-04-04",12.01
"65","2007-04-05",12.01
"66","2007-04-09",11.65
"67","2007-04-10",11.15
"68","2007-04-11",11.34
"69","2007-04-12",11.43
"70","2007-04-13",11.49
"71","2007-04-16",11.78
"72","2007-04-17",11.86
"73","2007-04-18",11.66
"74","2007-04-19",11.61
"75","2007-04-20",11.84
"76","2007-04-23",11.89
"77","2007-04-24",11.61
"78","2007-04-25",11.42
"79","2007-04-26",11.76
"80","2007-04-27",11.76
"81","2007-04-30",11.51
"82","2007-05-01",11.35
"83","2007-05-02",11.46
"84","2007-05-03",11.47
