"","date","MGP"
"1","2016-04-19",21
"2","2016-04-20",22.01
"3","2016-04-21",21.76
"4","2016-04-22",22
"5","2016-04-25",22.08
"6","2016-04-26",22.389999
"7","2016-04-27",22.34
"8","2016-04-28",22.26
"9","2016-04-29",22.07
"10","2016-05-02",22.02
"11","2016-05-03",22.35
"12","2016-05-04",22.5
"13","2016-05-05",22.65
"14","2016-05-06",22.790001
"15","2016-05-09",22.9
"16","2016-05-10",22.91
"17","2016-05-11",22.83
"18","2016-05-12",22.77
"19","2016-05-13",22.74
"20","2016-05-16",22.99
"21","2016-05-17",22.98
"22","2016-05-18",22.889999
"23","2016-05-19",22.780001
"24","2016-05-20",22.809999
"25","2016-05-23",22.73
"26","2016-05-24",22.620001
"27","2016-05-25",22.799999
"28","2016-05-26",22.75
"29","2016-05-27",23.030001
"30","2016-05-31",23
"31","2016-06-01",23.809999
"32","2016-06-02",23.92
"33","2016-06-03",24.25
"34","2016-06-06",24.35
"35","2016-06-07",25.450001
"36","2016-06-08",25.120001
"37","2016-06-09",25.48
"38","2016-06-10",25.469999
"39","2016-06-13",24.74
"40","2016-06-14",25.02
"41","2016-06-15",24.99
"42","2016-06-16",26
"43","2016-06-17",26.9
"44","2016-06-20",26.870001
"45","2016-06-21",26.48
"46","2016-06-22",25.690001
"47","2016-06-23",25.219999
"48","2016-06-24",24.73
"49","2016-06-27",24.68
"50","2016-06-28",25.139999
"51","2016-06-29",25.969999
"52","2016-06-30",26.68
"53","2016-07-01",26.43
"54","2016-07-05",26.629999
"55","2016-07-06",26.9
"56","2016-07-07",26.440001
"57","2016-07-08",26.780001
"58","2016-07-11",26.559999
"59","2016-07-12",26.969999
"60","2016-07-13",26.65
"61","2016-07-14",26.48
"62","2016-07-15",26.49
"63","2016-07-18",26.120001
"64","2016-07-19",26.719999
"65","2016-07-20",26.700001
"66","2016-07-21",26.879999
"67","2016-07-22",26.98
"68","2016-07-25",26.790001
"69","2016-07-26",26.549999
"70","2016-07-27",26.549999
"71","2016-07-28",26.77
"72","2016-07-29",27.110001
