"","date","TRMB"
"1","2007-01-03",12.8925
"2","2007-01-04",13.2575
"3","2007-01-05",13.4075
"4","2007-01-08",13.275
"5","2007-01-09",13.365
"6","2007-01-10",13.285
"7","2007-01-11",13.6925
"8","2007-01-12",13.75
"9","2007-01-16",13.5325
"10","2007-01-17",13.7725
"11","2007-01-18",13.44
"12","2007-01-19",13.495
"13","2007-01-22",13.305
"14","2007-01-23",13.3
"15","2007-01-24",13.44
"16","2007-01-25",13.2475
"17","2007-01-26",14.145
"18","2007-01-29",14.0425
"19","2007-01-30",14.1
"20","2007-01-31",14.145
"21","2007-02-01",14.27
"22","2007-02-02",14
"23","2007-02-05",14.01
"24","2007-02-06",14.025
"25","2007-02-07",13.9775
"26","2007-02-08",13.9325
"27","2007-02-09",13.6475
"28","2007-02-12",13.67
"29","2007-02-13",13.655
"30","2007-02-14",13.7175
"31","2007-02-15",13.8325
"32","2007-02-16",13.99
"33","2007-02-20",13.8075
"34","2007-02-21",13.93
"35","2007-02-22",14.0225
"36","2007-02-23",13.9
"37","2007-02-26",13.81
"38","2007-02-27",13.025
"39","2007-02-28",13.23
"40","2007-03-01",13.22
"41","2007-03-02",13.12
"42","2007-03-05",12.855
"43","2007-03-06",13.15
"44","2007-03-07",13.42
"45","2007-03-08",13.23
"46","2007-03-09",13.23
"47","2007-03-12",13.345
"48","2007-03-13",13.255
"49","2007-03-14",13.22
"50","2007-03-15",13.25
"51","2007-03-16",13.17
"52","2007-03-19",13.235
"53","2007-03-20",13.24
"54","2007-03-21",13.295
"55","2007-03-22",13.505
"56","2007-03-23",13.565
"57","2007-03-26",13.56
"58","2007-03-27",13.355
"59","2007-03-28",13.335
"60","2007-03-29",13.32
"61","2007-03-30",13.42
"62","2007-04-02",13.54
"63","2007-04-03",13.645
"64","2007-04-04",13.665
"65","2007-04-05",13.64
"66","2007-04-09",13.645
"67","2007-04-10",13.46
"68","2007-04-11",13.55
"69","2007-04-12",13.725
"70","2007-04-13",13.815
"71","2007-04-16",14.145
"72","2007-04-17",14
"73","2007-04-18",14.055
"74","2007-04-19",14.04
"75","2007-04-20",14
"76","2007-04-23",13.965
"77","2007-04-24",14.19
"78","2007-04-25",14.285
"79","2007-04-26",14.64
"80","2007-04-27",14.645
"81","2007-04-30",14.34
"82","2007-05-01",14.6
"83","2007-05-02",14.745
"84","2007-05-03",14.99
"85","2007-05-04",15.71
"86","2007-05-07",15.305
"87","2007-05-08",15.395
"88","2007-05-09",15.495
"89","2007-05-10",15.115
"90","2007-05-11",15.25
"91","2007-05-14",15.15
"92","2007-05-15",14.98
"93","2007-05-16",14.84
"94","2007-05-17",14.725
"95","2007-05-18",14.92
"96","2007-05-21",15.03
