"","date","FMBI"
"1","2007-01-03",38.93
"2","2007-01-04",38.880001
"3","2007-01-05",37.869999
"4","2007-01-08",38.169998
"5","2007-01-09",38.119999
"6","2007-01-10",38.150002
"7","2007-01-11",38.48
"8","2007-01-12",38.720001
"9","2007-01-16",38.110001
"10","2007-01-17",37.919998
"11","2007-01-18",37.599998
"12","2007-01-19",37.560001
"13","2007-01-22",37.360001
"14","2007-01-23",37.540001
"15","2007-01-24",37.610001
"16","2007-01-25",37.099998
"17","2007-01-26",37.07
"18","2007-01-29",37.48
"19","2007-01-30",37.599998
"20","2007-01-31",37.540001
"21","2007-02-01",37.720001
"22","2007-02-02",37.98
"23","2007-02-05",37.630001
"24","2007-02-06",37.959999
"25","2007-02-07",38.279999
"26","2007-02-08",38.16
"27","2007-02-09",37.84
"28","2007-02-12",38.16
"29","2007-02-13",38.470001
"30","2007-02-14",38.32
"31","2007-02-15",38.150002
"32","2007-02-16",38.41
"33","2007-02-20",38.669998
"34","2007-02-21",38.810001
"35","2007-02-22",39.259998
"36","2007-02-23",39.200001
"37","2007-02-26",38.66
"38","2007-02-27",37.459999
"39","2007-02-28",37.619999
"40","2007-03-01",37.52
"41","2007-03-02",36.950001
"42","2007-03-05",36.5
"43","2007-03-06",36.98
"44","2007-03-07",36.810001
"45","2007-03-08",37.009998
"46","2007-03-09",37.240002
"47","2007-03-12",37.299999
"48","2007-03-13",36.060001
"49","2007-03-14",36.709999
"50","2007-03-15",37.200001
"51","2007-03-16",37.139999
"52","2007-03-19",37.290001
"53","2007-03-20",37.369999
"54","2007-03-21",37.98
"55","2007-03-22",37.77
"56","2007-03-23",37.720001
"57","2007-03-26",37.68
"58","2007-03-27",37.450001
"59","2007-03-28",36.610001
"60","2007-03-29",37
"61","2007-03-30",36.75
"62","2007-04-02",36.360001
"63","2007-04-03",36.740002
"64","2007-04-04",36.360001
"65","2007-04-05",36.310001
"66","2007-04-09",35.73
"67","2007-04-10",35.59
"68","2007-04-11",35.189999
"69","2007-04-12",35.25
"70","2007-04-13",35.529999
"71","2007-04-16",36.209999
"72","2007-04-17",36.080002
"73","2007-04-18",36.080002
"74","2007-04-19",35.860001
"75","2007-04-20",36.240002
"76","2007-04-23",36.279999
"77","2007-04-24",36.259998
"78","2007-04-25",37.18
"79","2007-04-26",36.950001
"80","2007-04-27",36.639999
"81","2007-04-30",35.939999
"82","2007-05-01",36.66
"83","2007-05-02",37.27
"84","2007-05-03",37.799999
"85","2007-05-04",37.98
"86","2007-05-07",38.110001
"87","2007-05-08",37.73
"88","2007-05-09",37.73
"89","2007-05-10",36.900002
"90","2007-05-11",37.099998
"91","2007-05-14",36.779999
"92","2007-05-15",36.25
"93","2007-05-16",36.700001
"94","2007-05-17",36.509998
"95","2007-05-18",36.68
"96","2007-05-21",36.849998
"97","2007-05-22",37.18
"98","2007-05-23",37.16
"99","2007-05-24",36.540001
"100","2007-05-25",36.639999
"101","2007-05-29",36.860001
"102","2007-05-30",36.830002
"103","2007-05-31",36.790001
"104","2007-06-01",37.5
"105","2007-06-04",37.619999
"106","2007-06-05",37.470001
"107","2007-06-06",36.82
"108","2007-06-07",36.259998
"109","2007-06-08",36.470001
"110","2007-06-11",36.48
"111","2007-06-12",35.84
"112","2007-06-13",36.279999
"113","2007-06-14",36.360001
"114","2007-06-15",36.52
"115","2007-06-18",36.419998
"116","2007-06-19",36.349998
"117","2007-06-20",35.939999
"118","2007-06-21",35.790001
"119","2007-06-22",35.68
"120","2007-06-25",35.509998
"121","2007-06-26",35.580002
"122","2007-06-27",35.700001
"123","2007-06-28",35.720001
"124","2007-06-29",35.509998
"125","2007-07-02",35.779999
"126","2007-07-03",35.790001
"127","2007-07-05",35.740002
"128","2007-07-06",35.799999
"129","2007-07-09",35.650002
"130","2007-07-10",34.560001
"131","2007-07-11",34.419998
"132","2007-07-12",35.220001
"133","2007-07-13",35.139999
"134","2007-07-16",35.209999
"135","2007-07-17",35.220001
"136","2007-07-18",34.509998
"137","2007-07-19",34.580002
"138","2007-07-20",33.25
"139","2007-07-23",33.5
"140","2007-07-24",33.099998
"141","2007-07-25",33.389999
"142","2007-07-26",32.77
"143","2007-07-27",32.709999
"144","2007-07-30",33.220001
"145","2007-07-31",32.889999
"146","2007-08-01",33.209999
"147","2007-08-02",33.700001
"148","2007-08-03",32.18
"149","2007-08-06",33.34
"150","2007-08-07",34
"151","2007-08-08",35.330002
"152","2007-08-09",34.68
"153","2007-08-10",33.970001
"154","2007-08-13",32.66
"155","2007-08-14",32.130001
"156","2007-08-15",32.290001
