"","date","AKTS"
"1","2015-06-04",4.99
"2","2015-06-05",6.5
"3","2015-06-08",6
"4","2015-06-09",6
"5","2015-06-10",6
"6","2015-06-11",5.99
"7","2015-06-12",5.75
"8","2015-06-15",5.75
"9","2015-06-16",5.18
"10","2015-06-17",5.2
"11","2015-06-18",5.2
"12","2015-06-19",4.5
"13","2015-06-22",4.5
"14","2015-06-23",4.5
"15","2015-06-24",4.25
"16","2015-06-25",4.25
"17","2015-06-26",4.25
"18","2015-06-29",4.8
"19","2015-06-30",4.95
"20","2015-07-01",4.95
"21","2015-07-02",4.95
"22","2015-07-06",4.95
"23","2015-07-07",4.95
"24","2015-07-08",4.95
"25","2015-07-09",4.95
"26","2015-07-10",4.99
"27","2015-07-13",4.99
"28","2015-07-14",4.99
"29","2015-07-15",4.99
"30","2015-07-16",4.99
"31","2015-07-17",4.99
"32","2015-07-20",4.99
"33","2015-07-21",4.99
"34","2015-07-22",4.99
"35","2015-07-23",4.99
"36","2015-07-24",4.8
"37","2015-07-27",4.8
"38","2015-07-28",5.1
"39","2015-07-29",5.1
"40","2015-07-30",5.1
"41","2015-07-31",5.1
"42","2015-08-03",5.25
"43","2015-08-04",5.25
"44","2015-08-05",5.25
"45","2015-08-06",5.25
"46","2015-08-07",5.25
"47","2015-08-10",5.25
"48","2015-08-11",5.25
"49","2015-08-12",5.25
"50","2015-08-13",5.25
"51","2015-08-14",5.25
"52","2015-08-17",5.25
"53","2015-08-18",5.25
"54","2015-08-19",5.25
"55","2015-08-20",5.25
"56","2015-08-21",5
"57","2015-08-24",5
"58","2015-08-25",5
"59","2015-08-26",5
"60","2015-08-27",5
"61","2015-08-28",5
"62","2015-08-31",5
"63","2015-09-01",5
"64","2015-09-02",5
"65","2015-09-03",5
"66","2015-09-04",4.84
"67","2015-09-08",4.84
"68","2015-09-09",4.84
"69","2015-09-10",4.84
"70","2015-09-11",4.84
"71","2015-09-14",3.5
"72","2015-09-15",4
"73","2015-09-16",4
"74","2015-09-17",3.5
"75","2015-09-18",3.5
"76","2015-09-21",4
"77","2015-09-22",4
"78","2015-09-23",4
"79","2015-09-24",4
