"","date","BKD"
"1","2007-01-03",46.970001
"2","2007-01-04",47.900002
"3","2007-01-05",46.799999
"4","2007-01-08",46.400002
"5","2007-01-09",46.700001
"6","2007-01-10",46.639999
"7","2007-01-11",47.91
"8","2007-01-12",47.900002
"9","2007-01-16",49.32
"10","2007-01-17",48.91
"11","2007-01-18",47.400002
"12","2007-01-19",47.549999
"13","2007-01-22",47.59
"14","2007-01-23",47.93
"15","2007-01-24",47.990002
"16","2007-01-25",48.060001
"17","2007-01-26",48.400002
"18","2007-01-29",48.290001
"19","2007-01-30",47.700001
"20","2007-01-31",48
"21","2007-02-01",48.18
"22","2007-02-02",48.16
"23","2007-02-05",49.009998
"24","2007-02-06",49.580002
"25","2007-02-07",49.450001
"26","2007-02-08",48.5
"27","2007-02-09",47.849998
"28","2007-02-12",47.5
"29","2007-02-13",47.259998
"30","2007-02-14",48.029999
"31","2007-02-15",48.93
"32","2007-02-16",49.02
"33","2007-02-20",49.700001
"34","2007-02-21",49.599998
"35","2007-02-22",49.34
"36","2007-02-23",48.419998
"37","2007-02-26",48.450001
"38","2007-02-27",46.720001
"39","2007-02-28",47.209999
"40","2007-03-01",47.290001
"41","2007-03-02",46.580002
"42","2007-03-05",46.009998
"43","2007-03-06",45.990002
"44","2007-03-07",45.02
"45","2007-03-08",45.759998
"46","2007-03-09",45.970001
"47","2007-03-12",45.5
"48","2007-03-13",44.48
"49","2007-03-14",45.130001
"50","2007-03-15",45.25
"51","2007-03-16",45.400002
"52","2007-03-19",45.279999
"53","2007-03-20",44.73
"54","2007-03-21",44.57
"55","2007-03-22",45.560001
"56","2007-03-23",46.599998
"57","2007-03-26",46.02
"58","2007-03-27",45.669998
"59","2007-03-28",44.900002
"60","2007-03-29",44.75
"61","2007-03-30",44.66
"62","2007-04-02",45.240002
"63","2007-04-03",45.880001
"64","2007-04-04",45.93
"65","2007-04-05",45.400002
"66","2007-04-09",46.650002
"67","2007-04-10",46.41
"68","2007-04-11",46.349998
"69","2007-04-12",46.349998
"70","2007-04-13",46.029999
"71","2007-04-16",46.439999
"72","2007-04-17",46.32
"73","2007-04-18",45.970001
"74","2007-04-19",45.200001
"75","2007-04-20",45.16
"76","2007-04-23",46.509998
"77","2007-04-24",46.450001
"78","2007-04-25",46.41
"79","2007-04-26",46.470001
"80","2007-04-27",46.27
"81","2007-04-30",45.41
"82","2007-05-01",44.25
"83","2007-05-02",44.599998
"84","2007-05-03",44.709999
"85","2007-05-04",44.459999
"86","2007-05-07",44.25
"87","2007-05-08",43.970001
"88","2007-05-09",44.57
"89","2007-05-10",44.389999
"90","2007-05-11",44.709999
"91","2007-05-14",44.459999
"92","2007-05-15",44.119999
"93","2007-05-16",43.860001
"94","2007-05-17",43
"95","2007-05-18",42.369999
"96","2007-05-21",43.200001
"97","2007-05-22",44.950001
"98","2007-05-23",44.610001
"99","2007-05-24",44.09
"100","2007-05-25",44.349998
"101","2007-05-29",44.59
"102","2007-05-30",46.139999
"103","2007-05-31",47.209999
"104","2007-06-01",47.720001
"105","2007-06-04",47.650002
"106","2007-06-05",47
"107","2007-06-06",46.580002
"108","2007-06-07",45.349998
"109","2007-06-08",46
"110","2007-06-11",46.060001
"111","2007-06-12",46.060001
"112","2007-06-13",45.700001
"113","2007-06-14",45.959999
"114","2007-06-15",46.689999
"115","2007-06-18",45.740002
"116","2007-06-19",45.860001
"117","2007-06-20",45.790001
"118","2007-06-21",46.470001
"119","2007-06-22",47.27
"120","2007-06-25",47.610001
"121","2007-06-26",47.509998
"122","2007-06-27",46.77
"123","2007-06-28",46.549999
"124","2007-06-29",45.57
"125","2007-07-02",45.25
"126","2007-07-03",45.150002
"127","2007-07-05",44.98
"128","2007-07-06",44.779999
"129","2007-07-09",44.299999
"130","2007-07-10",43.59
"131","2007-07-11",43.299999
"132","2007-07-12",44.200001
"133","2007-07-13",44.75
"134","2007-07-16",44.09
"135","2007-07-17",43.400002
"136","2007-07-18",43.23
"137","2007-07-19",42.98
"138","2007-07-20",42.830002
"139","2007-07-23",43.150002
"140","2007-07-24",42.630001
"141","2007-07-25",42.029999
"142","2007-07-26",41.27
"143","2007-07-27",39.91
"144","2007-07-30",39.860001
"145","2007-07-31",40.009998
"146","2007-08-01",39.02
"147","2007-08-02",38.57
