"","date","OBSV"
"1","2017-01-26",11.65
"2","2017-01-27",11.68
"3","2017-01-30",11.76
"4","2017-01-31",11.66
"5","2017-02-01",11.3
"6","2017-02-02",11.05
"7","2017-02-03",11.68
"8","2017-02-06",11.5
"9","2017-02-07",11.7
"10","2017-02-08",12.18
"11","2017-02-09",12.3
"12","2017-02-10",12.7
"13","2017-02-13",12.62
"14","2017-02-14",13.05
"15","2017-02-15",13.18
"16","2017-02-16",13.29
"17","2017-02-17",13.21
"18","2017-02-21",13.15
"19","2017-02-22",13.46
"20","2017-02-23",13.25
"21","2017-02-24",13.99
"22","2017-02-27",13.62
"23","2017-02-28",12.9
"24","2017-03-01",13.1
"25","2017-03-02",13.1
"26","2017-03-03",13.14
"27","2017-03-06",13.38
"28","2017-03-07",12.69
"29","2017-03-08",13
"30","2017-03-09",13.34
"31","2017-03-10",13.4
"32","2017-03-13",13.14
"33","2017-03-14",13.01
"34","2017-03-15",13
"35","2017-03-16",12.33
"36","2017-03-17",12.28
"37","2017-03-20",11.41
"38","2017-03-21",11.2
"39","2017-03-22",11.32
"40","2017-03-23",11.24
"41","2017-03-24",11.2
"42","2017-03-27",11.16
"43","2017-03-28",10.97
"44","2017-03-29",10.59
"45","2017-03-30",10.56
"46","2017-03-31",10.41
"47","2017-04-03",9.62
"48","2017-04-04",9.09
"49","2017-04-05",9.25
"50","2017-04-06",9
"51","2017-04-07",8.5
"52","2017-04-10",8.13
"53","2017-04-11",8.08
"54","2017-04-12",8.05
"55","2017-04-13",7.4
"56","2017-04-17",7.09
"57","2017-04-18",7.27
"58","2017-04-19",7.11
"59","2017-04-20",6.81
"60","2017-04-21",6.63
"61","2017-04-24",6.5
"62","2017-04-25",6.51
"63","2017-04-26",6.46
"64","2017-04-27",6.54
"65","2017-04-28",6.64
"66","2017-05-01",6.9
"67","2017-05-02",6.82
"68","2017-05-03",6.91
"69","2017-05-04",7.4
"70","2017-05-05",6.78
"71","2017-05-08",6.54
"72","2017-05-09",6.8
"73","2017-05-10",7.14
"74","2017-05-11",7.25
"75","2017-05-12",7.4
"76","2017-05-15",8.365
"77","2017-05-16",8.2
"78","2017-05-17",8.8
"79","2017-05-18",8.19
"80","2017-05-19",9.04
"81","2017-05-22",9.01
"82","2017-05-23",8.55
"83","2017-05-24",8.8
"84","2017-05-25",8.45
"85","2017-05-26",8.64
"86","2017-05-30",8.28
"87","2017-05-31",8.37
"88","2017-06-01",8.67
"89","2017-06-02",8.73
"90","2017-06-05",8.39
"91","2017-06-06",7.87
"92","2017-06-07",7.5
"93","2017-06-08",6.69
"94","2017-06-09",6.75
"95","2017-06-12",6.71
"96","2017-06-13",6.705
"97","2017-06-14",5.98
"98","2017-06-15",6.02
"99","2017-06-16",5.45
"100","2017-06-19",5.21
"101","2017-06-20",5.13
"102","2017-06-21",5.93
"103","2017-06-22",6.66
"104","2017-06-23",7.21
"105","2017-06-26",6.98
"106","2017-06-27",6.31
"107","2017-06-28",5.9
"108","2017-06-29",7.5
"109","2017-06-30",8.55
"110","2017-07-03",7.17
"111","2017-07-05",7.15
"112","2017-07-06",8.048
"113","2017-07-07",8.05
"114","2017-07-10",7.99
"115","2017-07-11",8.05
"116","2017-07-12",8.37
"117","2017-07-13",8.49
"118","2017-07-14",8.33
"119","2017-07-17",8.3
"120","2017-07-18",8.33
"121","2017-07-19",8.48
"122","2017-07-20",8.45
"123","2017-07-21",8.31
"124","2017-07-24",8.41
"125","2017-07-25",7.87
"126","2017-07-26",8
"127","2017-07-27",7.98
"128","2017-07-28",7.97
"129","2017-07-31",7.9
"130","2017-08-01",7.795
"131","2017-08-02",7.9
"132","2017-08-03",7.91
"133","2017-08-04",7.98
"134","2017-08-07",7.92
"135","2017-08-08",7.84
"136","2017-08-09",7.75
"137","2017-08-10",7.81
"138","2017-08-11",7.63
"139","2017-08-14",7.775
"140","2017-08-15",7.685
"141","2017-08-16",7.69
"142","2017-08-17",7.74
"143","2017-08-18",7.68
"144","2017-08-21",7.74
"145","2017-08-22",7.65
"146","2017-08-23",7.5
"147","2017-08-24",7.2
"148","2017-08-25",6.56
"149","2017-08-28",6.93
"150","2017-08-29",6.6
"151","2017-08-30",6.61
"152","2017-08-31",6.86
"153","2017-09-01",6.38
"154","2017-09-05",6.55
"155","2017-09-06",6.72
"156","2017-09-07",7.16
"157","2017-09-08",6.93
"158","2017-09-11",6.995
"159","2017-09-12",6.8
"160","2017-09-13",7.07
"161","2017-09-14",6.98
"162","2017-09-15",6.95
"163","2017-09-18",7.14
"164","2017-09-19",7.36
"165","2017-09-20",7.74
"166","2017-09-21",7.6
"167","2017-09-22",7.7
"168","2017-09-25",7.5
"169","2017-09-26",7.59
"170","2017-09-27",7.49
"171","2017-09-28",7.94
"172","2017-09-29",8.14
"173","2017-10-02",8.48
"174","2017-10-03",8.92
"175","2017-10-04",8.8
"176","2017-10-05",8.62
"177","2017-10-06",8.69
"178","2017-10-09",8.8
"179","2017-10-10",9.8
"180","2017-10-11",10.16
"181","2017-10-12",9.98
"182","2017-10-13",9.97
"183","2017-10-16",9.805
"184","2017-10-17",9.94
"185","2017-10-18",9.85
"186","2017-10-19",10.49
"187","2017-10-20",10.76
"188","2017-10-23",10.87
"189","2017-10-24",10.82
"190","2017-10-25",10.69
"191","2017-10-26",10.7
"192","2017-10-27",10.71
"193","2017-10-30",10.7
"194","2017-10-31",10.71
"195","2017-11-01",10.66
"196","2017-11-02",11.235
"197","2017-11-03",10.96
"198","2017-11-06",10.79
"199","2017-11-07",10.81
"200","2017-11-08",10.81
"201","2017-11-09",11.5
"202","2017-11-10",11.8
"203","2017-11-13",12
"204","2017-11-14",11.67
"205","2017-11-15",10.8
"206","2017-11-16",11.16
"207","2017-11-17",11.3
"208","2017-11-20",10.75
"209","2017-11-21",10.03
"210","2017-11-22",9.6
"211","2017-11-24",9.99
"212","2017-11-27",9.96
"213","2017-11-28",10
"214","2017-11-29",10.1
"215","2017-11-30",10.15
"216","2017-12-01",10.15
"217","2017-12-04",10.12
"218","2017-12-05",9.7
"219","2017-12-06",9.27
"220","2017-12-07",9.49
"221","2017-12-08",9.55
"222","2017-12-11",9.85
"223","2017-12-12",9.82
"224","2017-12-13",9.76
"225","2017-12-14",9.77
"226","2017-12-15",9.8
"227","2017-12-18",9.8
"228","2017-12-19",9.9
"229","2017-12-20",9.71
"230","2017-12-21",9.8
"231","2017-12-22",10
"232","2017-12-26",9.79
"233","2017-12-27",9.79
"234","2017-12-28",9.91
"235","2017-12-29",9.76
"236","2018-01-02",9.81
"237","2018-01-03",9.83
"238","2018-01-04",9.83
"239","2018-01-05",9.78
"240","2018-01-08",9.83
"241","2018-01-09",9.78
"242","2018-01-10",9.99
"243","2018-01-11",9.75
"244","2018-01-12",9.7
"245","2018-01-16",9.7
"246","2018-01-17",9.52
"247","2018-01-18",9.73
"248","2018-01-19",9.73
"249","2018-01-22",9.64
"250","2018-01-23",9.36
"251","2018-01-24",9.55
"252","2018-01-25",10.19
"253","2018-01-26",10.8
"254","2018-01-29",12.16
"255","2018-01-30",11.9
"256","2018-01-31",12.69
"257","2018-02-01",12.04
"258","2018-02-02",11
"259","2018-02-05",10.95
"260","2018-02-06",12.21
"261","2018-02-07",12.645
"262","2018-02-08",12.54
"263","2018-02-09",12.19
"264","2018-02-12",12.18
"265","2018-02-13",11.87
"266","2018-02-14",12.59
"267","2018-02-15",12.48
"268","2018-02-16",14.13
"269","2018-02-20",14.08
"270","2018-02-21",14.8
"271","2018-02-22",14.3
"272","2018-02-23",15.22
"273","2018-02-26",14.5
"274","2018-02-27",14.61
"275","2018-02-28",14.22
"276","2018-03-01",13.39
"277","2018-03-02",14.3
"278","2018-03-05",14.48
"279","2018-03-06",13.955
"280","2018-03-07",13.96
"281","2018-03-08",14
"282","2018-03-09",14
"283","2018-03-12",13.75
"284","2018-03-13",13.7
"285","2018-03-14",13.4
"286","2018-03-15",13.01
"287","2018-03-16",13.4
"288","2018-03-19",13.47
"289","2018-03-20",13.47
"290","2018-03-21",13.26
"291","2018-03-22",13.51
"292","2018-03-23",13.69
"293","2018-03-26",13.39
"294","2018-03-27",13.5
"295","2018-03-28",13.57
"296","2018-03-29",13.495
"297","2018-04-02",13.55
"298","2018-04-03",13.21
"299","2018-04-04",13.62
"300","2018-04-05",12.97
"301","2018-04-06",13.83
"302","2018-04-09",12.68
"303","2018-04-10",13.51
"304","2018-04-11",13.51
"305","2018-04-12",13.69
"306","2018-04-13",13.43
"307","2018-04-16",13.02
"308","2018-04-17",13.336
"309","2018-04-18",13.04
"310","2018-04-19",13.47
"311","2018-04-20",13.39
"312","2018-04-23",12.61
"313","2018-04-24",12.79
"314","2018-04-25",12.7
"315","2018-04-26",12.36
"316","2018-04-27",12.54
"317","2018-04-30",12.25
"318","2018-05-01",11.64
"319","2018-05-02",10.81
"320","2018-05-03",10
"321","2018-05-04",10.16
"322","2018-05-07",11.52
"323","2018-05-08",12.69
"324","2018-05-09",12.24
"325","2018-05-10",12.315
"326","2018-05-11",12.6
"327","2018-05-14",12.7
"328","2018-05-15",12.22
"329","2018-05-16",12.68
"330","2018-05-17",13.4
"331","2018-05-18",13.3
"332","2018-05-21",12.79
"333","2018-05-22",12.92
"334","2018-05-23",12.62
"335","2018-05-24",12.95
"336","2018-05-25",12.89
"337","2018-05-29",13.09
"338","2018-05-30",12.75
"339","2018-05-31",13.04
"340","2018-06-01",13.2
"341","2018-06-04",12.98
"342","2018-06-05",12.96
"343","2018-06-06",13.01
"344","2018-06-07",13.38
"345","2018-06-08",14.655
"346","2018-06-11",14.62
"347","2018-06-12",14.97
"348","2018-06-13",14.02
"349","2018-06-14",15
"350","2018-06-15",14.55
"351","2018-06-18",17.870001
"352","2018-06-19",15.39
"353","2018-06-20",14.3
"354","2018-06-21",14.93
"355","2018-06-22",14.71
"356","2018-06-25",14.25
"357","2018-06-26",14.69
"358","2018-06-27",14.44
"359","2018-06-28",14.52
"360","2018-06-29",15.14
"361","2018-07-02",15.32
"362","2018-07-03",15.37
"363","2018-07-05",15.13
"364","2018-07-06",15
"365","2018-07-09",15.07
"366","2018-07-10",14.83
"367","2018-07-11",14.97
"368","2018-07-12",14.96
"369","2018-07-13",16.33
"370","2018-07-16",15.41
"371","2018-07-17",15.43
"372","2018-07-18",15.91
"373","2018-07-19",16.559999
"374","2018-07-20",16.620001
"375","2018-07-23",16.49
"376","2018-07-24",15.44
"377","2018-07-25",15.15
"378","2018-07-26",15.13
"379","2018-07-27",14.33
"380","2018-07-30",13.53
"381","2018-07-31",13.53
"382","2018-08-01",13.29
"383","2018-08-02",14.45
"384","2018-08-03",13.84
"385","2018-08-06",14.32
"386","2018-08-07",14.76
"387","2018-08-08",14.7
"388","2018-08-09",15.06
"389","2018-08-10",15.01
"390","2018-08-13",13.97
"391","2018-08-14",13
"392","2018-08-15",12.98
"393","2018-08-16",12.52
"394","2018-08-17",11.97
"395","2018-08-20",10.92
"396","2018-08-21",11.75
"397","2018-08-22",11.62
"398","2018-08-23",12.08
"399","2018-08-24",12.14
"400","2018-08-27",12.27
"401","2018-08-28",12.49
"402","2018-08-29",12.91
"403","2018-08-30",12.65
"404","2018-08-31",13.05
"405","2018-09-04",13.44
"406","2018-09-05",13.39
"407","2018-09-06",13.245
"408","2018-09-07",13.59
"409","2018-09-10",14.34
"410","2018-09-11",14.49
"411","2018-09-12",14.4
"412","2018-09-13",14.86
"413","2018-09-14",14.67
"414","2018-09-17",16.49
"415","2018-09-18",16.889999
"416","2018-09-19",17.48
"417","2018-09-20",18.129999
"418","2018-09-21",18.18
"419","2018-09-24",18.07
"420","2018-09-25",18.030001
"421","2018-09-26",17.950001
"422","2018-09-27",18.07
"423","2018-09-28",18.030001
"424","2018-10-01",17.790001
"425","2018-10-02",17.940001
"426","2018-10-03",17.43
"427","2018-10-04",17.559999
"428","2018-10-05",17.120001
"429","2018-10-08",16.91
"430","2018-10-09",16.870001
"431","2018-10-10",16.23
"432","2018-10-11",16
"433","2018-10-12",16.299999
"434","2018-10-15",17.049999
"435","2018-10-16",17.27
"436","2018-10-17",17.49
"437","2018-10-18",16.83
"438","2018-10-19",16.469999
"439","2018-10-22",17.139999
"440","2018-10-23",15.79
"441","2018-10-24",15.1
"442","2018-10-25",14.94
"443","2018-10-26",15.02
"444","2018-10-29",14.77
"445","2018-10-30",15.43
"446","2018-10-31",15.71
"447","2018-11-01",16.48
"448","2018-11-02",16.370001
"449","2018-11-05",15.76
"450","2018-11-06",16.23
"451","2018-11-07",16.049999
"452","2018-11-08",15.92
"453","2018-11-09",15.35
"454","2018-11-12",14.84
"455","2018-11-13",14.11
"456","2018-11-14",13.35
