"","date","SMMF"
"1","2007-01-03",19.25
"2","2007-01-04",19.49
"3","2007-01-05",19.74
"4","2007-01-08",19.610001
"5","2007-01-09",19.700001
"6","2007-01-10",19.700001
"7","2007-01-11",19.76
"8","2007-01-12",20
"9","2007-01-16",20.030001
"10","2007-01-17",19.92
"11","2007-01-18",19.9
"12","2007-01-19",20.040001
"13","2007-01-22",19.98
"14","2007-01-23",19.98
"15","2007-01-24",19.99
"16","2007-01-25",20
"17","2007-01-26",20.25
"18","2007-01-29",20.25
"19","2007-01-30",19.98
"20","2007-01-31",19.98
"21","2007-02-01",20.18
"22","2007-02-02",20.049999
"23","2007-02-05",20.049999
"24","2007-02-06",20.02
"25","2007-02-07",20.17
"26","2007-02-08",20.059999
"27","2007-02-09",19.950001
"28","2007-02-12",20.09
"29","2007-02-13",20.09
"30","2007-02-14",20.540001
"31","2007-02-15",20.309999
"32","2007-02-16",20.450001
"33","2007-02-20",20.450001
"34","2007-02-21",20.9
"35","2007-02-22",20.9
"36","2007-02-23",20.969999
"37","2007-02-26",21.120001
"38","2007-02-27",21.01
"39","2007-02-28",20.860001
"40","2007-03-01",20.950001
"41","2007-03-02",21.120001
"42","2007-03-05",20.65
"43","2007-03-06",20.700001
"44","2007-03-07",20.879999
"45","2007-03-08",20.799999
"46","2007-03-09",21.08
"47","2007-03-12",21.1
"48","2007-03-13",20.74
"49","2007-03-14",20.9
"50","2007-03-15",21.5
"51","2007-03-16",20.92
"52","2007-03-19",21.32
"53","2007-03-20",21.32
"54","2007-03-21",21.059999
"55","2007-03-22",20.98
"56","2007-03-23",21.110001
"57","2007-03-26",21.200001
"58","2007-03-27",20.99
"59","2007-03-28",20.99
"60","2007-03-29",21.01
"61","2007-03-30",20.860001
"62","2007-04-02",20.9
"63","2007-04-03",21
"64","2007-04-04",20.93
"65","2007-04-05",21
"66","2007-04-09",20.9
"67","2007-04-10",20.959999
"68","2007-04-11",20.959999
"69","2007-04-12",20.799999
"70","2007-04-13",20.809999
"71","2007-04-16",20.75
"72","2007-04-17",20.889999
"73","2007-04-18",20.75
"74","2007-04-19",20.75
"75","2007-04-20",20.879999
"76","2007-04-23",20.719999
"77","2007-04-24",20.959999
"78","2007-04-25",21.040001
"79","2007-04-26",21.059999
"80","2007-04-27",21.049999
"81","2007-04-30",21.049999
"82","2007-05-01",21.08
"83","2007-05-02",21.08
"84","2007-05-03",20.9
"85","2007-05-04",20.959999
"86","2007-05-07",20.959999
"87","2007-05-08",21.030001
"88","2007-05-09",21.01
"89","2007-05-10",21.01
"90","2007-05-11",21.15
"91","2007-05-14",21.15
"92","2007-05-15",21.15
"93","2007-05-16",21.110001
"94","2007-05-17",21.15
"95","2007-05-18",20.92
"96","2007-05-21",20.92
"97","2007-05-22",20.92
"98","2007-05-23",20.92
"99","2007-05-24",20.75
"100","2007-05-25",20.75
"101","2007-05-29",20.75
"102","2007-05-30",20.75
"103","2007-05-31",20.75
"104","2007-06-01",20.77
"105","2007-06-04",20.620001
"106","2007-06-05",20.620001
"107","2007-06-06",20.530001
"108","2007-06-07",20.16
"109","2007-06-08",20
"110","2007-06-11",20.09
"111","2007-06-12",20.040001
"112","2007-06-13",20.040001
"113","2007-06-14",20.049999
"114","2007-06-15",20.01
"115","2007-06-18",20.01
"116","2007-06-19",19.959999
"117","2007-06-20",19.83
"118","2007-06-21",19.799999
"119","2007-06-22",19.93
"120","2007-06-25",19.93
"121","2007-06-26",19.93
"122","2007-06-27",19.93
"123","2007-06-28",19.93
"124","2007-06-29",19.85
"125","2007-07-02",19.85
"126","2007-07-03",19.65
"127","2007-07-05",19.459999
"128","2007-07-06",19.309999
"129","2007-07-09",19
"130","2007-07-10",18.9
"131","2007-07-11",18.9
"132","2007-07-12",18.639999
"133","2007-07-13",18.879999
"134","2007-07-16",18.67
"135","2007-07-17",18.66
"136","2007-07-18",18.719999
"137","2007-07-19",18.719999
"138","2007-07-20",18.65
"139","2007-07-23",18.65
"140","2007-07-24",18.75
"141","2007-07-25",18.65
"142","2007-07-26",18.65
"143","2007-07-27",18.700001
"144","2007-07-30",18.91
"145","2007-07-31",18.92
"146","2007-08-01",18.780001
"147","2007-08-02",18.75
"148","2007-08-03",18.93
"149","2007-08-06",19.07
"150","2007-08-07",19.26
"151","2007-08-08",19.200001
"152","2007-08-09",19.25
"153","2007-08-10",19.25
"154","2007-08-13",19.01
"155","2007-08-14",19
"156","2007-08-15",19.24
"157","2007-08-16",19.24
"158","2007-08-17",19
"159","2007-08-20",19
"160","2007-08-21",19.27
"161","2007-08-22",19
"162","2007-08-23",19.01
"163","2007-08-24",19.01
"164","2007-08-27",19.01
"165","2007-08-28",19
"166","2007-08-29",19.200001
"167","2007-08-30",19.200001
"168","2007-08-31",19.370001
"169","2007-09-04",19.629999
"170","2007-09-05",19
"171","2007-09-06",19
"172","2007-09-07",19.01
"173","2007-09-10",19.65
"174","2007-09-11",19.65
"175","2007-09-12",19.65
"176","2007-09-13",19
"177","2007-09-14",19
"178","2007-09-17",19
"179","2007-09-18",19
"180","2007-09-19",18.299999
