"","date","FLXS"
"1","2007-01-03",12.52
"2","2007-01-04",12.62
"3","2007-01-05",12.63
"4","2007-01-08",12.6
"5","2007-01-09",12.71
"6","2007-01-10",12.73
"7","2007-01-11",12.7
"8","2007-01-12",12.73
"9","2007-01-16",13
"10","2007-01-17",13
"11","2007-01-18",13.16
"12","2007-01-19",13.29
"13","2007-01-22",13.48
"14","2007-01-23",13.5
"15","2007-01-24",13.6
"16","2007-01-25",13.75
"17","2007-01-26",13.76
"18","2007-01-29",14.15
"19","2007-01-30",14.15
"20","2007-01-31",13.97
"21","2007-02-01",13.97
"22","2007-02-02",14.14
"23","2007-02-05",14
"24","2007-02-06",14.21
"25","2007-02-07",14.35
"26","2007-02-08",14.33
"27","2007-02-09",14.4
"28","2007-02-12",14.49
"29","2007-02-13",14.65
"30","2007-02-14",14.66
"31","2007-02-15",14.67
"32","2007-02-16",14.67
"33","2007-02-20",14.71
"34","2007-02-21",14.71
"35","2007-02-22",14.82
"36","2007-02-23",15
"37","2007-02-26",14.98
"38","2007-02-27",15
"39","2007-02-28",15.01
"40","2007-03-01",15.01
"41","2007-03-02",14.9
"42","2007-03-05",15
"43","2007-03-06",15.13
"44","2007-03-07",15.26
"45","2007-03-08",15.25
"46","2007-03-09",15.28
"47","2007-03-12",15.2
"48","2007-03-13",15.21
"49","2007-03-14",15.27
"50","2007-03-15",15
"51","2007-03-16",15.35
"52","2007-03-19",15.34
"53","2007-03-20",15.17
"54","2007-03-21",15.1
"55","2007-03-22",15.05
"56","2007-03-23",15.19
"57","2007-03-26",15.3
"58","2007-03-27",15.34
"59","2007-03-28",15.24
"60","2007-03-29",15.24
"61","2007-03-30",15.34
"62","2007-04-02",15.28
"63","2007-04-03",15.15
"64","2007-04-04",15.23
"65","2007-04-05",15.24
"66","2007-04-09",15.28
"67","2007-04-10",15.23
"68","2007-04-11",15.23
"69","2007-04-12",15.53
"70","2007-04-13",15.34
"71","2007-04-16",15.42
"72","2007-04-17",15.59
"73","2007-04-18",15.47
"74","2007-04-19",15.48
"75","2007-04-20",14.87
"76","2007-04-23",15.13
"77","2007-04-24",15.03
"78","2007-04-25",14.83
"79","2007-04-26",14.75
"80","2007-04-27",14.86
"81","2007-04-30",14.76
"82","2007-05-01",14.94
"83","2007-05-02",14.84
"84","2007-05-03",14.83
"85","2007-05-04",14.81
"86","2007-05-07",14.75
"87","2007-05-08",14.87
"88","2007-05-09",14.74
"89","2007-05-10",14.71
"90","2007-05-11",14.48
"91","2007-05-14",14.59
"92","2007-05-15",14
"93","2007-05-16",13.67
"94","2007-05-17",13.47
"95","2007-05-18",13.6
"96","2007-05-21",13.16
"97","2007-05-22",13.05
"98","2007-05-23",13.26
"99","2007-05-24",13.58
"100","2007-05-25",13.76
"101","2007-05-29",13.99
"102","2007-05-30",14.14
"103","2007-05-31",14.15
"104","2007-06-01",14.23
"105","2007-06-04",14.21
"106","2007-06-05",14
"107","2007-06-06",14.12
"108","2007-06-07",14.01
"109","2007-06-08",14
"110","2007-06-11",14.11
"111","2007-06-12",14
"112","2007-06-13",14.02
"113","2007-06-14",14.01
"114","2007-06-15",14.15
"115","2007-06-18",14
"116","2007-06-19",13.96
"117","2007-06-20",13.98
"118","2007-06-21",14
"119","2007-06-22",13.91
"120","2007-06-25",14.06
"121","2007-06-26",14.75
"122","2007-06-27",14.68
"123","2007-06-28",14.75
"124","2007-06-29",14.5
"125","2007-07-02",14.5
"126","2007-07-03",14.41
"127","2007-07-05",14.24
"128","2007-07-06",14.19
"129","2007-07-09",14.49
"130","2007-07-10",14.27
"131","2007-07-11",14.39
"132","2007-07-12",14.52
"133","2007-07-13",14.4
"134","2007-07-16",14.17
"135","2007-07-17",14.15
"136","2007-07-18",14.04
"137","2007-07-19",14
"138","2007-07-20",14.54
"139","2007-07-23",14.28
"140","2007-07-24",14.25
"141","2007-07-25",14.22
"142","2007-07-26",14.02
"143","2007-07-27",13.92
"144","2007-07-30",13.75
"145","2007-07-31",14.05
"146","2007-08-01",14.38
"147","2007-08-02",13.85
"148","2007-08-03",13.92
"149","2007-08-06",13.9
